date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,51.0597,49.32,48.79,1.0,51.5,51.18,6679541.0,0.0
2018-02-07,51.2792,50.91,50.89,1.0,51.98,51.4,4784551.0,0.0
2018-02-08,48.4858,51.44,48.51,1.0,51.46,48.6,5501525.0,0.0
2018-02-09,48.2463,49.7,46.33,1.0,49.73,48.36,6416929.0,0.0
2018-02-12,49.9723,48.79,48.65,1.0,50.51,50.09,5422630.0,0.0
2018-02-13,50.7504,49.7,49.64,1.0,50.92,50.87,3746713.0,0.0
2018-02-14,50.9499,50.24,50.11,1.0,51.56,51.07,4928547.0,0.0
2018-02-15,51.5485,51.45,50.94,1.0,51.88,51.67,3118731.0,0.0
2018-02-16,51.4587,51.8,51.53,1.0,52.205,51.58,3861493.0,0.0
2018-02-20,51.5984,51.23,51.1,1.0,52.23,51.72,3370618.0,0.0
2018-02-21,52.6559,51.96,51.825,1.0,53.86,52.78,5368431.0,0.0
2018-02-22,52.8555,53.24,52.6998,1.0,53.41,52.98,4353760.0,0.0
2018-02-23,53.2645,53.3,52.72,1.0,53.48,53.39,3374064.0,0.0
2018-02-26,54.8707,53.99,53.92,1.0,55.13,55.0,4954631.0,0.0
2018-02-27,54.1324,54.89,54.24,1.0,55.6,54.26,4821958.0,0.0
2018-02-28,54.1225,54.41,53.635,1.0,54.6,54.25,4015581.0,0.0
2018-03-01,53.3543,54.14,53.2995,1.0,55.31,53.48,5895581.0,0.0
2018-03-02,53.055,52.9,51.87,1.0,53.415,53.18,4918160.0,0.0
2018-03-05,53.065,52.9,52.69,1.0,53.6939,53.19,3974757.0,0.0
2018-03-06,53.4441,53.34,52.9,1.0,54.02,53.57,4273805.0,0.0
2018-03-07,53.9828,53.12,53.04,1.0,54.17,54.11,3216908.0,0.0
2018-03-08,54.6612,54.33,54.28,1.0,55.69,54.79,4120718.0,0.0
2018-03-09,55.9382,55.05,54.65,1.0,56.08,56.07,3466720.0,0.0
2018-03-12,56.3672,56.26,55.63,1.0,56.97,56.5,3177925.0,0.0
2018-03-13,56.0978,56.86,56.03,1.0,57.44,56.23,4343055.0,0.0
2018-03-14,55.1501,56.57,55.16,1.0,57.21,55.28,4262349.0,0.0
2018-03-15,55.0403,55.35,54.93,1.0,55.56,55.17,2964323.0,0.0
2018-03-16,55.2698,55.31,55.27,1.0,56.41,55.4,4455977.0,0.0
2018-03-19,54.4916,55.33,54.19,1.0,55.69,54.62,3743641.0,0.0
2018-03-20,55.19,54.93,54.67,1.0,55.7,55.32,2497070.0,0.0
2018-03-21,53.9628,54.21,53.165,1.0,54.61,54.09,4785030.0,0.0
2018-03-22,52.187,53.58,52.29,1.0,54.18,52.31,4820379.0,0.0
2018-03-23,50.8901,52.63,50.99,1.0,53.1,51.01,3843474.0,0.0
2018-03-26,51.7381,51.94,50.64,1.0,52.04,51.86,3185475.0,0.0
2018-03-27,50.7803,52.3,50.55,1.0,52.35,50.9,2805331.0,0.0
2018-03-28,50.7305,50.9,50.05,1.0,51.2615,50.85,4177492.0,0.0
2018-03-29,51.8379,51.3,51.03,1.0,52.4301,51.96,3074062.0,0.0
2018-04-02,49.663,51.77,48.96,1.0,51.95,49.78,4185804.0,0.0
2018-04-03,51.349,50.23,49.57,1.0,51.55,51.47,3863347.0,0.0
2018-04-04,51.9177,50.6,50.51,1.0,52.1,52.04,3955029.0,0.0
2018-04-05,52.0174,52.5,51.83,1.0,53.08,52.14,3060904.0,0.0
2018-04-06,50.1718,51.71,49.81,1.0,51.96,50.29,4302567.0,0.0
2018-04-09,49.7029,50.5,49.74,1.0,50.86,49.82,4330098.0,0.0
2018-04-10,47.3484,50.52,47.21,1.0,50.57,47.46,12815485.0,0.0
2018-04-11,45.2933,47.15,45.37,1.0,47.46,45.4,10151133.0,0.0
2018-04-12,46.4605,46.03,45.505,1.0,46.8,46.57,7040424.0,0.0
2018-04-13,45.7622,46.75,45.75,1.0,47.05,45.87,5226252.0,0.0
2018-04-16,46.2909,46.13,45.81,1.0,46.94,46.4,4516335.0,0.0
2018-04-17,45.6425,46.75,45.62,1.0,47.03,45.75,6961108.0,0.0
2018-04-18,47.6477,46.5,46.05,1.0,48.38,47.76,9170727.0,0.0
2018-04-19,46.7698,47.53,46.41,1.0,47.77,46.88,5759268.0,0.0
2018-04-20,46.67,46.91,46.4358,1.0,47.24,46.78,5344735.0,0.0
2018-04-23,46.5703,46.85,46.12,1.0,47.19,46.68,4221685.0,0.0
2018-04-24,45.5826,46.72,45.11,1.0,47.17,45.69,3954263.0,0.0
2018-04-25,45.1436,45.67,43.89,1.0,45.93,45.25,7847645.0,0.0
2018-04-26,42.2704,43.49,40.65,1.0,43.8,42.37,20517346.0,0.0
2018-04-27,43.298,42.55,42.325,1.0,43.48,43.4,6955237.0,0.0
2018-04-30,42.8291,43.5,42.76,1.0,43.81,42.93,6472855.0,0.0
2018-05-01,43.2581,42.86,42.56,1.0,43.46,43.36,5341232.0,0.0
2018-05-02,42.1407,43.23,42.19,1.0,43.41,42.24,6314448.0,0.0
2018-05-03,42.011,42.25,41.54,1.0,42.49,42.11,4700541.0,0.0
2018-05-04,42.7592,41.75,41.75,1.0,43.45,42.86,5540878.0,0.0
2018-05-07,42.44,42.92,42.1235,1.0,43.23,42.44,5330964.0,0.1
2018-05-08,43.0,42.33,42.33,1.0,44.01,43.0,7766568.0,0.0
2018-05-09,41.5,42.93,41.47,1.0,43.16,41.5,8273672.0,0.0
2018-05-10,42.04,41.51,41.51,1.0,42.46,42.04,7931613.0,0.0
2018-05-11,42.6,42.08,42.02,1.0,42.66,42.6,6066657.0,0.0
2018-05-14,42.46,42.75,42.2,1.0,43.09,42.46,4201557.0,0.0
2018-05-15,43.19,42.02,41.6,1.0,43.4,43.19,6909578.0,0.0
2018-05-16,44.06,43.13,43.04,1.0,44.91,44.06,7493568.0,0.0
2018-05-17,43.63,43.9,43.49,1.0,44.512,43.63,5334099.0,0.0
2018-05-18,43.38,43.56,43.035,1.0,43.76,43.38,4216067.0,0.0
2018-05-21,44.28,43.74,43.63,1.0,44.7939,44.28,4930221.0,0.0
2018-05-22,42.88,44.5,42.83,1.0,45.04,42.88,6892448.0,0.0
2018-05-23,42.8,42.64,42.27,1.0,42.87,42.8,3915939.0,0.0
2018-05-24,43.56,42.94,42.7584,1.0,43.89,43.56,3855296.0,0.0
2018-05-25,44.91,43.82,43.8,1.0,45.82,44.91,6517255.0,0.0
2018-05-29,43.59,44.6,43.22,1.0,45.15,43.59,4531779.0,0.0
2018-05-30,43.3,43.68,42.66,1.0,43.825,43.3,5457878.0,0.0
2018-05-31,43.54,43.4,42.97,1.0,44.71,43.54,8540096.0,0.0
2018-06-01,44.0,44.05,43.35,1.0,44.09,44.0,5472271.0,0.0
2018-06-04,44.86,44.04,43.96,1.0,45.01,44.86,5685162.0,0.0
2018-06-05,44.18,44.78,43.81,1.0,45.0213,44.18,4975326.0,0.0
2018-06-06,44.19,43.45,42.88,1.0,44.23,44.19,6502470.0,0.0
2018-06-07,43.84,44.28,43.45,1.0,44.48,43.84,3728997.0,0.0
2018-06-08,43.11,43.96,42.96,1.0,43.969,43.11,6273041.0,0.0
2018-06-11,44.16,43.25,43.25,1.0,44.93,44.16,6440746.0,0.0
2018-06-12,43.41,44.23,43.09,1.0,44.3,43.41,5204620.0,0.0
2018-06-13,42.92,43.39,42.83,1.0,43.69,42.92,5988999.0,0.0
2018-06-14,43.08,43.06,42.8,1.0,43.49,43.08,4019334.0,0.0
2018-06-15,42.77,43.06,42.32,1.0,43.11,42.77,7031967.0,0.0
2018-06-18,42.44,42.63,41.94,1.0,42.68,42.44,5372079.0,0.0
2018-06-19,41.51,42.03,41.09,1.0,42.21,41.51,5575306.0,0.0
2018-06-20,42.03,41.65,41.35,1.0,42.34,42.03,4930567.0,0.0
2018-06-21,41.49,42.03,41.37,1.0,42.5,41.49,5025339.0,0.0
2018-06-22,41.35,41.46,41.02,1.0,42.41,41.35,9115147.0,0.0
2018-06-25,39.68,41.09,39.29,1.0,41.27,39.68,7126433.0,0.0
2018-06-26,39.09,39.87,38.99,1.0,39.96,39.09,6037359.0,0.0
2018-06-27,38.26,39.09,38.25,1.0,39.18,38.26,7391586.0,0.0
2018-06-28,37.435,38.33,37.06,1.0,38.37,37.435,3637099.0,0.0
