date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,112.0916,108.28,106.745,1.0,113.11,112.2,1240076.0,0.0
2018-02-07,109.8238,112.09,109.9,1.0,114.5799,109.93,2158983.0,0.0
2018-02-08,109.524,109.93,109.3,1.0,115.35,109.63,1490394.0,0.0
2018-02-09,109.0345,110.39,103.34,1.0,110.45,109.14,1575570.0,0.0
2018-02-12,109.3742,109.795,108.05,1.0,110.8,109.48,1178454.0,0.0
2018-02-13,106.1173,109.17,105.961,1.0,109.99,106.22,1378202.0,0.0
2018-02-14,108.9146,105.5,105.26,1.0,110.0,109.02,1105712.0,0.0
2018-02-15,108.6749,109.23,107.5723,1.0,110.28,108.78,818413.0,0.0
2018-02-16,107.466,108.72,105.776,1.0,109.34,107.57,944383.0,0.0
2018-02-20,105.2482,107.4,103.72,1.0,108.38,105.35,2366385.0,0.0
2018-02-21,113.8898,116.96,113.23,1.0,119.3,114.0,5532299.0,0.0
2018-02-22,110.3832,115.1,110.2,1.0,115.5,110.49,1462092.0,0.0
2018-02-23,116.2076,111.15,111.0753,1.0,117.07,116.32,1499982.0,0.0
2018-02-26,114.739,116.5,112.08,1.0,117.74,114.85,1408483.0,0.0
2018-02-27,109.6939,113.26,108.9,1.0,113.91,109.8,2160995.0,0.0
2018-02-28,114.1396,110.71,109.68,1.0,116.11,114.25,1900392.0,0.0
2018-03-01,117.3964,114.24,113.43,1.0,117.89,117.51,2062471.0,0.0
2018-03-02,115.9578,116.67,113.12,1.0,116.79,116.07,1462064.0,0.0
2018-03-05,116.2475,115.45,115.12,1.0,117.55,116.36,1088501.0,0.0
2018-03-06,118.4754,116.54,115.13,1.0,119.04,118.59,1003657.0,0.0
2018-03-07,116.6571,117.43,115.8,1.0,118.31,116.77,708625.0,0.0
2018-03-08,115.6381,117.33,114.54,1.0,117.33,115.75,663752.0,0.0
2018-03-09,118.7451,116.44,114.4,1.0,118.94,118.86,996636.0,0.0
2018-03-12,118.2956,118.56,117.21,1.0,119.25,118.41,802804.0,0.0
2018-03-13,118.885,118.75,117.26,1.0,120.1,119.0,941472.0,0.0
2018-03-14,116.9469,119.16,116.55,1.0,119.875,117.06,681780.0,0.0
2018-03-15,116.9868,117.54,115.47,1.0,118.33,117.1,672636.0,0.0
2018-03-16,116.5173,116.93,115.76,1.0,117.81,116.63,1337332.0,0.0
2018-03-19,115.758,116.79,114.7,1.0,117.56,115.87,812001.0,0.0
2018-03-20,114.1396,116.39,113.74,1.0,116.69,114.25,634011.0,0.0
2018-03-21,115.1286,114.66,114.2397,1.0,116.29,115.24,689137.0,0.0
2018-03-22,111.662,114.02,111.63,1.0,115.14,111.71,1038170.0,0.06
2018-03-23,110.7923,112.41,110.34,1.0,113.26,110.84,1081320.0,0.0
2018-03-26,114.7207,112.49,111.875,1.0,115.07,114.77,1007919.0,0.0
2018-03-27,114.9606,114.58,113.29,1.0,117.45,115.01,1402702.0,0.0
2018-03-28,115.9301,115.28,114.08,1.0,119.42,115.98,1047520.0,0.0
2018-03-29,118.499,116.34,115.4,1.0,119.22,118.55,780768.0,0.0
2018-04-02,111.8819,118.61,110.51,1.0,119.18,111.93,1581257.0,0.0
2018-04-03,111.8619,112.5,108.95,1.0,113.88,111.91,1504259.0,0.0
2018-04-04,114.4308,110.09,109.82,1.0,114.98,114.48,851856.0,0.0
2018-04-05,116.34,115.46,113.52,1.0,116.8299,116.39,873888.0,0.0
2018-04-06,111.8619,115.63,110.77,1.0,116.37,111.91,1291175.0,0.0
2018-04-09,110.3026,112.94,110.19,1.0,114.89,110.35,829454.0,0.0
2018-04-10,112.0918,111.14,109.53,1.0,112.68,112.14,946570.0,0.0
2018-04-11,110.8823,111.16,110.145,1.0,112.3153,110.93,577570.0,0.0
2018-04-12,110.5225,111.46,110.36,1.0,112.59,110.57,850957.0,0.0
2018-04-13,106.5642,111.14,105.39,1.0,112.4,106.61,1530438.0,0.0
2018-04-16,106.4042,106.93,105.02,1.0,108.03,106.45,971500.0,0.0
2018-04-17,108.1535,108.75,106.78,1.0,109.93,108.2,1254289.0,0.0
2018-04-18,107.3438,108.85,106.55,1.0,109.72,107.39,1303592.0,0.0
2018-04-19,105.1348,107.55,103.49,1.0,108.21,105.18,1516429.0,0.0
2018-04-20,103.7154,105.28,102.9,1.0,106.45,103.76,1064512.0,0.0
2018-04-23,105.4746,103.26,102.15,1.0,105.6,105.52,1029518.0,0.0
2018-04-24,106.884,105.76,105.2,1.0,107.83,106.93,1162850.0,0.0
2018-04-25,107.7736,106.82,106.44,1.0,109.31,107.82,1031221.0,0.0
2018-04-26,113.1313,112.02,110.08,1.0,115.12,113.18,1672458.0,0.0
2018-04-27,116.29,113.15,112.65,1.0,116.61,116.34,1158628.0,0.0
2018-04-30,114.4008,116.46,113.86,1.0,116.68,114.45,1057378.0,0.0
2018-05-01,115.5303,113.86,113.09,1.0,115.7,115.58,806889.0,0.0
2018-05-02,115.8502,115.51,113.8,1.0,117.085,115.9,1112968.0,0.0
2018-05-03,115.3804,115.58,114.54,1.0,116.6113,115.43,711624.0,0.0
2018-05-04,116.6198,115.0,113.84,1.0,117.73,116.67,860839.0,0.0
2018-05-07,116.0901,116.99,115.09,1.0,117.5,116.14,672511.0,0.0
2018-05-08,116.7498,118.81,116.31,1.0,118.97,116.8,1084936.0,0.0
2018-05-09,117.9393,116.87,111.86,1.0,118.14,117.99,1476420.0,0.0
2018-05-10,118.1792,118.25,116.78,1.0,118.59,118.23,594377.0,0.0
2018-05-11,119.8884,118.31,117.59,1.0,122.3,119.94,1354670.0,0.0
2018-05-14,121.5577,119.88,119.26,1.0,121.9,121.61,939180.0,0.0
2018-05-15,119.8684,121.29,118.78,1.0,121.44,119.92,878385.0,0.0
2018-05-16,118.9788,120.64,118.66,1.0,121.5,119.03,855271.0,0.0
2018-05-17,119.7385,119.14,118.08,1.0,120.58,119.79,1054851.0,0.0
2018-05-18,118.2691,119.37,118.21,1.0,119.86,118.32,1086968.0,0.0
2018-05-21,119.0988,118.4,116.38,1.0,119.64,119.15,1482925.0,0.0
2018-05-22,115.2804,123.55,113.61,1.0,125.89,115.33,3940210.0,0.0
2018-05-23,123.197,115.82,115.63,1.0,123.63,123.25,1964812.0,0.0
2018-05-24,125.1162,123.32,120.96,1.0,126.0,125.17,1270160.0,0.0
2018-05-25,124.8563,124.69,124.41,1.0,126.24,124.91,1173149.0,0.0
2018-05-29,123.9067,124.36,123.06,1.0,124.99,123.96,1163334.0,0.0
2018-05-30,128.4747,124.0,123.52,1.0,128.66,128.53,1223867.0,0.0
2018-05-31,128.5647,128.34,126.0,1.0,129.41,128.62,1535200.0,0.0
2018-06-01,128.2848,128.84,127.261,1.0,129.67,128.34,992976.0,0.0
2018-06-04,129.8541,129.0,128.99,1.0,131.98,129.91,1008588.0,0.0
2018-06-05,129.8941,129.77,129.24,1.0,130.86,129.95,881184.0,0.0
2018-06-06,130.5339,130.11,129.47,1.0,131.49,130.59,1173166.0,0.0
2018-06-07,129.9941,131.0,129.66,1.0,131.98,130.05,1506128.0,0.0
2018-06-08,131.6534,129.91,128.5105,1.0,132.665,131.71,863775.0,0.0
2018-06-11,132.6729,132.24,131.34,1.0,133.18,132.73,875626.0,0.0
2018-06-12,133.5825,133.65,132.83,1.0,134.75,133.64,887670.0,0.0
2018-06-13,132.623,133.37,131.49,1.0,133.58,132.68,771070.0,0.0
