date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,194.47,186.59,182.1,1.0,194.82,194.47,4346919.0,0.0
2018-02-07,192.34,193.87,192.02,1.0,196.24,192.34,2890969.0,0.0
2018-02-08,185.16,192.84,185.02,1.0,192.97,185.16,3493502.0,0.0
2018-02-09,187.99,187.33,179.34,1.0,189.71,187.99,3481182.0,0.0
2018-02-12,192.15,189.0,188.56,1.0,192.99,192.15,2795917.0,0.0
2018-02-13,193.48,190.85,190.39,1.0,194.31,193.48,1950162.0,0.0
2018-02-14,197.13,192.48,191.95,1.0,197.5,197.13,2469287.0,0.0
2018-02-15,202.97,198.97,197.13,1.0,203.28,202.97,2200958.0,0.0
2018-02-16,201.56,202.52,200.74,1.0,203.9,201.56,2143390.0,0.0
2018-02-20,202.98,200.46,199.18,1.0,205.115,202.98,2661258.0,0.0
2018-02-21,202.09,204.45,202.02,1.0,206.83,202.09,2020423.0,0.0
2018-02-22,202.61,203.07,201.68,1.0,204.22,202.61,1528383.0,0.0
2018-02-23,209.74,204.22,203.31,1.0,209.78,209.74,2305834.0,0.0
2018-02-26,212.15,211.29,209.261,1.0,212.35,212.15,2387717.0,0.0
2018-02-27,208.82,211.99,208.25,1.0,212.76,208.82,2270187.0,0.0
2018-02-28,209.13,210.69,209.1,1.0,213.44,209.13,2198029.0,0.0
2018-03-01,206.03,210.32,204.45,1.0,210.6834,206.03,2632234.0,0.0
2018-03-02,209.79,203.96,201.76,1.0,210.21,209.79,2624675.0,0.0
2018-03-05,211.16,208.75,206.92,1.0,212.0,211.16,2111808.0,0.0
2018-03-06,212.01,212.44,209.88,1.0,212.74,212.01,2169010.0,0.0
2018-03-07,216.86,211.33,211.0033,1.0,217.44,216.86,2795072.0,0.0
2018-03-08,216.4,218.03,214.86,1.0,219.71,216.4,2196084.0,0.0
2018-03-09,221.11,218.0,217.19,1.0,221.27,221.11,2563432.0,0.0
2018-03-12,220.94,222.97,220.34,1.0,223.11,220.94,3164229.0,0.0
2018-03-13,219.76,223.0,218.43,1.0,224.9,219.76,4704309.0,0.0
2018-03-14,218.44,220.75,217.6,1.0,221.46,218.44,3346182.0,0.0
2018-03-15,218.87,220.0,218.061,1.0,221.47,218.87,3972044.0,0.0
2018-03-16,225.55,227.18,224.0,1.0,228.88,225.55,8560410.0,0.0
2018-03-19,222.18,224.48,218.68,1.0,226.59,222.18,3889296.0,0.0
2018-03-20,229.75,223.19,223.0,1.0,231.34,229.75,4811898.0,0.0
2018-03-21,226.85,228.76,225.61,1.0,229.25,226.85,3910324.0,0.0
2018-03-22,220.52,223.86,220.255,1.0,225.87,220.52,2931334.0,0.0
2018-03-23,215.02,219.52,214.78,1.0,222.455,215.02,4188139.0,0.0
2018-03-26,228.91,218.83,218.5,1.0,229.15,228.91,4434467.0,0.0
2018-03-27,213.8,229.9,212.25,1.0,230.98,213.8,5164261.0,0.0
2018-03-28,212.54,213.72,209.04,1.0,217.15,212.54,4503154.0,0.0
2018-03-29,216.08,213.35,210.2737,1.0,219.59,216.08,3757447.0,0.0
2018-04-02,212.28,214.81,207.22,1.0,216.5,212.28,3494946.0,0.0
2018-04-03,215.93,214.78,212.28,1.0,217.8549,215.93,3017824.0,0.0
2018-04-04,225.05,210.71,210.5,1.0,226.28,225.05,4474394.0,0.0
