date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,63.6854,65.45,63.94,1.0,65.87,64.91,7852501.0,0.0
2018-02-07,63.234,64.92,64.36,1.0,65.44,64.45,5705512.0,0.0
2018-02-08,62.7925,63.59,63.32,1.0,64.83,63.38,4433706.0,0.62
2018-02-09,64.1201,63.54,63.39,1.0,65.19,64.72,4690248.0,0.0
2018-02-12,64.1994,64.68,64.21,1.0,65.16,64.8,3431876.0,0.0
2018-02-13,64.9721,64.81,64.19,1.0,65.82,65.58,3858331.0,0.0
2018-02-14,64.6947,65.16,64.5875,1.0,65.8,65.3,5750270.0,0.0
2018-02-15,66.0619,65.43,65.31,1.0,66.68,66.68,3816472.0,0.0
2018-02-16,66.6366,66.62,66.53,1.0,67.52,67.26,3358933.0,0.0
2018-02-20,65.7548,67.01,65.96,1.0,67.41,66.37,2700303.0,0.0
2018-02-21,64.9721,66.5,65.56,1.0,67.21,65.58,3569241.0,0.0
2018-02-22,65.0712,65.74,65.43,1.0,66.21,65.68,2527677.0,0.0
2018-02-23,66.7456,65.72,65.65,1.0,67.5,67.37,2380536.0,0.0
2018-02-26,66.3493,67.69,66.81,1.0,67.76,66.97,1886730.0,0.0
2018-02-27,65.3387,67.04,65.88,1.0,67.5,65.95,3605081.0,0.0
2018-02-28,64.9721,66.24,65.56,1.0,66.56,65.58,2826392.0,0.0
2018-03-01,65.0118,65.65,65.2391,1.0,66.73,65.62,3568049.0,0.0
2018-03-02,64.5758,65.74,64.6,1.0,66.35,65.18,4418660.0,0.0
2018-03-05,65.8737,65.09,64.831,1.0,66.72,66.49,2720225.0,0.0
2018-03-06,64.8929,66.35,65.18,1.0,66.385,65.5,3507731.0,0.0
2018-03-07,64.3183,65.35,64.645,1.0,65.52,64.92,3071030.0,0.0
2018-03-08,64.6947,65.04,65.0,1.0,65.58,65.3,2288062.0,0.0
2018-03-09,65.0415,65.35,65.08,1.0,65.68,65.65,3307269.0,0.0
2018-03-12,65.2595,65.74,65.58,1.0,65.99,65.87,3175783.0,0.0
2018-03-13,65.4279,66.01,65.57,1.0,66.35,66.04,2979636.0,0.0
2018-03-14,65.9728,66.23,66.11,1.0,66.93,66.59,2910262.0,0.0
2018-03-15,66.3691,66.59,66.495,1.0,67.58,66.99,4150292.0,0.0
2018-03-16,67.1815,67.09,67.071,1.0,67.92,67.81,6320653.0,0.0
2018-03-19,66.8248,67.69,67.105,1.0,68.16,67.45,2584954.0,0.0
2018-03-20,66.8248,67.21,67.18,1.0,67.86,67.45,2477476.0,0.0
2018-03-21,66.2898,67.45,66.72,1.0,67.93,66.91,2805257.0,0.0
2018-03-22,66.7356,67.03,66.86,1.0,68.34,67.36,3137520.0,0.0
2018-03-23,65.7746,67.43,66.25,1.0,67.97,66.39,3103516.0,0.0
2018-03-26,66.6861,66.82,66.56,1.0,67.51,67.31,2911694.0,0.0
2018-03-27,67.7957,67.31,67.05,1.0,68.98,68.43,3384254.0,0.0
2018-03-28,68.0236,68.63,68.03,1.0,68.92,68.66,3274695.0,0.0
2018-03-29,67.9542,68.71,68.5,1.0,69.24,68.59,2238888.0,0.0
2018-04-02,67.6471,68.79,67.77,1.0,69.3,68.28,2808529.0,0.0
2018-04-03,67.8155,68.26,67.93,1.0,68.79,68.45,2551460.0,0.0
2018-04-04,68.0335,68.41,67.89,1.0,68.81,68.67,2082744.0,0.0
2018-04-05,68.301,68.59,67.69,1.0,69.185,68.94,2017869.0,0.0
2018-04-06,67.8948,68.94,68.42,1.0,69.4154,68.53,2307493.0,0.0
2018-04-09,68.0731,68.4,68.28,1.0,69.14,68.71,1940911.0,0.0
2018-04-10,67.2409,68.62,67.65,1.0,68.75,67.87,2189182.0,0.0
2018-04-11,67.1617,67.8,67.51,1.0,68.2,67.79,1803220.0,0.0
2018-04-12,66.0223,67.8,66.46,1.0,67.91,66.64,2565372.0,0.0
2018-04-13,66.7158,66.92,66.69,1.0,67.59,67.34,1833748.0,0.0
2018-04-16,67.6372,67.48,67.42,1.0,68.4024,68.27,1537306.0,0.0
2018-04-17,68.2217,68.24,68.05,1.0,69.04,68.86,1710855.0,0.0
2018-04-18,68.0929,69.0,68.6774,1.0,69.665,68.73,2040641.0,0.0
2018-04-19,67.8849,68.63,68.1,1.0,68.8708,68.52,2464342.0,0.0
2018-04-20,67.8254,68.69,68.15,1.0,68.875,68.46,2634556.0,0.0
2018-04-23,67.8056,68.57,68.19,1.0,68.91,68.44,1875738.0,0.0
2018-04-24,68.2416,68.51,68.35,1.0,69.3501,68.88,2022293.0,0.0
2018-04-25,68.4496,68.71,68.51,1.0,69.33,69.09,3067772.0,0.0
2018-04-26,69.1233,69.16,68.85,1.0,69.92,69.77,2326163.0,0.0
2018-04-27,69.8961,69.5,69.5,1.0,70.9825,70.55,3009979.0,0.0
2018-04-30,69.3314,70.81,69.95,1.0,70.8112,69.98,3056165.0,0.0
2018-05-01,68.7964,69.97,69.31,1.0,69.99,69.44,3027976.0,0.0
2018-05-02,68.5487,69.3,68.84,1.0,69.6371,69.19,2669278.0,0.0
2018-05-03,68.5982,69.08,68.52,1.0,69.72,69.24,2346389.0,0.0
2018-05-04,68.7468,69.24,69.17,1.0,69.8,69.39,2238832.0,0.0
2018-05-07,68.1425,69.34,68.64,1.0,69.4494,68.78,1961245.0,0.0
2018-05-08,66.6267,68.55,67.09,1.0,68.74,67.25,4789658.0,0.0
2018-05-09,66.27,66.75,66.03,1.0,66.99,66.27,3535021.0,0.62
2018-05-10,67.02,66.47,66.33,1.0,67.04,67.02,1909849.0,0.0
2018-05-11,67.16,67.15,66.87,1.0,67.3492,67.16,1541608.0,0.0
2018-05-14,67.11,67.32,66.74,1.0,67.4,67.11,2843872.0,0.0
2018-05-15,66.81,66.65,66.411,1.0,67.09,66.81,4596104.0,0.0
2018-05-16,66.15,66.88,65.89,1.0,66.88,66.15,3652799.0,0.0
2018-05-17,65.22,66.17,65.0,1.0,66.43,65.22,3186762.0,0.0
2018-05-18,64.93,65.38,64.455,1.0,65.55,64.93,3145857.0,0.0
2018-05-21,65.09,65.0,64.58,1.0,65.24,65.09,2764992.0,0.0
2018-05-22,65.44,65.12,65.02,1.0,65.66,65.44,2319763.0,0.0
2018-05-23,66.47,65.61,65.42,1.0,66.5,66.47,2819954.0,0.0
2018-05-24,66.84,66.2,66.2,1.0,66.93,66.84,2442700.0,0.0
2018-05-25,67.22,66.84,66.74,1.0,67.395,67.22,2039191.0,0.0
2018-05-29,67.62,67.15,66.9,1.0,67.9,67.62,2758278.0,0.0
2018-05-30,68.0,67.21,67.1,1.0,68.21,68.0,2947313.0,0.0
2018-05-31,67.95,67.92,67.49,1.0,68.43,67.95,4301722.0,0.0
2018-06-01,66.68,67.69,66.4294,1.0,67.8,66.68,2789715.0,0.0
2018-06-04,66.05,66.99,65.95,1.0,67.12,66.05,2205643.0,0.0
2018-06-05,65.29,65.79,65.11,1.0,66.05,65.29,3221856.0,0.0
