date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,10.4688,10.4,10.15,1.0,10.64,10.58,11610561.0,0.0
2018-02-07,10.3699,10.6,10.465,1.0,10.78,10.48,8576986.0,0.0
2018-02-08,9.9543,10.44,10.05,1.0,10.45,10.06,13039875.0,0.0
2018-02-09,10.0928,10.13,9.865,1.0,10.28,10.2,10295538.0,0.0
2018-02-12,10.1621,10.23,10.03,1.0,10.335,10.27,9004157.0,0.0
2018-02-13,10.2115,10.26,10.16,1.0,10.39,10.32,6311016.0,0.0
2018-02-14,10.1621,10.23,10.14,1.0,10.33,10.27,5929061.0,0.0
2018-02-15,10.4094,10.36,10.32,1.0,10.52,10.52,7138177.0,0.0
2018-02-16,10.3402,10.44,10.43,1.0,10.61,10.45,5664573.0,0.0
2018-02-20,10.2907,10.39,10.36,1.0,10.54,10.4,7433447.0,0.0
2018-02-21,10.1225,10.44,10.23,1.0,10.5673,10.23,5317115.0,0.0
2018-02-22,10.1918,10.26,10.25,1.0,10.43,10.3,6626146.0,0.0
2018-02-23,10.3798,10.36,10.325,1.0,10.52,10.49,4644273.0,0.0
2018-02-26,10.3402,10.51,10.35,1.0,10.54,10.45,10758030.0,0.0
2018-02-27,11.1021,10.75,10.57,1.0,11.25,11.22,22076722.0,0.0
2018-02-28,10.7558,11.28,10.86,1.0,11.32,10.87,10117926.0,0.0
2018-03-01,10.8448,10.92,10.89,1.0,11.27,10.96,9875404.0,0.0
2018-03-02,10.7459,10.9,10.7,1.0,11.0,10.86,7723567.0,0.0
2018-03-05,10.8646,10.9,10.8,1.0,10.99,10.98,12072514.0,0.0
2018-03-06,10.8151,11.04,10.8301,1.0,11.095,10.93,8263142.0,0.0
2018-03-07,10.6865,10.87,10.71,1.0,10.92,10.8,7118294.0,0.0
2018-03-08,10.7261,10.84,10.83,1.0,10.94,10.84,5012315.0,0.0
2018-03-09,10.736,10.86,10.65,1.0,10.86,10.85,5797300.0,0.0
2018-03-12,10.6271,10.85,10.62,1.0,10.88,10.74,7480512.0,0.0
2018-03-13,10.5579,10.79,10.62,1.0,10.83,10.67,5711772.0,0.0
2018-03-14,10.5876,10.7,10.65,1.0,10.78,10.7,4288779.0,0.0
2018-03-15,10.5777,10.69,10.49,1.0,10.765,10.69,8913629.0,0.0
2018-03-16,10.7261,10.73,10.7,1.0,10.91,10.84,6991989.0,0.0
2018-03-19,10.6568,10.88,10.7,1.0,10.9,10.77,5638418.0,0.0
2018-03-20,10.5974,10.8,10.63,1.0,10.86,10.71,6314668.0,0.0
2018-03-21,10.6865,10.72,10.67,1.0,10.95,10.8,5630944.0,0.0
2018-03-22,10.7063,10.8,10.69,1.0,11.035,10.82,7836563.0,0.0
2018-03-23,10.6073,10.91,10.68,1.0,11.02,10.72,6507022.0,0.0
2018-03-26,10.7261,10.76,10.655,1.0,10.89,10.84,5714828.0,0.0
2018-03-27,10.8349,10.84,10.82,1.0,11.11,10.95,6968177.0,0.0
