date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,38.8593,39.3,38.85,1.0,39.8899,39.62,2262143.0,0.0
2018-02-07,38.4572,39.56,39.21,1.0,40.28,39.21,1038089.0,0.0
2018-02-08,37.4764,39.21,38.19,1.0,39.785,38.21,1281975.0,0.0
2018-02-09,38.5847,38.5,38.31,1.0,39.61,39.34,1444460.0,0.0
2018-02-12,38.516,39.44,38.22,1.0,39.44,39.27,1419740.0,0.0
2018-02-13,38.5258,39.17,38.9,1.0,39.43,39.28,833873.0,0.0
2018-02-14,37.9569,38.92,38.37,1.0,39.075,38.7,1061225.0,0.0
2018-02-15,38.9868,38.49,38.47,1.0,39.405,39.37,1709308.0,0.38
2018-02-16,39.3037,39.47,39.39,1.0,39.84,39.69,1489933.0,0.0
2018-02-20,38.7293,39.34,39.1,1.0,40.01,39.11,961894.0,0.0
2018-02-21,37.6301,39.07,37.97,1.0,39.37,38.0,1226697.0,0.0
2018-02-22,37.9074,38.15,38.15,1.0,38.75,38.28,1120776.0,0.0
2018-02-23,38.5016,38.48,38.27,1.0,38.91,38.88,934774.0,0.0
2018-02-26,38.6303,39.0,38.67,1.0,39.12,39.01,740158.0,0.0
2018-02-27,38.0559,38.92,38.25,1.0,39.15,38.43,1178189.0,0.0
2018-02-28,38.2837,38.56,38.5,1.0,39.15,38.66,2376446.0,0.0
2018-03-01,38.1055,38.49,38.32,1.0,39.09,38.48,1381372.0,0.0
2018-03-02,38.0361,38.47,38.24,1.0,38.83,38.41,1132728.0,0.0
2018-03-05,38.3827,38.34,38.17,1.0,38.86,38.76,1305621.0,0.0
2018-03-06,38.2441,38.72,38.1899,1.0,38.79,38.62,1443013.0,0.0
2018-03-07,38.4421,38.6,38.6,1.0,39.06,38.82,1116185.0,0.0
2018-03-08,38.6204,38.82,38.7,1.0,39.15,39.0,1106372.0,0.0
2018-03-09,39.6008,39.03,38.93,1.0,40.0,39.99,1972587.0,0.0
2018-03-12,39.6503,40.0,39.62,1.0,40.12,40.04,1362193.0,0.0
2018-03-13,39.6602,40.27,39.89,1.0,40.44,40.05,862446.0,0.0
2018-03-14,39.9077,40.06,40.01,1.0,40.43,40.3,1247528.0,0.0
2018-03-15,39.8681,40.25,39.97,1.0,40.55,40.26,864700.0,0.0
2018-03-16,40.2939,40.29,40.1418,1.0,40.77,40.69,1405431.0,0.0
2018-03-19,40.0662,40.61,40.15,1.0,40.61,40.46,815506.0,0.0
2018-03-20,39.7196,40.47,39.9,1.0,40.67,40.11,1516385.0,0.0
2018-03-21,39.4027,40.01,39.52,1.0,40.12,39.79,866954.0,0.0
2018-03-22,38.7293,39.67,39.1,1.0,40.21,39.11,1171250.0,0.0
2018-03-23,38.2441,39.14,38.4,1.0,39.35,38.62,1335328.0,0.0
2018-03-26,38.7194,38.73,38.71,1.0,39.2,39.1,767019.0,0.0
2018-03-27,39.165,39.1,38.73,1.0,39.98,39.55,1005991.0,0.0
2018-03-28,40.185,39.74,39.74,1.0,40.78,40.58,1302417.0,0.0
2018-03-29,40.3534,40.6,40.53,1.0,41.04,40.75,1451752.0,0.0
2018-04-02,40.086,40.75,40.22,1.0,40.925,40.48,1577005.0,0.0
