date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,64.6105,65.02,64.1,1.0,66.12,65.4,2422220.0,0.0
2018-02-07,65.3119,65.36,65.23,1.0,67.25,66.11,1227630.0,0.0
2018-02-08,63.6225,66.18,64.37,1.0,67.02,64.4,2353539.0,0.0
2018-02-09,64.156,64.89,63.54,1.0,65.43,64.94,1725659.0,0.0
2018-02-12,65.4107,65.28,64.88,1.0,66.43,66.21,1212019.0,0.0
2018-02-13,66.1714,66.02,65.9,1.0,67.17,66.98,880284.0,0.0
2018-02-14,67.3767,66.6,66.5,1.0,68.32,68.2,776652.0,0.0
2018-02-15,68.2164,68.67,68.35,1.0,69.11,69.05,912429.0,0.0
2018-02-16,68.1374,68.92,68.47,1.0,69.41,68.97,1110370.0,0.0
2018-02-20,68.4733,68.92,68.67,1.0,69.94,69.31,857455.0,0.0
2018-02-21,68.0781,69.23,68.87,1.0,70.19,68.91,1173955.0,0.0
2018-02-22,67.3075,69.0,67.955,1.0,69.2799,68.13,1266065.0,0.0
2018-02-23,68.1571,68.53,68.3026,1.0,69.02,68.99,713807.0,0.0
2018-02-26,68.9178,69.26,69.21,1.0,69.82,69.76,926478.0,0.0
2018-02-27,69.1352,69.61,69.6,1.0,71.3,69.98,1436077.0,0.0
2018-02-28,68.2757,70.38,69.11,1.0,70.82,69.11,940606.0,0.0
2018-03-01,67.9497,68.89,67.88,1.0,69.59,68.37,1415155.0,0.41
2018-03-02,68.2379,67.94,67.631,1.0,68.755,68.66,808513.0,0.0
2018-03-05,69.2317,68.37,68.29,1.0,69.95,69.66,1187674.0,0.0
2018-03-06,69.182,69.77,68.81,1.0,69.77,69.61,836141.0,0.0
2018-03-07,69.1224,69.17,69.075,1.0,69.92,69.55,707958.0,0.0
2018-03-08,69.6193,69.93,69.35,1.0,70.12,70.05,746241.0,0.0
2018-03-09,72.1835,71.29,70.375,1.0,72.77,72.63,1646618.0,0.0
2018-03-12,71.2691,72.52,71.4,1.0,72.52,71.71,997429.0,0.0
2018-03-13,70.8318,72.14,71.13,1.0,72.155,71.27,923221.0,0.0
2018-03-14,70.3051,71.42,70.47,1.0,71.42,70.74,844506.0,0.0
2018-03-15,70.3051,71.11,70.51,1.0,71.18,70.74,804181.0,0.0
2018-03-16,70.5734,70.74,70.53,1.0,71.4,71.01,2451287.0,0.0
2018-03-19,70.0865,71.04,70.07,1.0,71.4025,70.52,1043195.0,0.0
2018-03-20,70.4144,70.8,70.57,1.0,71.19,70.85,741642.0,0.0
2018-03-21,69.838,70.91,70.24,1.0,71.04,70.27,716153.0,0.0
2018-03-22,68.1484,69.76,68.54,1.0,70.33,68.57,964685.0,0.0
2018-03-23,66.28,68.57,66.62,1.0,68.77,66.69,1291059.0,0.0
2018-03-26,67.8105,67.26,66.78,1.0,68.28,68.23,1899142.0,0.0
2018-03-27,67.1148,68.4,67.12,1.0,68.76,67.53,746146.0,0.0
2018-03-28,67.7807,67.77,67.2701,1.0,68.64,68.2,944256.0,0.0
2018-03-29,68.3075,68.64,68.03,1.0,69.12,68.73,1265477.0,0.0
2018-04-02,66.6875,68.65,66.07,1.0,68.75,67.1,1277401.0,0.0
2018-04-03,67.4329,67.22,66.99,1.0,68.03,67.85,1221927.0,0.0
2018-04-04,67.9795,66.99,66.81,1.0,68.52,68.4,1201354.0,0.0
2018-04-05,68.0093,68.64,68.18,1.0,68.83,68.43,786940.0,0.0
2018-04-06,66.6775,67.89,66.58,1.0,68.29,67.09,934109.0,0.0
2018-04-09,67.0155,67.34,67.1,1.0,68.38,67.43,746328.0,0.0
2018-04-10,67.9497,68.27,67.88,1.0,68.73,68.37,1110970.0,0.0
2018-04-11,67.6316,67.8,67.49,1.0,68.3,68.05,665216.0,0.0
2018-04-12,68.1385,68.25,68.12,1.0,68.99,68.56,682991.0,0.0
2018-04-13,68.0292,69.01,68.32,1.0,69.23,68.45,847073.0,0.0
2018-04-16,68.8541,68.96,68.845,1.0,69.88,69.28,561834.0,0.0
2018-04-17,69.2218,69.86,69.5,1.0,70.18,69.65,1052014.0,0.0
2018-04-18,69.3908,69.83,69.48,1.0,70.22,69.82,865387.0,0.0
2018-04-19,69.669,69.84,69.64,1.0,70.41,70.1,870197.0,0.0
