date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,63.67,61.7,61.41,1.0,64.04,63.67,2893650.0,0.0
2018-02-07,64.48,67.75,64.31,1.0,68.65,64.48,5324054.0,0.0
2018-02-08,62.49,64.79,62.46,1.0,64.96,62.49,2166411.0,0.0
2018-02-09,64.13,63.05,61.0,1.0,64.63,64.13,2174539.0,0.0
2018-02-12,64.93,64.65,63.9,1.0,65.47,64.93,1575241.0,0.0
2018-02-13,64.49,64.55,64.42,1.0,65.03,64.49,1605118.0,0.0
2018-02-14,66.87,64.57,64.5,1.0,67.15,66.87,1758584.0,0.0
2018-02-15,67.4,66.81,66.61,1.0,67.43,67.4,1426479.0,0.0
2018-02-16,66.89,67.0,66.82,1.0,67.95,66.89,1074950.0,0.0
2018-02-20,66.77,66.52,66.28,1.0,67.37,66.77,1366282.0,0.0
2018-02-21,66.32,66.97,66.28,1.0,67.78,66.32,1753281.0,0.0
2018-02-22,66.25,66.42,66.04,1.0,67.11,66.25,988900.0,0.0
2018-02-23,67.36,66.52,66.38,1.0,67.37,67.36,918469.0,0.0
2018-02-26,68.6,67.56,67.56,1.0,69.0,68.6,1336021.0,0.0
2018-02-27,68.24,68.5,67.39,1.0,68.93,68.24,1159771.0,0.0
2018-02-28,67.46,68.7,67.46,1.0,69.0,67.46,1027545.0,0.0
2018-03-01,67.92,67.44,67.15,1.0,68.74,67.92,1258684.0,0.0
2018-03-02,69.43,66.93,66.67,1.0,69.5,69.43,1493030.0,0.0
2018-03-05,69.81,68.84,68.2782,1.0,70.115,69.81,1398682.0,0.0
2018-03-06,69.94,70.0,69.46,1.0,70.7,69.94,1002078.0,0.0
2018-03-07,69.99,69.5,69.36,1.0,70.42,69.99,2000355.0,0.0
2018-03-08,75.08,70.5,70.3001,1.0,75.19,75.08,4132345.0,0.0
2018-03-09,76.07,76.72,73.98,1.0,78.28,76.07,3180935.0,0.0
2018-03-12,74.97,75.87,74.551,1.0,75.99,74.97,1299466.0,0.0
2018-03-13,73.3,75.1,73.15,1.0,75.6,73.3,1304613.0,0.0
2018-03-14,73.25,73.12,72.69,1.0,73.6,73.25,981717.0,0.0
2018-03-15,74.71,74.8,74.0891,1.0,75.38,74.71,1848939.0,0.0
2018-03-16,74.02,74.52,74.0,1.0,74.87,74.02,2449581.0,0.0
2018-03-19,72.49,73.51,71.99,1.0,74.0,72.49,1134503.0,0.0
2018-03-20,73.68,72.54,72.54,1.0,73.79,73.68,1200606.0,0.0
