date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,79.7087,77.65,76.76,1.0,80.93,80.11,1131370.0,0.0
2018-02-07,79.5595,79.74,79.74,1.0,81.2,79.96,578342.0,0.0
2018-02-08,76.9327,79.92,77.24,1.0,80.24,77.32,885441.0,0.0
2018-02-09,78.0969,78.21,76.15,1.0,79.02,78.49,1265758.0,0.0
2018-02-12,79.3505,79.15,78.9792,1.0,80.4,79.75,1009942.0,0.0
2018-02-13,79.251,79.47,78.94,1.0,80.4,79.65,623074.0,0.0
2018-02-14,79.5694,78.93,78.745,1.0,80.5,79.97,1074414.0,0.0
2018-02-15,81.848,80.8,80.52,1.0,82.57,82.26,685453.0,0.0
2018-02-16,82.3057,82.19,81.85,1.0,83.535,82.72,692073.0,0.0
2018-02-20,85.2309,86.21,85.3,1.0,88.41,85.66,1653573.0,0.0
2018-02-21,86.2856,86.13,85.44,1.0,87.94,86.72,1168828.0,0.0
2018-02-22,85.609,87.27,85.57,1.0,88.29,86.04,1061858.0,0.0
2018-02-23,85.7384,86.5,85.83,1.0,87.09,86.17,794750.0,0.0
2018-02-26,87.41,86.55,85.97,1.0,88.0,87.85,1002809.0,0.0
2018-02-27,86.5344,87.61,86.69,1.0,87.85,86.97,1218550.0,0.0
2018-02-28,83.6887,87.03,84.1,1.0,87.05,84.11,1141028.0,0.0
2018-03-01,81.6589,84.15,81.86,1.0,84.92,82.07,957412.0,0.0
2018-03-02,81.8181,81.6,80.59,1.0,82.43,82.23,630085.0,0.0
2018-03-05,82.5942,81.62,81.42,1.0,83.31,83.01,559738.0,0.0
2018-03-06,83.4997,83.09,82.71,1.0,84.37,83.92,706807.0,0.0
2018-03-07,83.5096,83.27,83.0,1.0,84.15,83.93,450479.0,0.0
2018-03-08,84.3355,84.43,84.16,1.0,85.16,84.76,526380.0,0.0
2018-03-09,86.7732,85.25,85.25,1.0,87.3,87.21,705529.0,0.0
2018-03-12,86.9622,87.52,87.045,1.0,87.7805,87.4,621784.0,0.0
2018-03-13,85.6588,87.7,85.28,1.0,87.99,86.09,643161.0,0.0
2018-03-14,85.1414,86.41,85.24,1.0,86.41,85.36,294285.0,0.21
2018-03-15,85.2611,85.53,84.79,1.0,85.83,85.48,313852.0,0.0
2018-03-16,85.6601,85.37,85.26,1.0,86.27,85.88,654712.0,0.0
2018-03-19,85.0317,85.84,84.48,1.0,85.965,85.25,407997.0,0.0
2018-03-20,85.4107,85.32,84.94,1.0,86.27,85.63,371382.0,0.0
2018-03-21,85.7199,85.77,85.53,1.0,86.69,85.94,350007.0,0.0
2018-03-22,84.3833,85.29,84.55,1.0,86.67,84.6,686645.0,0.0
2018-03-23,82.7475,84.86,82.84,1.0,85.21,82.96,772713.0,0.0
2018-03-26,84.3434,84.14,83.19,1.0,84.62,84.56,762366.0,0.0
2018-03-27,83.7849,85.08,83.82,1.0,86.0,84.0,805833.0,0.0
2018-03-28,82.9171,84.0,82.91,1.0,84.05,83.13,717868.0,0.0
2018-03-29,85.0716,83.72,83.33,1.0,85.77,85.29,807114.0,0.0
2018-04-02,83.0268,85.28,82.25,1.0,85.35,83.24,530739.0,0.0
2018-04-03,84.3734,83.44,83.22,1.0,85.0,84.59,623305.0,0.0
2018-04-04,85.5204,83.45,82.85,1.0,86.13,85.74,971692.0,0.0
