date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,190.0473,182.0,181.0135,1.0,191.18,190.7,689492.0,0.0
2018-02-07,187.526,188.61,186.67,1.0,191.35,187.87,575736.0,0.3
2018-02-08,178.782,187.32,178.921,1.0,187.91,179.11,691626.0,0.0
2018-02-09,179.91,181.96,173.93,1.0,182.07,180.24,592132.0,0.0
2018-02-12,180.8582,181.6,179.48,1.0,184.21,181.19,380409.0,0.0
2018-02-13,181.5969,180.64,178.64,1.0,182.49,181.93,638556.0,0.0
2018-02-14,189.1031,180.53,179.9,1.0,189.62,189.45,663955.0,0.0
2018-02-15,189.9415,190.76,188.04,1.0,192.91,190.29,597304.0,0.0
2018-02-16,191.4388,189.57,188.86,1.0,192.8,191.79,351384.0,0.0
2018-02-20,186.957,190.35,186.84,1.0,192.335,187.3,477294.0,0.0
2018-02-21,188.6839,187.83,186.67,1.0,194.05,189.03,442861.0,0.0
2018-02-22,186.4879,189.96,186.57,1.0,191.35,186.83,421074.0,0.0
2018-02-23,189.6621,188.0,187.22,1.0,190.01,190.01,271870.0,0.0
2018-02-26,194.5032,190.74,189.78,1.0,195.1,194.86,342972.0,0.0
2018-02-27,189.9016,194.06,190.09,1.0,195.38,190.25,491401.0,0.0
2018-02-28,189.0133,190.94,189.25,1.0,192.66,189.36,481419.0,0.0
2018-03-01,185.0306,189.17,184.63,1.0,189.93,185.37,418456.0,0.0
2018-03-02,187.1367,183.85,182.33,1.0,188.15,187.48,264405.0,0.0
2018-03-05,187.8154,185.2,184.88,1.0,189.35,188.16,425713.0,0.0
2018-03-06,191.4488,188.72,187.16,1.0,191.84,191.8,290582.0,0.0
2018-03-07,189.7519,189.43,187.34,1.0,190.68,190.1,411565.0,0.0
2018-03-08,191.1893,191.37,188.4,1.0,191.7,191.54,353211.0,0.0
2018-03-09,195.7509,193.27,192.265,1.0,196.25,196.11,304010.0,0.0
2018-03-12,194.3734,195.55,193.63,1.0,197.03,194.73,355524.0,0.0
2018-03-13,194.593,195.97,194.11,1.0,196.9,194.95,408291.0,0.0
2018-03-14,193.1057,196.23,192.815,1.0,196.6,193.46,300148.0,0.0
2018-03-15,190.1112,193.46,189.55,1.0,194.26,190.46,306876.0,0.0
2018-03-16,192.0477,190.57,190.29,1.0,194.17,192.4,723519.0,0.0
2018-03-19,190.3109,192.44,188.2,1.0,193.615,190.66,370537.0,0.0
2018-03-20,188.9035,191.27,187.95,1.0,191.27,189.25,511934.0,0.0
2018-03-21,191.9079,189.57,188.44,1.0,194.9,192.26,359738.0,0.0
2018-03-22,184.8309,189.59,184.03,1.0,190.955,185.17,346186.0,0.0
2018-03-23,180.5887,185.69,180.615,1.0,186.47,180.92,340119.0,0.0
2018-03-26,188.2546,184.97,182.51,1.0,189.03,188.6,288311.0,0.0
2018-03-27,184.8908,189.77,183.915,1.0,189.77,185.23,418759.0,0.0
2018-03-28,184.6612,185.87,183.55,1.0,186.5,185.0,355975.0,0.0
2018-03-29,189.2328,186.26,185.3,1.0,190.82,189.58,266571.0,0.0
2018-04-02,180.0996,187.53,178.02,1.0,187.53,180.43,518538.0,0.0
2018-04-03,181.1078,181.64,178.94,1.0,183.22,181.44,399523.0,0.0
2018-04-04,183.5932,177.21,176.4201,1.0,184.45,183.93,378945.0,0.0
2018-04-05,181.6767,184.21,181.3,1.0,185.0,182.01,405740.0,0.0
2018-04-06,176.1169,179.45,174.37,1.0,180.69,176.44,454657.0,0.0
2018-04-09,174.3601,177.52,174.61,1.0,179.64,174.68,383530.0,0.0
2018-04-10,175.9572,178.52,175.62,1.0,179.07,176.28,804975.0,0.0
2018-04-11,170.5072,172.74,170.73,1.0,174.21,170.82,548449.0,0.0
2018-04-12,172.9926,171.99,171.23,1.0,174.8,173.31,542099.0,0.0
2018-04-13,168.9401,174.63,168.17,1.0,174.95,169.25,618721.0,0.0
2018-04-16,171.0462,171.04,170.49,1.0,173.63,171.36,497083.0,0.0
2018-04-17,172.6133,172.99,171.955,1.0,174.05,172.93,554719.0,0.0
2018-04-18,171.0662,173.42,171.38,1.0,174.39,171.38,411451.0,0.0
2018-04-19,172.264,171.39,171.175,1.0,173.24,172.58,259302.0,0.0
2018-04-20,171.0662,172.8,170.05,1.0,174.5,171.38,496533.0,0.0
2018-04-23,170.5072,171.72,170.5,1.0,173.725,170.82,273956.0,0.0
2018-04-24,168.6506,172.37,167.89,1.0,172.65,168.96,383012.0,0.0
2018-04-25,168.6806,168.91,168.095,1.0,170.07,168.99,394245.0,0.0
2018-04-26,169.7686,169.3,167.61,1.0,170.25,170.08,410185.0,0.0
2018-04-27,169.6887,170.0,168.8,1.0,170.56,170.0,571844.0,0.0
2018-04-30,164.5581,161.23,160.31,1.0,170.73,164.86,993884.0,0.0
2018-05-01,163.8295,164.03,161.53,1.0,166.03,164.13,541699.0,0.0
2018-05-02,160.795,164.08,160.83,1.0,164.905,161.09,958691.0,0.0
2018-05-03,159.7769,160.19,156.19,1.0,160.8,160.07,525379.0,0.0
2018-05-04,161.4239,158.86,158.86,1.0,163.36,161.72,329045.0,0.0
2018-05-07,162.1525,162.66,160.95,1.0,163.95,162.45,306319.0,0.0
2018-05-08,162.981,162.27,161.71,1.0,164.69,163.28,414472.0,0.0
2018-05-09,163.53,163.68,161.875,1.0,164.9,163.53,252017.0,0.3
2018-05-10,164.7,163.91,162.973,1.0,165.73,164.7,224405.0,0.0
2018-05-11,164.76,165.1,164.3,1.0,165.8942,164.76,177136.0,0.0
2018-05-14,165.86,165.49,164.96,1.0,166.92,165.86,340330.0,0.0
2018-05-15,166.56,165.03,164.7285,1.0,166.6,166.56,345715.0,0.0
2018-05-16,167.33,166.2,166.2,1.0,168.75,167.33,224635.0,0.0
2018-05-17,169.25,167.46,166.2,1.0,169.6415,169.25,398033.0,0.0
2018-05-18,167.71,169.05,167.66,1.0,169.54,167.71,230641.0,0.0
2018-05-21,166.82,168.77,166.7,1.0,169.8847,166.82,306973.0,0.0
2018-05-22,167.43,167.05,165.99,1.0,168.12,167.43,323862.0,0.0
2018-05-23,164.96,166.49,163.4,1.0,167.0,164.96,274681.0,0.0
2018-05-24,163.96,164.21,161.94,1.0,164.68,163.96,200951.0,0.0
2018-05-25,163.33,163.31,161.314,1.0,164.1,163.33,537767.0,0.0
2018-05-29,157.23,161.56,155.69,1.0,162.12,157.23,580295.0,0.0
2018-05-30,160.86,158.59,158.09,1.0,160.99,160.86,538162.0,0.0
2018-05-31,159.26,160.43,158.22,1.0,161.4,159.26,367708.0,0.0
2018-06-01,161.23,161.06,160.64,1.0,162.5796,161.23,271674.0,0.0
2018-06-04,162.28,161.94,161.39,1.0,162.92,162.28,316290.0,0.0
2018-06-05,163.32,162.05,160.63,1.0,163.84,163.32,415255.0,0.0
2018-06-06,166.9,164.25,164.05,1.0,168.04,166.9,526515.0,0.0
2018-06-07,165.17,168.0,164.31,1.0,168.19,165.17,409331.0,0.0
2018-06-08,165.05,164.98,163.58,1.0,165.1,165.05,488667.0,0.0
2018-06-11,163.76,165.27,163.76,1.0,166.62,163.76,233696.0,0.0
2018-06-12,162.18,164.19,162.14,1.0,165.24,162.18,330742.0,0.0
2018-06-13,156.0,162.25,155.94,1.0,162.9,156.0,920269.0,0.0
2018-06-14,155.51,156.54,155.04,1.0,157.06,155.51,563417.0,0.0
2018-06-15,155.81,154.28,153.895,1.0,157.09,155.81,740869.0,0.0
2018-06-18,153.0,154.96,152.71,1.0,155.79,153.0,667127.0,0.0
2018-06-19,154.0,151.42,150.55,1.0,155.03,154.0,863271.0,0.0
2018-06-20,152.73,154.71,152.625,1.0,155.49,152.73,520613.0,0.0
2018-06-21,153.43,152.73,151.68,1.0,153.75,153.43,549700.0,0.0
2018-06-22,154.62,154.27,153.64,1.0,155.26,154.62,610638.0,0.0
