date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,158.6651,154.52,154.03,1.0,161.84,160.56,1892791.0,0.0
2018-02-07,158.2204,159.33,159.0,1.0,164.34,160.11,1311889.0,0.0
2018-02-08,150.7002,160.1,152.445,1.0,160.9,152.5,1458260.0,0.0
2018-02-09,152.0639,154.78,148.62,1.0,155.64,153.88,1473381.0,0.0
2018-02-12,154.0699,155.64,154.75,1.0,158.1,155.91,1062074.0,0.0
2018-02-13,154.7716,154.78,153.62,1.0,157.48,156.62,1544576.0,0.0
2018-02-14,158.6552,155.49,154.525,1.0,160.84,160.55,1065505.0,0.0
2018-02-15,157.9437,161.59,157.41,1.0,161.75,159.0,909779.0,0.83
2018-02-16,158.7483,158.15,158.08,1.0,160.88,159.81,749487.0,0.0
2018-02-20,157.7053,158.57,157.65,1.0,160.95,158.76,760777.0,0.0
2018-02-21,158.3212,159.05,158.49,1.0,163.88,159.38,987985.0,0.0
2018-02-22,156.9603,160.63,157.73,1.0,161.18,158.01,784218.0,0.0
2018-02-23,159.2152,158.89,158.5083,1.0,160.41,160.28,765041.0,0.0
2018-02-26,161.2416,161.28,160.45,1.0,162.67,162.32,662516.0,0.0
2018-02-27,158.7086,162.24,159.71,1.0,163.85,159.77,1001899.0,0.0
2018-02-28,155.4007,160.12,156.36,1.0,161.38,156.44,1201264.0,0.0
2018-03-01,152.6392,156.33,152.34,1.0,157.19,153.66,1309446.0,0.0
2018-03-02,149.9074,151.35,147.9,1.0,152.1,150.91,1661171.0,0.0
2018-03-05,154.5861,149.56,148.0,1.0,156.06,155.62,1318164.0,0.0
2018-03-06,154.5365,156.32,154.02,1.0,156.515,155.57,646073.0,0.0
2018-03-07,154.7053,153.93,153.665,1.0,156.09,155.74,886093.0,0.0
2018-03-08,155.3709,156.41,154.31,1.0,156.7,156.41,702831.0,0.0
2018-03-09,160.0397,158.01,157.12,1.0,161.58,161.11,815904.0,0.0
2018-03-12,158.8178,160.9,159.39,1.0,161.16,159.88,682271.0,0.0
2018-03-13,157.8543,160.84,158.345,1.0,161.52,158.91,1172920.0,0.0
2018-03-14,155.9669,159.99,156.58,1.0,159.99,157.01,556738.0,0.0
2018-03-15,154.3577,157.32,155.04,1.0,157.59,155.39,672185.0,0.0
2018-03-16,156.0563,155.55,155.19,1.0,158.61,157.1,1464404.0,0.0
2018-03-19,155.0033,156.79,154.83,1.0,157.69,156.04,570033.0,0.0
2018-03-20,156.096,156.91,156.525,1.0,158.0,157.14,905795.0,0.0
2018-03-21,156.8113,157.29,154.91,1.0,159.95,157.86,682376.0,0.0
2018-03-22,150.0564,155.8,150.9,1.0,156.475,151.06,892514.0,0.0
2018-03-23,143.9274,151.18,144.55,1.0,152.37,144.89,1058081.0,0.0
2018-03-26,148.5565,147.77,146.5,1.0,149.95,149.55,1140450.0,0.0
