date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,138.6368,140.28,137.63,1.0,142.17,140.17,3712804.0,0.0
2018-02-07,138.4686,139.85,139.24,1.0,142.33,140.0,2243216.0,0.0
2018-02-08,132.109,139.88,133.46,1.0,140.93,133.57,3745764.0,0.0
2018-02-09,134.5618,134.35,130.37,1.0,136.93,136.05,3961314.0,0.0
2018-02-12,134.7399,136.99,133.83,1.0,137.23,136.23,3817718.0,0.0
2018-02-13,134.819,136.03,134.86,1.0,136.92,136.31,3495988.0,0.0
2018-02-14,133.9981,135.03,132.62,1.0,135.9,135.48,4790700.0,0.0
2018-02-15,134.73,135.56,133.045,1.0,136.93,136.22,3215696.0,0.0
2018-02-16,138.4884,135.86,135.8,1.0,141.05,140.02,2925613.0,0.0
2018-02-20,137.7169,139.16,138.67,1.0,140.7,139.24,2217145.0,0.0
2018-02-21,135.9366,139.43,137.34,1.0,140.25,137.44,2811368.0,0.0
2018-02-22,137.4598,137.96,137.23,1.0,140.48,138.98,2727812.0,0.0
2018-02-23,140.3182,139.6,138.87,1.0,141.87,141.87,1906413.0,0.0
2018-02-26,141.1787,142.14,142.08,1.0,142.95,142.74,2204725.0,0.0
2018-02-27,139.161,142.72,135.81,1.0,142.99,140.7,4567208.0,0.0
2018-02-28,137.806,141.31,139.31,1.0,141.62,139.33,4009924.0,0.0
2018-03-01,133.8893,139.0,134.91,1.0,139.62,135.37,3177951.0,0.0
2018-03-02,132.5343,134.63,132.02,1.0,134.75,134.0,3224579.0,0.0
2018-03-05,135.3135,133.27,133.27,1.0,137.24,136.81,2486090.0,0.0
2018-03-06,137.3609,136.73,136.21,1.0,140.43,138.88,3144476.0,0.0
2018-03-07,138.4686,137.99,137.63,1.0,140.84,140.0,2749973.0,0.0
2018-03-08,141.1787,140.51,140.11,1.0,142.87,142.74,2676433.0,0.0
2018-03-09,142.0095,142.67,142.53,1.0,144.325,143.58,2166758.0,0.0
2018-03-12,143.4931,143.31,143.31,1.0,145.7,145.08,2416469.0,0.0
2018-03-13,144.6503,145.32,145.32,1.0,150.12,146.25,2145870.0,0.0
2018-03-14,144.858,146.5,145.59,1.0,147.32,146.46,2286622.0,0.0
2018-03-15,145.0459,146.98,145.91,1.0,147.425,146.65,2134546.0,0.0
2018-03-16,144.947,146.37,145.37,1.0,147.1999,146.55,4036925.0,0.0
2018-03-19,143.5326,146.26,144.02,1.0,146.62,145.12,2571762.0,0.0
2018-03-20,144.7096,145.38,145.38,1.0,147.68,146.31,2480655.0,0.0
2018-03-21,140.7731,146.81,142.18,1.0,146.81,142.33,2422301.0,0.0
2018-03-22,141.4457,141.87,141.28,1.0,145.1915,143.01,2450793.0,0.0
2018-03-23,140.7138,142.98,141.91,1.0,144.84,142.27,2161518.0,0.0
2018-03-26,143.6216,144.23,142.61,1.0,145.51,145.21,2143161.0,0.0
2018-03-27,142.8798,145.14,142.97,1.0,147.15,144.46,3042491.0,0.0
2018-03-28,142.7216,144.31,144.06,1.0,146.205,144.3,2423063.0,0.0
2018-03-29,143.7502,144.8,143.61,1.0,145.82,145.34,2978285.0,0.0
2018-04-02,142.2567,145.73,142.785,1.0,146.99,143.83,2705360.0,0.0
2018-04-03,139.8731,144.09,140.39,1.0,144.87,141.42,3442378.0,0.0
2018-04-04,141.4853,140.98,140.24,1.0,143.55,143.05,1956481.0,0.0
