date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,102.1303,97.48,97.25,1.0,103.34,103.19,2590022.0,0.0
2018-02-07,99.5867,102.87,100.51,1.0,105.21,100.62,2176644.0,0.0
2018-02-08,95.9049,100.53,96.86,1.0,101.2,96.9,1654079.0,0.0
2018-02-09,96.3107,97.94,94.54,1.0,98.735,97.31,1716514.0,0.0
2018-02-12,96.6274,98.14,97.08,1.0,99.8,97.63,1290294.0,0.0
2018-02-13,96.766,97.21,96.72,1.0,97.99,97.77,1131335.0,0.0
2018-02-14,97.5974,97.37,97.03,1.0,99.488,98.61,1152847.0,0.0
2018-02-15,98.0527,99.01,97.88,1.0,100.0,99.07,1626242.0,0.0
2018-02-16,95.1626,98.23,94.66,1.0,98.96,96.15,2723794.0,0.0
2018-02-20,93.2129,95.54,93.56,1.0,96.39,94.18,1753758.0,0.0
2018-02-21,91.5996,94.08,92.55,1.0,95.03,92.55,1386359.0,0.0
2018-02-22,91.5006,93.06,92.4,1.0,94.52,92.45,1127780.0,0.0
2018-02-23,93.5593,93.13,92.79,1.0,94.68,94.53,1420659.0,0.0
2018-02-26,93.5692,94.42,93.63,1.0,94.85,94.54,1612404.0,0.0
2018-02-27,93.203,94.36,93.4,1.0,95.23,93.58,1598986.0,0.59
2018-02-28,89.2589,93.62,89.58,1.0,94.37,89.62,1828404.0,0.0
2018-03-01,90.6832,89.64,89.64,1.0,92.34,91.05,1950888.0,0.0
2018-03-02,91.6293,90.45,90.1,1.0,92.3,92.0,1484291.0,0.0
2018-03-05,94.0695,92.01,91.23,1.0,95.21,94.45,2294801.0,0.0
2018-03-06,96.0415,95.0,94.575,1.0,97.31,96.43,2477008.0,0.0
2018-03-07,96.3303,95.41,95.35,1.0,98.15,96.72,2073138.0,0.0
2018-03-08,100.0951,97.13,96.86,1.0,100.63,100.5,3799540.0,0.0
2018-03-09,101.7484,101.69,100.76,1.0,102.96,102.16,2133671.0,0.0
2018-03-12,99.5871,102.65,99.29,1.0,102.705,99.99,2266165.0,0.0
2018-03-13,98.1729,100.04,98.19,1.0,101.22,98.57,2000503.0,0.0
2018-03-14,99.0294,98.57,98.51,1.0,100.59,99.43,1449074.0,0.0
2018-03-15,96.8482,99.38,95.13,1.0,100.11,97.24,1969224.0,0.0
2018-03-16,98.8003,97.26,97.03,1.0,99.53,99.2,2072228.0,0.0
2018-03-19,98.2625,98.89,97.76,1.0,99.26,98.66,1386631.0,0.0
2018-03-20,100.0453,99.52,99.49,1.0,102.13,100.45,1744714.0,0.0
2018-03-21,101.9874,101.12,100.44,1.0,103.67,102.4,1635928.0,0.0
2018-03-22,100.5234,101.42,99.8,1.0,102.05,100.93,1362259.0,0.0
2018-03-23,100.4536,101.48,100.75,1.0,103.93,100.86,2109838.0,0.0
2018-03-26,103.3619,101.91,101.485,1.0,104.155,103.78,2013488.0,0.0
2018-03-27,101.111,103.82,101.1,1.0,104.34,101.52,1431394.0,0.0
2018-03-28,98.631,101.9,98.47,1.0,101.9,99.03,1420159.0,0.0
2018-03-29,100.1548,99.75,99.56,1.0,101.02,100.56,1117252.0,0.0
2018-04-02,100.0951,100.5,98.4,1.0,101.43,100.5,1528704.0,0.0
2018-04-03,102.3061,101.05,100.2,1.0,102.78,102.72,1766948.0,0.0
2018-04-04,103.6905,101.31,100.31,1.0,104.39,104.11,1482670.0,0.0
2018-04-05,107.3258,104.2,103.0,1.0,108.1883,107.76,2524675.0,0.0
2018-04-06,106.4693,107.35,105.56,1.0,110.2,106.9,3553515.0,0.0
2018-04-09,106.1506,106.83,106.46,1.0,108.08,106.58,1908194.0,0.0
2018-04-10,109.8456,108.26,107.13,1.0,111.16,110.29,2319702.0,0.0
2018-04-11,112.6543,110.29,109.87,1.0,113.65,113.11,1845868.0,0.0
2018-04-12,109.6863,113.43,108.77,1.0,113.43,110.13,2063118.0,0.0
2018-04-13,110.1146,110.65,109.14,1.0,111.12,110.56,1309404.0,0.0
2018-04-16,113.3813,111.36,110.88,1.0,115.115,113.84,2246921.0,0.0
2018-04-17,115.0147,114.89,113.55,1.0,116.37,115.48,1554308.0,0.0
2018-04-18,116.2298,116.0,114.77,1.0,117.63,116.7,2106196.0,0.0
2018-04-19,116.0107,116.31,115.14,1.0,117.28,116.48,1772676.0,0.0
2018-04-20,117.3353,116.67,115.42,1.0,117.84,117.81,1160823.0,0.0
2018-04-23,119.0584,118.11,117.27,1.0,119.71,119.54,1161558.0,0.0
2018-04-24,118.4409,119.31,118.25,1.0,121.9,118.92,1586323.0,0.0
2018-04-25,119.6062,118.32,117.16,1.0,120.41,120.09,1690681.0,0.0
2018-04-26,124.6458,120.36,119.22,1.0,126.11,125.15,2527084.0,0.0
2018-04-27,121.8869,124.69,121.41,1.0,125.05,122.38,1332416.0,0.0
2018-04-30,137.7627,134.39,132.18,1.0,144.08,138.32,14758477.0,0.0
2018-05-01,132.9422,137.17,129.92,1.0,137.95,133.48,7934518.0,0.0
2018-05-02,138.0217,132.85,132.85,1.0,141.38,138.58,4641895.0,0.0
2018-05-03,140.9897,138.31,136.58,1.0,141.73,141.56,3201535.0,0.0
2018-05-04,139.1969,140.69,139.07,1.0,141.44,139.76,2170361.0,0.0
2018-05-07,139.0674,140.29,139.56,1.0,143.38,139.63,1910644.0,0.0
2018-05-08,136.9958,139.5,136.11,1.0,139.65,137.55,2356101.0,0.0
2018-05-09,139.7148,138.55,138.48,1.0,142.1173,140.28,1751915.0,0.0
2018-05-10,140.1032,141.46,139.55,1.0,142.28,140.67,2155391.0,0.0
2018-05-11,139.5953,140.71,139.76,1.0,141.3375,140.16,2058297.0,0.0
2018-05-14,141.5374,140.78,140.55,1.0,142.43,142.11,1807472.0,0.0
2018-05-15,140.661,141.78,140.155,1.0,143.2525,141.23,2754442.0,0.0
2018-05-16,140.1431,140.86,139.21,1.0,141.41,140.71,1375290.0,0.0
2018-05-17,146.2185,141.32,141.32,1.0,147.28,146.81,1852314.0,0.0
2018-05-18,144.127,145.4,144.4,1.0,147.1,144.71,1940661.0,0.0
2018-05-21,143.4895,145.83,143.54,1.0,145.94,144.07,1648496.0,0.0
2018-05-22,143.121,144.11,143.26,1.0,146.74,143.7,989078.0,0.0
2018-05-23,143.4198,142.69,140.81,1.0,144.4,144.0,1269232.0,0.0
2018-05-24,143.4099,143.18,142.0,1.0,144.82,143.99,2023066.0,0.0
2018-05-25,140.6212,142.18,139.34,1.0,142.77,141.19,1674181.0,0.0
2018-05-29,141.9358,141.3,141.02,1.0,144.365,142.51,1236472.0,0.0
2018-05-30,145.85,142.78,142.51,1.0,146.66,145.85,1765096.0,0.59
2018-05-31,144.43,145.0,144.43,1.0,150.44,144.43,2224334.0,0.0
2018-06-01,149.68,145.54,144.62,1.0,149.78,149.68,1377925.0,0.0
2018-06-04,149.57,150.08,148.86,1.0,151.885,149.57,1424960.0,0.0
2018-06-05,146.8,149.76,145.85,1.0,149.89,146.8,1247428.0,0.0
2018-06-06,144.5,146.98,142.67,1.0,146.98,144.5,1211313.0,0.0
2018-06-07,144.8,144.33,143.67,1.0,145.84,144.8,1116462.0,0.0
2018-06-08,144.68,144.5,143.2,1.0,145.34,144.68,1470299.0,0.0
2018-06-11,142.87,144.87,141.6,1.0,144.87,142.87,1337321.0,0.0
2018-06-12,139.31,142.82,138.79,1.0,143.69,139.31,1719530.0,0.0
2018-06-13,138.57,139.66,137.8,1.0,139.96,138.57,1389769.0,0.0
2018-06-14,139.02,139.61,138.8838,1.0,140.47,139.02,1027384.0,0.0
2018-06-15,136.0,138.11,135.67,1.0,139.36,136.0,2712267.0,0.0
2018-06-18,138.38,136.9,135.88,1.0,139.29,138.38,922524.0,0.0
2018-06-19,137.99,136.99,136.83,1.0,139.258,137.99,1465203.0,0.0
2018-06-20,137.08,138.21,136.44,1.0,138.82,137.08,763134.0,0.0
2018-06-21,135.06,136.97,134.87,1.0,136.97,135.06,1406237.0,0.0
2018-06-22,135.05,136.56,134.69,1.0,137.66,135.05,3040749.0,0.0
2018-06-25,130.48,134.78,129.49,1.0,134.91,130.48,1929729.0,0.0
2018-06-26,131.66,130.88,130.79,1.0,132.65,131.66,842521.0,0.0
2018-06-27,129.9,132.88,129.63,1.0,133.47,129.9,1586121.0,0.0
2018-06-28,130.23,129.91,129.625,1.0,131.77,130.23,606164.0,0.0
