date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,88.1555,86.72,85.71,1.0,88.88,88.56,2466456.0,0.0
2018-02-07,87.8767,88.01,87.46,1.0,89.83,88.28,1682998.0,0.0
2018-02-08,84.0543,88.24,84.4,1.0,88.52,84.44,2505181.0,0.0
2018-02-09,84.3927,84.94,82.15,1.0,85.45,84.78,2612602.0,0.0
2018-02-12,86.0153,85.79,85.69,1.0,86.9,86.41,1729166.0,0.0
2018-02-13,86.4831,85.84,85.8,1.0,87.08,86.88,868366.0,0.0
2018-02-14,86.941,86.3,86.24,1.0,87.44,87.34,1071811.0,0.0
2018-02-15,88.7328,88.01,87.79,1.0,89.14,89.14,1614714.0,0.0
2018-02-16,89.5789,88.75,88.65,1.0,90.72,89.99,1173140.0,0.0
2018-02-20,89.9472,89.5,89.3,1.0,90.83,90.36,1171787.0,0.0
2018-02-21,90.007,90.49,90.42,1.0,91.55,90.42,1032072.0,0.0
2018-02-22,89.8178,90.79,90.06,1.0,91.2,90.23,1191091.0,0.0
2018-02-23,90.4151,90.48,89.92,1.0,90.86,90.83,956353.0,0.0
2018-02-26,91.9879,91.07,90.7,1.0,92.425,92.41,803305.0,0.0
2018-02-27,91.52,92.59,91.94,1.0,93.53,91.94,1130317.0,0.0
2018-02-28,90.9725,92.4,91.38,1.0,92.7,91.39,1185520.0,0.0
2018-03-01,88.5437,91.15,88.24,1.0,91.56,88.95,1567691.0,0.0
2018-03-02,89.2405,88.5,88.14,1.0,89.85,89.65,1151699.0,0.0
2018-03-05,88.7726,88.98,88.22,1.0,89.72,89.18,1088635.0,0.0
2018-03-06,89.34,89.5,89.125,1.0,90.13,89.75,1034625.0,0.0
2018-03-07,89.8477,88.81,88.51,1.0,90.48,90.26,1103587.0,0.0
2018-03-08,90.1662,90.32,89.93,1.0,90.65,90.58,1317674.0,0.0
2018-03-09,92.0177,91.13,90.846,1.0,92.65,92.44,1194645.0,0.0
2018-03-12,92.2367,92.51,92.34,1.0,93.07,92.66,1304904.0,0.0
2018-03-13,92.0874,93.16,92.22,1.0,93.5,92.51,882665.0,0.0
2018-03-14,90.9526,92.85,91.205,1.0,92.96,91.37,574479.0,0.0
2018-03-15,91.53,91.55,91.21,1.0,92.39,91.95,688689.0,0.0
2018-03-16,91.7689,92.16,91.47,1.0,92.93,92.0,1617555.0,0.19
2018-03-19,91.1105,91.9,90.35,1.0,92.11,91.34,1193661.0,0.0
2018-03-20,91.4696,91.69,91.18,1.0,92.01,91.7,849831.0,0.0
2018-03-21,90.8013,91.61,90.82,1.0,92.02,91.03,749126.0,0.0
2018-03-22,87.9485,90.0,88.07,1.0,90.46,88.17,1093692.0,0.0
2018-03-23,85.1156,88.2,85.22,1.0,88.72,85.33,1093491.0,0.0
2018-03-26,86.8712,86.39,85.38,1.0,87.16,87.09,1146547.0,0.0
2018-03-27,85.375,87.39,85.09,1.0,88.0,85.59,1036580.0,0.0
2018-03-28,84.6368,85.79,83.956,1.0,85.88,84.85,929293.0,0.0
2018-03-29,85.9136,85.4,85.06,1.0,86.98,86.13,1355274.0,0.0
2018-04-02,83.8388,86.13,82.73,1.0,86.28,84.05,1324574.0,0.0
2018-04-03,84.587,84.28,83.17,1.0,84.87,84.8,1373929.0,0.0
2018-04-04,84.7765,82.13,82.13,1.0,85.16,84.99,1521251.0,0.0
2018-04-05,84.557,85.54,84.48,1.0,85.74,84.77,1164885.0,0.0
2018-04-06,82.3626,84.32,81.9,1.0,84.57,82.57,1235725.0,0.0
2018-04-09,83.37,83.13,82.78,1.0,84.61,83.58,1425925.0,0.0
2018-04-10,85.1555,84.92,84.55,1.0,85.72,85.37,1926757.0,0.0
2018-04-11,85.0658,84.87,84.8501,1.0,85.95,85.28,1612535.0,0.0
2018-04-12,85.9236,85.79,85.32,1.0,86.49,86.14,1035405.0,0.0
2018-04-13,85.3949,86.5,85.37,1.0,86.6671,85.61,749499.0,0.0
2018-04-16,86.2528,86.3,85.75,1.0,86.81,86.47,754770.0,0.0
2018-04-17,86.6019,86.81,86.29,1.0,87.14,86.82,999875.0,0.0
2018-04-18,86.9809,87.21,86.72,1.0,87.67,87.2,763199.0,0.0
2018-04-19,85.9834,87.08,86.01,1.0,87.11,86.2,1033917.0,0.0
2018-04-20,84.9959,85.95,84.67,1.0,85.96,85.21,1515979.0,0.0
2018-04-23,84.188,85.6,84.28,1.0,85.685,84.4,1528000.0,0.0
2018-04-24,82.5621,84.96,82.03,1.0,85.1,82.77,2392908.0,0.0
2018-04-25,82.6718,83.65,80.42,1.0,83.95,82.88,2800843.0,0.0
2018-04-26,83.5795,83.15,82.6045,1.0,83.81,83.79,1580142.0,0.0
2018-04-27,84.0683,83.9,83.51,1.0,84.605,84.28,1789558.0,0.0
2018-04-30,83.4997,84.39,83.71,1.0,84.85,83.71,1534717.0,0.0
2018-05-01,83.7291,83.35,82.77,1.0,84.1355,83.94,1290337.0,0.0
2018-05-02,83.7491,84.2,83.75,1.0,84.78,83.96,1742373.0,0.0
2018-05-03,84.0683,83.41,82.83,1.0,84.46,84.28,1293270.0,0.0
2018-05-04,85.1356,83.78,83.645,1.0,85.59,85.35,1415037.0,0.0
2018-05-07,85.6044,85.47,85.47,1.0,86.16,85.82,1370088.0,0.0
2018-05-08,85.5246,85.88,85.17,1.0,85.99,85.74,1282469.0,0.0
2018-05-09,86.0932,85.78,85.26,1.0,86.47,86.31,1124588.0,0.0
2018-05-10,87.0508,86.82,86.14,1.0,87.31,87.27,977523.0,0.0
2018-05-11,87.759,87.09,86.995,1.0,88.02,87.98,1182297.0,0.0
2018-05-14,87.9684,88.14,87.78,1.0,88.31,88.19,1072806.0,0.0
2018-05-15,87.6393,88.06,87.58,1.0,88.17,87.86,1110140.0,0.0
2018-05-16,88.128,88.23,87.61,1.0,88.69,88.35,1020016.0,0.0
2018-05-17,87.8986,88.22,87.915,1.0,88.69,88.12,999070.0,0.0
2018-05-18,87.759,87.92,87.62,1.0,88.37,87.98,907349.0,0.0
2018-05-21,88.7066,88.49,88.22,1.0,88.94,88.93,991736.0,0.0
2018-05-22,87.8787,89.2,88.03,1.0,89.2,88.1,1091948.0,0.0
2018-05-23,87.9784,87.61,87.06,1.0,88.22,88.2,1118372.0,0.0
2018-05-24,87.5794,88.11,87.39,1.0,88.61,87.8,807931.0,0.0
2018-05-25,87.0508,87.68,86.82,1.0,87.81,87.27,1100380.0,0.0
2018-05-29,86.7615,86.54,86.26,1.0,87.64,86.98,1439851.0,0.0
2018-05-30,87.35,87.49,87.39,1.0,87.95,87.57,956781.0,0.0
2018-05-31,86.7116,86.42,86.34,1.0,87.79,86.93,1793354.0,0.0
2018-06-01,88.148,87.57,87.35,1.0,88.5232,88.37,1049269.0,0.0
2018-06-04,87.8687,88.41,87.95,1.0,88.6999,88.09,1214552.0,0.0
2018-06-05,89.724,88.01,87.22,1.0,89.98,89.95,1334658.0,0.0
2018-06-06,90.2128,90.0,89.42,1.0,90.44,90.44,1048245.0,0.0
2018-06-07,90.5819,90.5,90.24,1.0,90.87,90.81,1486735.0,0.0
2018-06-08,90.6816,90.46,90.0731,1.0,90.98,90.91,1086008.0,0.0
2018-06-11,90.4921,90.97,90.58,1.0,91.1,90.72,1389473.0,0.0
2018-06-12,90.6417,90.53,89.51,1.0,90.88,90.87,1364975.0,0.0
2018-06-13,90.8213,90.92,90.66,1.0,91.27,91.05,1105215.0,0.0
2018-06-14,90.9709,91.17,90.72,1.0,91.54,91.2,1053970.0,0.0
2018-06-15,91.32,90.68,90.19,1.0,91.97,91.32,1743033.0,0.23
2018-06-18,90.8,90.58,89.88,1.0,90.8,90.8,805511.0,0.0
2018-06-19,89.68,89.57,88.65,1.0,89.82,89.68,949346.0,0.0
2018-06-20,89.84,90.02,89.41,1.0,90.2078,89.84,970864.0,0.0
2018-06-21,88.46,89.81,88.31,1.0,89.85,88.46,1048824.0,0.0
2018-06-22,89.2,88.95,88.32,1.0,89.36,89.2,1304652.0,0.0
2018-06-25,87.79,89.0,86.89,1.0,89.0,87.79,1339154.0,0.0
2018-06-26,87.17,87.64,87.15,1.0,88.3099,87.17,1388692.0,0.0
2018-06-27,86.27,87.34,86.25,1.0,87.86,86.27,1596276.0,0.0
2018-06-28,86.11,86.22,85.56,1.0,86.55,86.11,418212.0,0.0
