date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,78.5333,78.02,76.79,1.0,79.26,78.96,2162974.0,0.415
2018-02-07,77.5387,79.0,77.96,1.0,79.74,77.96,1250979.0,0.0
2018-02-08,75.649,77.77,76.04,1.0,78.46,76.06,1497453.0,0.0
2018-02-09,77.5188,76.61,76.39,1.0,78.68,77.94,1696030.0,0.0
2018-02-12,77.4989,78.21,77.07,1.0,78.34,77.92,1008939.0,0.0
2018-02-13,78.3443,77.83,77.31,1.0,78.93,78.77,812453.0,0.0
2018-02-14,77.9067,78.1,77.68,1.0,78.82,78.33,725602.0,0.0
2018-02-15,79.2792,78.43,78.35,1.0,79.72,79.71,715896.0,0.0
2018-02-16,80.065,79.69,79.43,1.0,81.06,80.5,999144.0,0.0
2018-02-20,79.4185,80.25,79.57,1.0,80.83,79.85,985236.0,0.0
2018-02-21,78.4239,79.04,78.82,1.0,81.06,78.85,1237999.0,0.0
2018-02-22,78.3145,78.87,78.26,1.0,79.545,78.74,978965.0,0.0
2018-02-23,80.1943,78.81,78.81,1.0,80.8,80.63,648448.0,0.0
2018-02-26,80.3633,81.5,80.58,1.0,81.64,80.8,804176.0,0.0
2018-02-27,79.5279,80.99,79.73,1.0,81.94,79.96,986723.0,0.0
2018-02-28,78.9311,79.88,79.36,1.0,80.76,79.36,1067071.0,0.0
2018-03-01,78.7223,79.28,78.39,1.0,80.37,79.15,1233896.0,0.0
2018-03-02,78.4537,78.96,78.15,1.0,80.14,78.88,1373786.0,0.0
2018-03-05,79.7566,78.73,78.66,1.0,80.88,80.19,1992421.0,0.0
2018-03-06,79.2593,80.15,79.51,1.0,80.37,79.69,1122522.0,0.0
2018-03-07,79.7467,79.43,79.15,1.0,80.52,80.18,1061772.0,0.0
2018-03-08,80.3633,80.5,80.25,1.0,81.075,80.8,927003.0,0.0
2018-03-09,80.9203,80.93,80.46,1.0,81.38,81.36,665894.0,0.0
2018-03-12,81.7558,81.35,81.32,1.0,82.39,82.2,959250.0,0.0
2018-03-13,80.3136,82.49,80.63,1.0,82.67,80.75,905168.0,0.0
2018-03-14,80.7612,81.04,80.56,1.0,81.825,81.2,904350.0,0.0
2018-03-15,81.0297,81.31,81.2,1.0,82.23,81.47,775842.0,0.0
2018-03-16,81.716,81.68,81.48,1.0,82.4,82.16,1893933.0,0.0
2018-03-19,81.0795,82.16,80.92,1.0,82.59,81.52,943568.0,0.0
2018-03-20,80.98,81.51,81.2,1.0,81.97,81.42,637912.0,0.0
2018-03-21,80.4131,81.43,80.59,1.0,82.04,80.85,568446.0,0.0
2018-03-22,79.7169,80.9,80.1,1.0,82.07,80.15,789335.0,0.0
2018-03-23,78.8018,80.76,79.02,1.0,81.62,79.23,778074.0,0.0
2018-03-26,79.4384,79.41,78.89,1.0,80.01,79.87,739782.0,0.0
2018-03-27,80.2539,80.0,79.25,1.0,81.69,80.69,881897.0,0.0
2018-03-28,80.7512,80.81,80.57,1.0,81.43,81.19,846725.0,0.0
2018-03-29,81.6862,81.34,81.34,1.0,82.54,82.13,1069593.0,0.0
2018-04-02,80.7612,82.29,80.46,1.0,82.32,81.2,927673.0,0.0
2018-04-03,80.7214,81.1,80.51,1.0,81.55,81.16,1058245.0,0.0
2018-04-04,80.7612,80.82,80.259,1.0,81.4534,81.2,763448.0,0.0
2018-04-05,81.6663,81.32,80.21,1.0,82.21,82.11,734055.0,0.0
2018-04-06,81.4773,82.23,81.82,1.0,82.74,81.92,1216387.0,0.0
2018-04-09,81.6961,81.87,81.45,1.0,82.72,82.14,728389.0,0.0
2018-04-10,81.3579,82.42,81.665,1.0,82.65,81.8,747660.0,0.0
2018-04-11,81.3679,81.58,81.33,1.0,82.24,81.81,794302.0,0.0
2018-04-12,80.2142,80.9,80.25,1.0,81.475,80.65,2152584.0,0.0
2018-04-13,80.423,81.04,80.65,1.0,81.58,80.86,934656.0,0.0
2018-04-16,82.1735,82.0,81.85,1.0,83.0,82.62,1254355.0,0.0
2018-04-17,83.6157,83.03,82.8,1.0,84.45,84.07,1032154.0,0.0
2018-04-18,83.2278,84.13,83.68,1.0,84.575,83.68,959530.0,0.0
2018-04-19,83.2079,83.53,83.15,1.0,83.9,83.66,896870.0,0.0
2018-04-20,83.2178,83.69,83.1668,1.0,83.88,83.67,834581.0,0.0
2018-04-23,83.8245,83.64,83.18,1.0,84.29,84.28,575455.0,0.0
2018-04-24,84.3119,84.53,84.03,1.0,85.24,84.77,828182.0,0.0
2018-04-25,84.292,84.54,84.01,1.0,85.23,84.75,504266.0,0.0
2018-04-26,85.4258,85.12,84.32,1.0,86.03,85.89,679919.0,0.0
2018-04-27,86.311,85.87,85.81,1.0,86.99,86.78,936602.0,0.0
2018-04-30,86.1121,86.91,86.37,1.0,87.1899,86.58,745378.0,0.0
2018-05-01,86.1618,86.38,86.11,1.0,86.8,86.63,571359.0,0.0
2018-05-02,85.764,86.46,85.56,1.0,86.7,86.23,916679.0,0.0
2018-05-03,84.8291,86.02,84.11,1.0,86.45,85.29,1107425.0,0.0
2018-05-04,85.2568,85.2,84.61,1.0,85.95,85.72,555799.0,0.0
2018-05-07,84.3417,85.8,84.52,1.0,85.8,84.8,647764.0,0.0
2018-05-08,82.5614,84.21,82.83,1.0,84.62,83.01,629841.0,0.0
2018-05-09,82.7802,83.19,82.45,1.0,83.37,83.23,853389.0,0.0
2018-05-10,83.74,83.4,82.9,1.0,83.82,83.74,607427.0,0.455
2018-05-11,83.48,83.9,83.04,1.0,83.9,83.48,480846.0,0.0
2018-05-14,82.67,83.48,82.49,1.0,83.83,82.67,838093.0,0.0
2018-05-15,81.48,82.4,81.03,1.0,82.56,81.48,806483.0,0.0
2018-05-16,80.52,81.53,80.32,1.0,81.75,80.52,691835.0,0.0
2018-05-17,80.34,80.1,79.95,1.0,80.6,80.34,723425.0,0.0
2018-05-18,80.45,80.61,79.93,1.0,80.88,80.45,765669.0,0.0
2018-05-21,80.53,80.52,80.05,1.0,80.87,80.53,753515.0,0.0
2018-05-22,80.51,80.81,80.4012,1.0,81.13,80.51,630377.0,0.0
2018-05-23,80.94,80.64,80.56,1.0,81.1501,80.94,644680.0,0.0
2018-05-24,82.05,81.17,80.835,1.0,82.16,82.05,1016186.0,0.0
2018-05-25,82.99,82.05,81.88,1.0,83.21,82.99,1033093.0,0.0
2018-05-29,83.92,82.97,82.78,1.0,84.52,83.92,1052516.0,0.0
2018-05-30,84.21,83.75,83.5255,1.0,84.6778,84.21,621594.0,0.0
2018-05-31,83.14,83.91,83.07,1.0,84.63,83.14,872649.0,0.0
2018-06-01,82.13,83.4,82.0,1.0,83.64,82.13,742380.0,0.0
2018-06-04,81.64,82.22,81.43,1.0,82.6,81.64,604451.0,0.0
2018-06-05,80.47,81.69,80.26,1.0,81.69,80.47,811981.0,0.0
2018-06-06,79.22,80.68,78.91,1.0,80.74,79.22,1011745.0,0.0
2018-06-07,79.27,79.44,78.95,1.0,80.09,79.27,1497323.0,0.0
2018-06-08,79.28,79.53,78.64,1.0,79.8,79.28,968499.0,0.0
2018-06-11,78.35,79.13,77.73,1.0,79.41,78.35,1059141.0,0.0
2018-06-12,79.48,78.26,78.04,1.0,79.54,79.48,774357.0,0.0
2018-06-13,78.93,79.49,78.57,1.0,79.86,78.93,970396.0,0.0
2018-06-14,79.78,78.96,78.96,1.0,79.9,79.78,963504.0,0.0
2018-06-15,81.05,79.67,78.91,1.0,81.14,81.05,2407791.0,0.0
2018-06-18,81.95,80.84,80.84,1.0,81.965,81.95,867910.0,0.0
2018-06-19,82.8,81.82,81.82,1.0,83.25,82.8,1234612.0,0.0
2018-06-20,83.17,82.96,82.57,1.0,83.41,83.17,815620.0,0.0
2018-06-21,82.36,83.09,82.2,1.0,83.4,82.36,658658.0,0.0
2018-06-22,83.42,82.47,82.34,1.0,83.59,83.42,952984.0,0.0
2018-06-25,85.3,83.65,83.33,1.0,85.49,85.3,1125007.0,0.0
2018-06-26,85.29,85.08,85.001,1.0,85.99,85.29,929033.0,0.0
2018-06-27,85.74,84.93,84.667,1.0,86.14,85.74,1092139.0,0.0
2018-06-28,85.4599,85.76,85.37,1.0,86.57,85.4599,238555.0,0.0
