date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,93.8314,89.75,88.5105,1.0,94.22,94.18,7176373.0,0.0
2018-02-07,93.2635,93.53,93.41,1.0,94.85,93.61,3665422.0,0.0
2018-02-08,88.013,93.75,88.28,1.0,93.97,88.34,5525624.0,0.0
2018-02-09,91.3805,89.47,87.54,1.0,92.52,91.72,8006447.0,0.0
2018-02-12,94.3494,92.58,92.42,1.0,95.675,94.7,7347430.0,0.0
2018-02-13,94.21,94.03,92.8201,1.0,94.81,94.56,3319734.0,0.0
2018-02-14,95.8738,93.97,93.67,1.0,96.56,96.23,3241579.0,0.0
2018-02-15,96.2026,97.06,95.44,1.0,97.21,96.56,3049423.0,0.0
2018-02-16,96.4317,96.37,96.25,1.0,97.49,96.79,3270966.0,0.0
2018-02-20,96.8302,96.58,96.5,1.0,97.71,97.19,3502764.0,0.0
2018-02-21,97.1391,96.92,96.75,1.0,98.49,97.5,4327928.0,0.0
2018-02-22,96.9896,97.59,97.05,1.0,98.0715,97.35,3945144.0,0.0
2018-02-23,98.4343,97.78,97.55,1.0,98.84,98.8,2404743.0,0.0
2018-02-26,101.2638,99.43,98.97,1.0,101.675,101.64,4923683.0,0.0
2018-02-27,99.2114,101.66,99.58,1.0,102.12,99.58,5148216.0,0.0
2018-02-28,97.149,100.04,97.43,1.0,100.36,97.51,4030945.0,0.0
2018-03-01,94.7878,97.82,94.53,1.0,98.3,95.14,4369841.0,0.0
2018-03-02,95.2461,94.63,93.2,1.0,95.75,95.6,3584668.0,0.0
2018-03-05,96.3022,95.09,94.7,1.0,97.29,96.66,2661437.0,0.0
2018-03-06,95.7144,96.99,95.14,1.0,96.99,96.07,3221099.0,0.0
2018-03-07,95.286,95.21,94.28,1.0,95.73,95.64,3594855.0,0.0
2018-03-08,96.2324,96.05,95.09,1.0,96.675,96.59,3714152.0,0.0
2018-03-09,98.6833,97.58,97.06,1.0,99.11,99.05,2985912.0,0.0
2018-03-12,97.3085,99.09,97.48,1.0,99.6995,97.67,3854156.0,0.0
2018-03-13,95.017,98.12,95.08,1.0,98.23,95.37,4810020.0,0.0
2018-03-14,94.1801,95.96,94.09,1.0,96.17,94.53,2971877.0,0.0
2018-03-15,94.0406,95.06,93.96,1.0,95.41,94.39,3200089.0,0.0
2018-03-16,95.2561,94.55,94.27,1.0,96.39,95.61,5077476.0,0.0
2018-03-19,94.4889,95.44,93.8,1.0,95.48,94.84,2476373.0,0.0
2018-03-20,94.5985,95.35,94.72,1.0,95.65,94.95,2418758.0,0.0
2018-03-21,94.3893,94.62,94.4,1.0,96.27,94.74,2123354.0,0.0
2018-03-22,91.0716,93.74,91.12,1.0,93.96,91.41,4043689.0,0.0
2018-03-23,90.1152,91.82,90.41,1.0,92.36,90.45,5028935.0,0.0
2018-03-26,92.2771,91.37,90.8,1.0,92.99,92.62,2716927.0,0.0
2018-03-27,91.0816,92.81,90.87,1.0,93.74,91.42,4306212.0,0.0
2018-03-28,91.8687,91.76,91.6,1.0,93.54,92.21,5509660.0,0.0
2018-03-29,92.9347,92.39,92.29,1.0,94.37,93.28,4940615.0,0.0
2018-04-02,90.6631,93.14,89.9582,1.0,93.55,91.0,4998386.0,0.0
2018-04-03,92.3967,91.55,91.18,1.0,92.93,92.74,2864528.0,0.0
2018-04-04,93.2336,91.21,91.08,1.0,93.92,93.58,4619167.0,0.0
2018-04-05,94.2,94.2,93.8,1.0,95.05,94.2,2482315.0,0.35
2018-04-06,91.91,93.24,90.81,1.0,93.81,91.91,2968942.0,0.0
2018-04-09,92.14,92.7,91.96,1.0,94.24,92.14,3109723.0,0.0
2018-04-10,93.0,93.41,92.53,1.0,93.69,93.0,4614186.0,0.0
2018-04-11,91.6,91.94,91.36,1.0,92.81,91.6,4064893.0,0.0
2018-04-12,93.35,92.52,92.06,1.0,93.94,93.35,3137327.0,0.0
2018-04-13,93.03,94.13,92.54,1.0,94.3,93.03,2510298.0,0.0
2018-04-16,93.6,93.78,93.11,1.0,94.2,93.6,2811543.0,0.0
2018-04-17,93.86,93.96,93.59,1.0,94.6,93.86,2651652.0,0.0
2018-04-18,95.15,94.04,94.0,1.0,95.24,95.15,4981434.0,0.0
2018-04-19,102.37,99.36,99.05,1.0,102.96,102.37,11716884.0,0.0
2018-04-20,100.79,102.2,100.37,1.0,102.67,100.79,5614678.0,0.0
2018-04-23,100.61,100.78,99.91,1.0,101.16,100.61,3183325.0,0.0
