date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,52.9606,51.72,51.09,1.0,53.83,53.71,7218066.0,0.0
2018-02-07,53.0691,53.44,53.3,1.0,54.35,53.82,4510821.0,0.0
2018-02-08,50.6829,53.55,51.04,1.0,53.57,51.07,4836669.0,0.33
2018-02-09,52.0226,51.93,50.76,1.0,52.84,52.42,6464362.0,0.0
2018-02-12,52.5982,52.71,52.4,1.0,53.65,53.0,3672390.0,0.0
2018-02-13,52.9257,52.66,52.52,1.0,53.43,53.33,2238835.0,0.0
2018-02-14,54.3251,53.24,53.15,1.0,54.83,54.74,3012462.0,0.0
2018-02-15,54.4144,55.0,54.55,1.0,55.435,54.83,3700136.0,0.0
2018-02-16,54.5434,54.58,54.55,1.0,55.26,54.96,2744578.0,0.0
2018-02-20,54.1861,54.75,54.37,1.0,55.29,54.6,2899848.0,0.0
2018-02-21,54.6724,54.68,54.57,1.0,55.85,55.09,3799126.0,0.0
2018-02-22,53.9082,55.43,54.18,1.0,55.59,54.32,3658671.0,0.0
2018-02-23,54.9404,54.55,54.47,1.0,55.37,55.36,3141429.0,0.0
2018-02-26,55.3671,55.56,55.08,1.0,55.82,55.79,3213243.0,0.0
2018-02-27,54.5335,55.45,54.95,1.0,56.19,54.95,3590750.0,0.0
2018-02-28,53.938,55.14,54.33,1.0,55.81,54.35,4069893.0,0.0
2018-03-01,53.4815,54.32,53.44,1.0,54.78,53.89,4181590.0,0.0
2018-03-02,53.8785,53.6,52.79,1.0,54.4199,54.29,3583997.0,0.0
2018-03-05,54.5483,53.73,53.35,1.0,55.08,54.92,3018488.0,0.045
2018-03-06,54.8761,55.2,54.39,1.0,55.29,55.25,2954687.0,0.0
2018-03-07,54.6477,54.67,54.22,1.0,55.1652,55.02,3022399.0,0.0
2018-03-08,54.6477,55.22,54.23,1.0,55.36,55.02,2080715.0,0.0
2018-03-09,55.6508,55.51,55.13,1.0,56.08,56.03,2535278.0,0.0
2018-03-12,55.2237,56.11,55.52,1.0,56.31,55.6,2878113.0,0.0
2018-03-13,55.0052,55.9,55.21,1.0,55.96,55.38,3541665.0,0.0
2018-03-14,54.2504,55.63,54.28,1.0,55.63,54.62,3206127.0,0.0
2018-03-15,54.2404,54.99,54.17,1.0,54.99,54.61,2498338.0,0.0
2018-03-16,54.6675,54.67,54.52,1.0,55.485,55.04,7555160.0,0.0
2018-03-19,54.5881,54.99,54.23,1.0,55.175,54.96,4347277.0,0.0
2018-03-20,54.2802,55.16,54.58,1.0,55.46,54.65,3181526.0,0.0
2018-03-21,54.3497,54.76,54.205,1.0,55.38,54.72,2968367.0,0.0
2018-03-22,51.956,53.96,52.1,1.0,54.27,52.31,5113059.0,0.0
2018-03-23,50.337,52.49,50.57,1.0,52.71,50.68,5461600.0,0.0
2018-03-26,51.8666,51.57,50.955,1.0,52.32,52.22,4147804.0,0.0
2018-03-27,51.231,53.35,51.19,1.0,53.4,51.58,7102192.0,0.0
2018-03-28,51.1813,51.7,50.96,1.0,51.985,51.53,4406354.0,0.0
2018-03-29,51.6878,51.83,51.35,1.0,52.36,52.04,3627309.0,0.0
2018-04-02,50.5854,51.87,50.13,1.0,52.235,50.93,5051192.0,0.0
