date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,55.2468,53.32,52.68,1.0,55.65,55.49,10456127.0,0.0
2018-02-07,55.0974,55.22,55.21,1.0,56.205,55.34,5966639.0,0.0
2018-02-08,53.0564,55.3,53.24,1.0,55.64,53.29,7047034.0,0.0
2018-02-09,53.8429,53.98,52.11,1.0,54.46,54.08,6166273.0,0.0
2018-02-12,54.3706,54.51,53.9,1.0,55.17,54.61,4574456.0,0.0
2018-02-13,54.5697,54.36,54.12,1.0,55.0,54.81,3004078.0,0.0
2018-02-14,55.7346,54.53,54.53,1.0,56.055,55.98,4047713.0,0.0
2018-02-15,55.9138,56.5,55.67,1.0,56.68,56.16,3217556.0,0.0
2018-02-16,56.0034,55.98,55.9,1.0,56.6,56.25,3196338.0,0.0
2018-02-20,56.1727,56.2,56.0499,1.0,56.825,56.42,2936935.0,0.0
2018-02-21,56.2025,56.47,56.29,1.0,57.36,56.45,3843322.0,0.0
2018-02-22,55.655,56.74,55.8,1.0,57.41,55.9,4197385.0,0.0
2018-02-23,56.6506,56.19,56.14,1.0,56.93,56.9,3158596.0,0.0
2018-02-26,57.925,57.22,56.88,1.0,58.22,58.18,3914816.0,0.0
2018-02-27,57.7358,58.2,57.97,1.0,58.67,57.99,4559914.0,0.0
2018-02-28,56.78,58.06,56.99,1.0,58.3,57.03,5052985.0,0.0
2018-03-01,55.2667,57.04,55.12,1.0,57.19,55.51,6691126.0,0.0
2018-03-02,55.1273,55.19,54.11,1.0,55.47,55.37,5399043.0,0.0
2018-03-05,56.1627,54.98,54.805,1.0,56.68,56.41,4397289.0,0.0
2018-03-06,56.6207,56.83,56.3,1.0,57.16,56.87,7012099.0,0.0
2018-03-07,56.6506,56.39,56.07,1.0,57.1,56.9,5049143.0,0.0
2018-03-08,55.4459,57.4,55.14,1.0,57.56,55.69,7880158.0,0.0
2018-03-09,56.9791,55.94,55.73,1.0,57.45,57.23,6465846.0,0.0
2018-03-12,56.1926,57.26,56.31,1.0,57.41,56.44,4773293.0,0.0
2018-03-13,55.7147,56.69,55.815,1.0,56.83,55.96,5114017.0,0.0
2018-03-14,54.6295,56.25,54.54,1.0,56.26,54.87,5546986.0,0.0
2018-03-15,54.6096,55.01,54.51,1.0,55.09,54.85,4438492.0,0.0
