date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,26.72,25.87,25.6,1.0,26.82,26.72,14077165.0,0.0
2018-02-07,26.32,26.52,26.31,1.0,26.71,26.32,7960907.0,0.0
2018-02-08,25.2,26.26,25.19,1.0,26.33,25.2,12317939.0,0.0
2018-02-09,25.92,25.36,25.04,1.0,26.16,25.92,11039936.0,0.0
2018-02-12,26.18,26.16,25.93,1.0,26.525,26.18,8439476.0,0.0
2018-02-13,26.11,25.96,25.84,1.0,26.11,26.11,6220098.0,0.0
2018-02-14,26.81,25.98,25.93,1.0,26.905,26.81,7900042.0,0.0
2018-02-15,27.09,26.93,26.7034,1.0,27.14,27.09,6333854.0,0.0
2018-02-16,27.2,27.1,27.061,1.0,27.475,27.2,6480906.0,0.0
2018-02-20,26.83,27.12,26.74,1.0,27.14,26.83,7026470.0,0.0
2018-02-21,26.77,26.87,26.74,1.0,27.28,26.77,4931461.0,0.0
2018-02-22,26.48,26.92,26.35,1.0,26.92,26.48,6050332.0,0.0
2018-02-23,27.2,26.74,26.5,1.0,27.2,27.2,5684476.0,0.0
2018-02-26,27.62,27.2,27.0145,1.0,27.65,27.62,5090927.0,0.0
2018-02-27,27.45,27.65,27.44,1.0,27.875,27.45,6298055.0,0.0
2018-02-28,27.26,27.53,27.25,1.0,27.795,27.26,5514661.0,0.0
2018-03-01,26.5,27.3,26.405,1.0,27.3,26.5,8827287.0,0.0
2018-03-02,26.77,26.39,26.3,1.0,26.85,26.77,10191227.0,0.0
2018-03-05,27.41,26.59,26.53,1.0,27.475,27.41,5949318.0,0.0
2018-03-06,27.41,27.45,27.23,1.0,27.495,27.41,5067949.0,0.0
2018-03-07,27.59,27.19,27.1858,1.0,27.67,27.59,4006731.0,0.0
2018-03-08,27.85,27.68,27.67,1.0,27.96,27.85,4929683.0,0.0
2018-03-09,28.54,28.01,27.885,1.0,28.55,28.54,7696090.0,0.0
2018-03-12,28.54,28.55,28.45,1.0,28.9,28.54,7918605.0,0.0
2018-03-13,28.43,28.62,28.29,1.0,28.72,28.43,3785847.0,0.0
2018-03-14,28.01,28.51,27.84,1.0,28.51,28.01,8247018.0,0.0
2018-03-15,27.84,28.07,27.685,1.0,28.205,27.84,6123378.0,0.0
2018-03-16,27.93,27.83,27.76,1.0,28.02,27.93,7564585.0,0.0
2018-03-19,27.62,27.92,27.3595,1.0,28.02,27.62,5187592.0,0.0
