date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,74.4692,71.52,71.15,1.0,75.19,74.82,31690957.0,0.0
2018-02-07,74.6385,74.77,74.32,1.0,76.075,74.99,18692679.0,0.0
2018-02-08,71.5331,75.07,71.8,1.0,75.25,71.87,24840350.0,0.0
2018-02-09,73.3346,73.02,71.0,1.0,74.28,73.68,26472242.0,0.0
2018-02-12,74.4095,74.47,73.97,1.0,75.5,74.76,16509439.0,0.0
2018-02-13,74.8276,74.34,74.15,1.0,75.375,75.18,11541111.0,0.0
2018-02-14,76.3504,75.03,74.73,1.0,76.86,76.71,16159903.0,0.0
2018-02-15,76.7187,77.18,76.4,1.0,77.46,77.08,11025831.0,0.0
2018-02-16,76.4599,76.8,76.6133,1.0,77.37,76.82,11444838.0,0.0
2018-02-20,76.1016,76.64,76.087,1.0,77.23,76.46,11920887.0,0.0
2018-02-21,76.639,76.4,76.4,1.0,78.42,77.0,15838052.0,0.0
2018-02-22,75.9124,77.28,75.94,1.0,77.48,76.27,15473156.0,0.0
2018-02-23,76.7187,76.48,76.2,1.0,77.11,77.08,12161097.0,0.0
2018-02-26,77.286,77.23,76.72,1.0,77.735,77.65,17184307.0,0.0
2018-02-27,76.0219,77.52,76.35,1.0,77.8752,76.38,19638045.0,0.0
2018-02-28,75.1361,76.6,75.45,1.0,77.13,75.49,19187727.0,0.0
2018-03-01,73.3147,75.5,73.2,1.0,75.935,73.66,23803242.0,0.0
2018-03-02,73.3346,73.17,71.881,1.0,73.87,73.68,21061225.0,0.0
2018-03-05,74.0711,73.07,72.7,1.0,74.94,74.42,16814605.0,0.0
2018-03-06,73.7128,74.93,73.75,1.0,74.99,74.06,14891169.0,0.0
2018-03-07,73.5735,73.18,72.86,1.0,74.075,73.92,14654894.0,0.0
2018-03-08,73.7626,74.14,73.127,1.0,74.23,74.11,10637847.0,0.0
2018-03-09,75.7532,74.95,74.6,1.0,76.37,76.11,15666985.0,0.0
2018-03-12,75.6636,75.95,75.92,1.0,76.53,76.02,12590105.0,0.0
2018-03-13,74.5588,76.14,74.655,1.0,76.41,74.91,12540423.0,0.0
2018-03-14,73.1256,75.28,73.32,1.0,75.29,73.47,17941083.0,0.0
2018-03-15,72.9962,73.78,73.01,1.0,73.87,73.34,12742306.0,0.0
2018-03-16,73.1256,73.17,73.15,1.0,74.14,73.47,32130164.0,0.0
2018-03-19,72.3592,73.47,71.92,1.0,73.5,72.7,14782636.0,0.0
2018-03-20,72.5782,73.05,72.71,1.0,73.53,72.92,12703596.0,0.0
2018-03-21,72.9763,73.18,72.69,1.0,74.27,73.32,14712435.0,0.0
2018-03-22,69.9804,72.33,69.87,1.0,72.479,70.31,27093412.0,0.0
2018-03-23,67.5817,70.32,67.75,1.0,70.73,67.9,31279642.0,0.0
2018-03-26,69.4529,69.11,68.29,1.0,70.01,69.78,19076485.0,0.0
2018-03-27,67.9599,70.24,67.61,1.0,70.62,68.28,20375061.0,0.0
