date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,155.6179,148.07,146.81,1.0,156.5599,156.41,13852311.0,0.0
2018-02-07,153.5584,155.36,154.28,1.0,158.09,154.34,7095767.0,0.0
2018-02-08,145.2507,153.85,145.92,1.0,154.19,145.99,8867108.0,0.0
2018-02-09,148.4544,148.71,142.88,1.0,150.89,149.21,9452458.0,0.0
2018-02-12,151.5188,151.87,150.25,1.0,153.45,152.29,5732527.0,0.0
2018-02-13,153.1903,151.25,151.0,1.0,155.2,153.97,5349813.0,0.0
2018-02-14,157.2596,152.39,152.34,1.0,158.59,158.06,5536759.0,0.0
2018-02-15,159.1699,159.8,157.48,1.0,160.3431,159.98,4910548.0,0.0
2018-02-16,155.4986,160.13,156.0876,1.0,161.0,156.29,5967012.0,0.0
2018-02-20,154.7723,155.17,154.27,1.0,158.25,155.56,5071082.0,0.0
2018-02-21,154.4439,155.7,155.04,1.0,158.4,155.23,4159885.0,0.0
2018-02-22,158.0555,156.41,156.2,1.0,159.78,158.86,4721523.0,0.0
2018-02-23,161.5876,159.4,159.22,1.0,162.48,162.41,4397133.0,0.0
2018-02-26,162.8611,163.05,161.55,1.0,164.05,163.69,6234118.0,0.0
2018-02-27,160.4434,163.26,161.24,1.0,164.6,161.26,4104920.0,0.0
2018-02-28,153.847,161.5,154.17,1.0,162.34,154.63,7241202.0,0.0
2018-03-01,149.4692,153.67,148.51,1.0,156.19,150.23,9434816.0,0.0
2018-03-02,145.6387,149.13,145.86,1.0,149.88,146.38,9509411.0,0.0
2018-03-05,150.3547,145.15,144.01,1.0,151.86,151.12,8453004.0,0.0
2018-03-06,152.9714,152.64,151.67,1.0,154.98,153.75,5795581.0,0.0
2018-03-07,150.7428,150.0,148.81,1.0,152.27,151.51,5491026.0,0.0
2018-03-08,152.8122,151.73,150.29,1.0,153.97,153.59,3898171.0,0.0
2018-03-09,157.4486,155.12,154.33,1.0,158.42,158.25,4533663.0,0.0
2018-03-12,153.7176,158.24,153.85,1.0,159.34,154.5,4747838.0,0.0
2018-03-13,152.9117,156.3,153.2,1.0,157.87,153.69,4784377.0,0.0
2018-03-14,151.7675,154.8,151.31,1.0,155.2537,152.54,4855128.0,0.0
2018-03-15,153.7873,153.18,151.65,1.0,155.59,154.57,4898883.0,0.0
2018-03-16,155.6677,154.32,153.31,1.0,157.45,156.46,10640670.0,0.0
2018-03-19,151.3795,154.24,150.82,1.0,154.83,152.15,5462021.0,0.0
2018-03-20,153.2798,153.0,152.54,1.0,155.2,154.06,3536659.0,0.0
2018-03-21,155.011,154.16,153.21,1.0,157.28,155.8,3856508.0,0.0
2018-03-22,146.1561,152.87,146.25,1.0,153.5,146.9,7975803.0,0.0
2018-03-23,143.5593,147.7,143.79,1.0,148.95,144.29,6452195.0,0.0
