date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,369.75,366.08,360.1221,1.0,370.96,369.75,4371390.0,0.0
2018-02-07,363.55,367.11,360.061,1.0,370.52,363.55,1544006.0,0.0
2018-02-08,348.65,362.1,346.13,1.0,363.04,348.65,1597296.0,0.0
2018-02-09,349.43,351.41,343.15,1.0,355.56,349.43,1759663.0,0.0
2018-02-12,357.88,350.26,350.0,1.0,360.38,357.88,852291.0,0.0
2018-02-13,355.68,354.46,353.41,1.0,357.49,355.68,679003.0,0.0
2018-02-14,358.94,354.06,352.0123,1.0,359.285,358.94,898811.0,0.0
2018-02-15,363.67,359.29,355.63,1.0,365.92,363.67,1087847.0,0.0
2018-02-16,365.66,364.03,361.49,1.0,370.09,365.66,710444.0,0.0
2018-02-20,358.77,364.98,358.67,1.0,365.23,358.77,800033.0,0.0
2018-02-21,360.97,359.34,356.5055,1.0,367.38,360.97,872309.0,0.0
2018-02-22,356.75,361.02,355.02,1.0,365.26,356.75,548639.0,0.0
2018-02-23,365.06,359.73,356.27,1.0,368.09,365.06,601425.0,0.0
2018-02-26,358.02,365.32,357.29,1.0,368.37,358.02,756016.0,0.0
2018-02-27,351.22,357.76,351.12,1.0,359.75,351.22,940606.0,0.0
2018-02-28,341.93,352.94,341.71,1.0,353.04,341.93,1039143.0,0.0
2018-03-01,339.41,342.72,337.6121,1.0,349.65,339.41,1363473.0,0.0
2018-03-02,332.75,336.86,331.8055,1.0,339.73,332.75,1986250.0,0.0
2018-03-05,346.6,330.51,328.925,1.0,349.53,346.6,2740423.0,0.0
2018-03-06,337.96,349.17,336.29,1.0,349.2299,337.96,1188438.0,0.0
2018-03-07,338.67,337.5,334.16,1.0,339.73,338.67,1058854.0,0.0
2018-03-08,341.19,339.51,338.04,1.0,343.49,341.19,1029193.0,0.0
2018-03-09,347.59,342.05,340.26,1.0,349.3918,347.59,913163.0,0.0
2018-03-12,359.22,349.56,349.56,1.0,369.51,359.22,1933850.0,0.0
2018-03-13,350.01,361.05,348.19,1.0,362.84,350.01,807832.0,0.0
2018-03-14,340.96,351.35,339.8,1.0,352.17,340.96,1298486.0,0.0
2018-03-15,339.55,340.14,337.14,1.0,343.69,339.55,831378.0,0.0
2018-03-16,342.17,341.23,339.85,1.0,344.76,342.17,2746607.0,0.0
2018-03-19,332.99,340.69,331.49,1.0,340.69,332.99,1345550.0,0.0
2018-03-20,327.61,332.87,327.4,1.0,333.85,327.61,1041777.0,0.0
2018-03-21,325.47,326.9,324.8,1.0,329.97,325.47,897433.0,0.0
2018-03-22,322.97,322.65,319.36,1.0,323.35,322.97,2752311.0,0.0
2018-03-23,312.39,322.66,311.78,1.0,323.74,312.39,1176409.0,0.0
2018-03-26,312.18,316.45,307.23,1.0,316.8956,312.18,1732781.0,0.0
2018-03-27,310.22,315.5,307.715,1.0,316.0,310.22,1467363.0,0.0
2018-03-28,306.26,311.17,306.06,1.0,312.84,306.26,1305811.0,0.0
2018-03-29,311.22,306.63,303.78,1.0,314.66,311.22,1521595.0,0.0
2018-04-02,303.87,308.91,298.67,1.0,310.6,303.87,1753006.0,0.0
2018-04-03,306.37,305.51,303.79,1.0,312.37,306.37,1706846.0,0.0
2018-04-04,311.69,304.38,302.05,1.0,312.47,311.69,1857070.0,0.0
2018-04-05,317.02,312.5,311.9375,1.0,317.64,317.02,875452.0,0.0
2018-04-06,310.67,314.88,308.47,1.0,316.08,310.67,1235041.0,0.0
2018-04-09,316.51,311.88,310.67,1.0,319.74,316.51,1144042.0,0.0
2018-04-10,308.24,319.59,307.84,1.0,319.59,308.24,1593406.0,0.0
2018-04-11,303.33,305.39,302.48,1.0,307.2,303.33,1645428.0,0.0
2018-04-12,306.34,304.3,299.23,1.0,308.0,306.34,1669493.0,0.0
2018-04-13,305.91,307.35,304.055,1.0,308.81,305.91,964093.0,0.0
2018-04-16,312.84,308.84,304.35,1.0,315.4,312.84,1333612.0,0.0
2018-04-17,310.48,315.27,309.35,1.0,317.6,310.48,1306791.0,0.0
2018-04-18,317.46,311.15,311.15,1.0,319.38,317.46,1026600.0,0.0
2018-04-19,315.55,316.35,314.01,1.0,322.89,315.55,1113489.0,0.0
2018-04-20,310.94,314.81,310.17,1.0,318.7,310.94,915834.0,0.0
2018-04-23,309.97,312.0,309.16,1.0,315.04,309.97,819451.0,0.0
2018-04-24,301.28,312.53,299.72,1.0,313.76,301.28,1053893.0,0.0
2018-04-25,300.35,300.0,295.34,1.0,301.6,300.35,2091810.0,0.0
2018-04-26,298.15,301.84,296.18,1.0,305.38,298.15,1512329.0,0.0
2018-04-27,263.325,275.14,250.1,1.0,279.064,263.325,15522707.0,0.0
2018-04-30,271.29,264.09,264.09,1.0,273.445,271.29,6432656.0,0.0
2018-05-01,279.4,270.58,267.33,1.0,281.33,279.4,3597659.0,0.0
2018-05-02,274.78,278.0,272.01,1.0,279.1,274.78,2141811.0,0.0
2018-05-03,271.36,273.64,264.75,1.0,273.82,271.36,2198985.0,0.0
2018-05-04,276.07,269.1,267.581,1.0,279.18,276.07,1241918.0,0.0
2018-05-07,278.1,276.24,273.92,1.0,280.16,278.1,1146793.0,0.0
2018-05-08,271.01,277.0,269.11,1.0,277.87,271.01,1636805.0,0.0
2018-05-09,270.13,272.46,269.93,1.0,273.19,270.13,1560933.0,0.0
2018-05-10,272.83,271.25,269.97,1.0,275.64,272.83,1984428.0,0.0
2018-05-11,272.81,273.51,269.3,1.0,274.56,272.81,1825664.0,0.0
2018-05-14,272.84,272.4,270.37,1.0,277.89,272.84,1808933.0,0.0
2018-05-15,270.31,272.33,266.86,1.0,274.33,270.31,1775011.0,0.0
2018-05-16,272.33,270.8,266.74,1.0,274.29,272.33,1861480.0,0.0
2018-05-17,268.17,271.97,267.83,1.0,273.16,268.17,1301719.0,0.0
2018-05-18,270.17,267.69,266.725,1.0,270.59,270.17,1643005.0,0.0
2018-05-21,266.55,270.0,265.24,1.0,270.0,266.55,2065579.0,0.0
2018-05-22,267.66,267.62,267.02,1.0,268.81,267.66,1315960.0,0.0
2018-05-23,274.09,265.47,265.22,1.0,275.045,274.09,1419049.0,0.0
2018-05-24,268.43,274.09,267.95,1.0,274.09,268.43,1291601.0,0.0
2018-05-25,270.2,268.52,267.895,1.0,271.42,270.2,769459.0,0.0
2018-05-29,266.36,268.0,264.83,1.0,271.03,266.36,1181640.0,0.0
2018-05-30,266.94,267.14,262.16,1.0,268.74,266.94,1352313.0,0.0
2018-05-31,261.04,264.73,259.4774,1.0,267.06,261.04,3132349.0,0.0
2018-06-01,261.87,261.7,260.0,1.0,266.45,261.87,1691411.0,0.0
2018-06-04,267.98,262.1,260.39,1.0,268.89,267.98,1471834.0,0.0
2018-06-05,265.95,267.66,265.16,1.0,270.72,265.95,1178895.0,0.0
2018-06-06,275.09,266.12,266.0,1.0,278.2,275.09,1645149.0,0.0
2018-06-07,278.19,274.35,270.8707,1.0,279.54,278.19,1840886.0,0.0
2018-06-08,277.26,277.4,274.15,1.0,279.46,277.26,2903033.0,0.0
2018-06-11,283.06,276.57,275.9825,1.0,284.1,283.06,2031659.0,0.0
2018-06-12,290.98,283.1,283.1,1.0,293.5,290.98,3617019.0,0.0
2018-06-13,285.02,295.0,283.22,1.0,295.58,285.02,2581659.0,0.0
