date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,129.5482,125.62,125.0,1.0,131.13,130.63,2727910.0,0.0
2018-02-07,126.7614,130.81,127.67,1.0,130.9,127.82,1840277.0,0.0
2018-02-08,126.7019,127.38,126.1,1.0,129.61,127.76,1803992.0,0.0
2018-02-09,127.7333,128.57,124.98,1.0,129.57,128.8,1707454.0,0.0
2018-02-12,126.8904,128.83,126.9987,1.0,130.42,127.95,1158835.0,0.0
2018-02-13,127.4656,127.43,127.01,1.0,128.82,128.53,1108147.0,0.0
2018-02-14,127.7333,128.31,127.09,1.0,129.57,128.8,1018113.0,0.0
2018-02-15,129.9449,129.27,127.9,1.0,131.06,131.03,844763.0,0.0
2018-02-16,130.6093,130.63,130.2,1.0,132.83,131.7,1036921.0,0.0
2018-02-20,127.7135,131.24,128.43,1.0,131.43,128.78,1021070.0,0.0
2018-02-21,125.2441,128.85,126.22,1.0,129.83,126.29,934458.0,0.0
2018-02-22,126.2458,126.55,126.41,1.0,127.91,127.3,859865.0,0.0
2018-02-23,128.3581,127.95,127.02,1.0,129.43,129.43,868916.0,0.0
2018-02-26,130.4308,129.91,129.6,1.0,131.58,131.52,983139.0,0.0
2018-02-27,129.1118,131.43,129.78,1.0,132.635,130.19,1119923.0,0.0
2018-02-28,128.011,130.84,128.82,1.0,131.0,129.08,1375457.0,0.0
2018-03-01,128.6953,129.08,128.93,1.0,131.709,129.77,1372159.0,0.0
2018-03-02,129.8556,129.02,128.94,1.0,131.14,130.94,810517.0,0.0
2018-03-05,131.8291,130.95,130.47,1.0,133.15,132.93,1049537.0,0.0
2018-03-06,131.2341,132.86,130.701,1.0,132.9,132.33,696362.0,0.0
2018-03-07,129.4688,131.76,130.1,1.0,132.27,130.55,834318.0,0.0
2018-03-08,131.8787,130.69,130.45,1.0,133.09,132.98,604366.0,0.0
2018-03-09,130.4804,133.21,131.45,1.0,133.32,131.57,821465.0,0.0
2018-03-12,129.2903,131.61,129.93,1.0,132.66,130.37,884732.0,0.0
2018-03-13,130.1035,130.89,130.4701,1.0,131.76,131.19,764815.0,0.0
2018-03-14,127.5052,131.28,128.48,1.0,131.47,128.57,720195.0,0.0
2018-03-15,126.0871,128.49,126.24,1.0,129.52,127.14,1222611.0,0.0
2018-03-16,127.4259,127.25,127.25,1.0,128.7404,128.49,1446966.0,0.0
2018-03-19,127.4557,128.4,128.025,1.0,130.35,128.52,682880.0,0.0
2018-03-20,127.059,128.8,127.64,1.0,129.5452,128.12,640463.0,0.0
2018-03-21,123.7764,127.88,124.02,1.0,127.88,124.81,1460414.0,0.0
2018-03-22,124.4706,124.53,124.5,1.0,127.06,125.51,1034322.0,0.0
2018-03-23,123.3698,125.85,124.11,1.0,126.75,124.4,774687.0,0.0
2018-03-26,123.1913,125.13,123.64,1.0,125.78,124.22,752303.0,0.0
2018-03-27,125.3334,124.19,123.83,1.0,127.45,126.38,745747.0,0.0
2018-03-28,129.2308,126.77,126.77,1.0,131.3,130.31,1790304.0,0.0
2018-03-29,132.0076,131.04,131.04,1.0,134.03,133.11,1893043.0,0.0
2018-04-02,127.6242,132.44,127.91,1.0,132.44,128.69,1484363.0,0.0
2018-04-03,127.2771,128.79,127.53,1.0,129.14,128.34,1013976.0,0.0
2018-04-04,128.973,127.41,127.0,1.0,131.24,130.05,966806.0,0.0
2018-04-05,129.1713,129.94,128.14,1.0,130.93,130.25,889065.0,0.0
2018-04-06,127.4457,130.04,127.8,1.0,132.14,128.51,950370.0,0.0
2018-04-09,126.9102,129.0,127.0,1.0,129.25,127.97,736064.0,0.0
2018-04-10,125.9383,128.4,126.56,1.0,128.97,126.99,938634.0,0.0
2018-04-11,125.3433,126.95,125.75,1.0,127.0,126.39,661719.0,0.0
2018-04-12,123.6375,126.64,124.36,1.0,126.7803,124.67,959968.0,0.0
2018-04-13,124.4904,124.86,124.65,1.0,126.03,125.53,634264.0,0.0
2018-04-16,126.1168,125.67,124.8,1.0,127.53,127.17,1073710.0,0.0
2018-04-17,125.7896,127.56,126.025,1.0,127.56,126.84,650774.0,0.0
2018-04-18,125.6706,126.84,126.26,1.0,127.8021,126.72,833156.0,0.0
2018-04-19,118.1732,123.5,118.92,1.0,123.71,119.16,3950132.0,0.0
2018-04-20,113.9286,119.21,114.38,1.0,119.29,114.88,3113129.0,0.0
2018-04-23,113.8493,115.5,114.01,1.0,115.93,114.8,2094586.0,0.0
2018-04-24,114.96,114.0,113.57,1.0,116.12,114.96,1933002.0,0.96
2018-04-25,116.42,114.67,114.67,1.0,117.95,116.42,1536457.0,0.0
2018-04-26,116.15,116.43,115.61,1.0,117.0705,116.15,1375953.0,0.0
2018-04-27,118.31,116.05,115.8,1.0,118.99,118.31,1376342.0,0.0
2018-04-30,117.2,118.75,116.47,1.0,118.77,117.2,2475054.0,0.0
2018-05-01,116.82,116.81,115.59,1.0,117.97,116.82,1791214.0,0.0
2018-05-02,116.0,115.0,115.0,1.0,117.92,116.0,2627142.0,0.0
