date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,92.1569,88.69,88.15,1.0,93.164,92.77,2095410.0,0.0
2018-02-07,92.9615,92.12,92.09,1.0,95.13,93.58,1902784.0,0.0
2018-02-08,88.5906,93.58,89.14,1.0,93.58,89.18,1519639.0,0.0
2018-02-09,91.0045,91.13,88.34,1.0,92.42,91.61,1701332.0,0.0
2018-02-12,92.6834,92.19,91.7,1.0,94.31,93.3,1589568.0,0.0
2018-02-13,93.2198,92.45,92.2,1.0,93.99,93.84,1045901.0,0.0
2018-02-14,96.7563,93.69,93.69,1.0,97.54,97.4,1726015.0,0.0
2018-02-15,97.0245,97.9,97.02,1.0,98.3,97.67,1276032.0,0.0
2018-02-16,97.1735,96.98,96.5001,1.0,99.03,97.82,1250382.0,0.0
2018-02-20,96.5576,97.4,96.63,1.0,98.59,97.2,933571.0,0.0
2018-02-21,97.7596,97.35,97.31,1.0,99.8,98.41,1023655.0,0.0
2018-02-22,96.0311,99.25,96.39,1.0,99.595,96.67,1060567.0,0.0
2018-02-23,98.0278,97.19,96.97,1.0,98.72,98.68,1059234.0,0.0
2018-02-26,99.0113,99.28,98.2,1.0,99.67,99.67,1177375.0,0.0
2018-02-27,97.9583,99.5,98.53,1.0,101.73,98.61,1202061.0,0.0
2018-02-28,96.5775,99.24,97.22,1.0,100.18,97.22,1795758.0,0.0
2018-03-01,96.2894,97.22,95.55,1.0,97.87,96.93,2573784.0,0.0
2018-03-02,97.6404,96.18,95.39,1.0,98.58,98.29,1821745.0,0.0
2018-03-05,98.1967,97.48,96.15,1.0,99.45,98.85,1695629.0,0.0
2018-03-06,99.9848,99.6,98.54,1.0,100.82,100.65,1159583.0,0.0
2018-03-07,100.5014,99.57,99.37,1.0,101.295,101.17,1139568.0,0.0
2018-03-08,99.6768,101.64,98.65,1.0,101.92,100.34,1416037.0,0.0
2018-03-09,101.5345,101.35,100.52,1.0,102.42,102.21,1304603.0,0.0
2018-03-12,100.1537,102.3,100.54,1.0,102.66,100.82,1646909.0,0.0
2018-03-13,98.743,101.49,98.9,1.0,101.49,99.4,1638897.0,0.0
2018-03-14,97.3722,99.82,97.31,1.0,99.82,97.72,1103647.0,0.3
2018-03-15,97.701,98.24,97.23,1.0,98.88,98.05,1161240.0,0.0
2018-03-16,98.5878,98.83,98.19,1.0,99.8,98.94,2705419.0,0.0
2018-03-19,97.6811,98.64,96.66,1.0,99.14,98.03,911203.0,0.0
2018-03-20,98.2092,98.71,98.19,1.0,99.52,98.56,1119704.0,0.0
2018-03-21,98.6376,98.6,98.17,1.0,100.5,98.99,1435223.0,0.0
2018-03-22,94.4227,98.0,94.43,1.0,98.23,94.76,2706464.0,0.0
2018-03-23,91.3636,95.25,91.5,1.0,95.49,91.69,1601315.0,0.0
2018-03-26,95.7978,93.58,93.375,1.0,96.49,96.14,1657062.0,0.0
2018-03-27,94.0939,96.74,93.6935,1.0,97.36,94.43,1937090.0,0.0
2018-03-28,93.9344,94.72,93.39,1.0,95.58,94.27,1682590.0,0.0
2018-03-29,95.5885,94.77,93.85,1.0,96.29,95.93,1596937.0,0.0
2018-04-02,93.4861,95.62,92.56,1.0,96.21,93.82,1595570.0,0.0
2018-04-03,95.1003,94.12,93.83,1.0,95.8,95.44,1615116.0,0.0
2018-04-04,96.3857,93.77,93.39,1.0,97.03,96.73,1584170.0,0.0
2018-04-05,97.5914,97.76,97.14,1.0,98.6,97.94,1457928.0,0.0
2018-04-06,94.5821,96.91,93.945,1.0,97.31,94.92,1589473.0,0.0
2018-04-09,95.2099,96.19,95.45,1.0,97.97,95.55,1642129.0,0.0
2018-04-10,97.0334,98.07,96.15,1.0,98.07,97.38,1390643.0,0.0
2018-04-11,95.9174,96.32,95.8978,1.0,97.23,96.26,928931.0,0.0
2018-04-12,98.1295,97.19,96.76,1.0,99.1,98.48,1332544.0,0.0
2018-04-13,95.728,99.15,95.35,1.0,99.37,96.07,1443902.0,0.0
2018-04-16,95.7679,96.63,95.38,1.0,97.2,96.11,2128103.0,0.0
2018-04-17,92.4099,94.6,91.95,1.0,94.9,92.74,4065252.0,0.0
2018-04-18,92.948,92.92,92.105,1.0,94.54,93.28,2225410.0,0.0
2018-04-19,94.7017,93.51,93.245,1.0,95.43,95.04,1779325.0,0.0
2018-04-20,95.1501,95.02,94.86,1.0,96.27,95.49,1651060.0,0.0
2018-04-23,95.6683,95.86,95.24,1.0,96.53,96.01,952354.0,0.0
2018-04-24,95.9273,96.83,95.11,1.0,98.25,96.27,1868229.0,0.0
2018-04-25,95.728,95.86,94.71,1.0,96.81,96.07,1152098.0,0.0
2018-04-26,95.3594,95.7,95.07,1.0,96.44,95.7,974386.0,0.0
2018-04-27,95.9473,95.41,95.3,1.0,96.48,96.29,1246365.0,0.0
2018-04-30,94.2433,96.62,94.57,1.0,97.4,94.58,870248.0,0.0
2018-05-01,94.5124,94.42,93.45,1.0,95.06,94.85,1137876.0,0.0
2018-05-02,93.9643,94.59,94.08,1.0,95.93,94.3,1820041.0,0.0
2018-05-03,92.649,93.91,91.53,1.0,94.02,92.98,1479723.0,0.0
2018-05-04,93.7451,92.07,91.49,1.0,94.7,94.08,885119.0,0.0
2018-05-07,93.7152,94.37,93.29,1.0,94.63,94.05,1136338.0,0.0
2018-05-08,95.4291,94.28,94.21,1.0,96.81,95.77,1945033.0,0.0
2018-05-09,96.9736,96.29,95.73,1.0,97.765,97.32,1193364.0,0.0
2018-05-10,97.5615,97.24,96.74,1.0,98.58,97.91,848054.0,0.0
2018-05-11,97.5515,98.15,97.28,1.0,98.62,97.9,1097679.0,0.0
2018-05-14,97.6711,98.36,97.46,1.0,98.6,98.02,1015740.0,0.0
2018-05-15,98.0497,97.73,97.73,1.0,99.25,98.4,1163964.0,0.0
