date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,156.3602,153.2,149.379,1.0,157.76,157.65,4289200.0,0.0
2018-02-07,158.6216,158.67,156.85,1.0,162.0,159.93,2708440.0,0.0
2018-02-08,151.788,160.25,152.93,1.0,160.87,153.04,2490737.0,0.0
2018-02-09,155.5668,154.26,152.501,1.0,157.92,156.85,2025393.0,0.0
2018-02-12,158.8199,157.33,157.25,1.0,161.29,160.13,1963229.0,0.0
2018-02-13,158.8497,159.0,158.16,1.0,161.17,160.16,1235773.0,0.0
2018-02-14,160.8234,159.07,158.77,1.0,162.549,162.15,1786124.0,0.0
2018-02-15,163.7592,162.77,161.61,1.0,165.21,165.11,1552366.0,0.0
2018-02-16,161.0515,164.68,161.78,1.0,165.35,162.38,1422390.0,0.0
2018-02-20,162.0136,161.73,161.5227,1.0,164.66,163.35,1416705.0,0.0
2018-02-21,160.4565,163.11,161.73,1.0,164.81,161.78,1102018.0,0.0
2018-02-22,159.2167,162.46,160.03,1.0,163.379,160.53,1186362.0,0.0
2018-02-23,162.6781,161.2,161.15,1.0,164.08,164.02,917950.0,0.0
2018-02-26,165.5346,164.52,163.6,1.0,166.95,166.9,1211295.0,0.0
2018-02-27,165.3263,167.24,166.5,1.0,169.52,166.69,1570030.0,0.0
2018-02-28,164.8006,166.78,165.6251,1.0,168.82,166.16,1589048.0,0.0
2018-03-01,160.9325,166.37,161.28,1.0,166.99,162.26,1415414.0,0.0
2018-03-02,164.8998,161.56,161.56,1.0,166.385,166.26,1605000.0,0.0
2018-03-05,167.1116,165.35,164.9,1.0,170.13,168.49,1945960.0,0.0
2018-03-06,168.2026,169.07,166.46,1.0,170.3,169.59,1610330.0,0.0
2018-03-07,167.2008,168.02,166.04,1.0,168.83,168.58,1358081.0,0.0
2018-03-08,167.7562,168.69,166.93,1.0,169.23,168.44,1522583.0,0.7
2018-03-09,170.7241,169.76,168.805,1.0,171.7054,171.42,1942883.0,0.0
2018-03-12,168.4932,171.13,167.85,1.0,171.65,169.18,1654748.0,0.0
2018-03-13,164.141,169.06,164.23,1.0,169.86,164.81,2293624.0,0.0
2018-03-14,162.2885,165.65,162.39,1.0,165.9899,162.95,2235064.0,0.0
2018-03-15,164.7186,163.01,160.82,1.0,167.38,165.39,2182164.0,0.0
2018-03-16,164.4497,165.4,163.61,1.0,166.9,165.12,7645863.0,0.0
2018-03-19,162.8761,165.07,162.09,1.0,165.57,163.54,1351283.0,0.0
2018-03-20,163.5135,164.29,163.9754,1.0,165.82,164.18,943823.0,0.0
2018-03-21,163.8322,164.31,163.6301,1.0,166.967,164.5,1180152.0,0.0
2018-03-22,159.5098,163.5,159.73,1.0,165.51,160.16,1555706.0,0.0
2018-03-23,157.4781,160.49,157.98,1.0,161.64,158.12,2038068.0,0.0
2018-03-26,161.0536,159.88,159.57,1.0,162.58,161.71,1921225.0,0.0
2018-03-27,158.3546,161.77,157.6,1.0,163.85,159.0,1792127.0,0.0
2018-03-28,158.1952,159.0,156.43,1.0,167.36,158.84,2043845.0,0.0
2018-03-29,161.0834,158.52,156.68,1.0,162.0,161.74,3926343.0,0.0
2018-04-02,157.0598,161.62,155.4,1.0,161.62,157.7,1795380.0,0.0
2018-04-03,159.9182,157.26,156.73,1.0,160.97,160.57,1932012.0,0.0
2018-04-04,159.8385,158.02,157.0379,1.0,161.04,160.49,1519830.0,0.0
2018-04-05,162.3284,161.91,160.76,1.0,164.11,162.99,1810133.0,0.0
2018-04-06,157.6176,161.83,157.17,1.0,162.0264,158.26,1313788.0,0.0
2018-04-09,158.5338,158.72,158.11,1.0,162.43,159.18,1449756.0,0.0
2018-04-10,162.9259,161.02,160.93,1.0,164.58,163.59,1977605.0,0.0
2018-04-11,160.6054,162.02,160.49,1.0,162.53,161.26,1301205.0,0.0
2018-04-12,163.5434,162.45,162.02,1.0,166.17,164.21,1796644.0,0.0
2018-04-13,162.7566,165.38,162.3,1.0,165.455,163.42,1025635.0,0.0
2018-04-16,163.3542,164.94,163.97,1.0,165.93,164.02,1022357.0,0.0
2018-04-17,164.0912,164.8,164.5601,1.0,166.65,164.76,1589981.0,0.0
2018-04-18,164.5294,164.94,163.71,1.0,165.89,165.2,1026414.0,0.0
2018-04-19,163.8024,165.62,163.91,1.0,166.55,164.47,1336645.0,0.0
2018-04-20,164.4099,165.22,163.01,1.0,165.91,165.08,1598099.0,0.0
2018-04-23,163.5334,164.96,163.19,1.0,165.32,164.2,1342577.0,0.0
2018-04-24,160.944,164.98,160.27,1.0,165.41,161.6,1534560.0,0.0
2018-04-25,160.4261,161.75,159.85,1.0,162.11,161.08,1447492.0,0.0
2018-04-26,158.8027,159.89,155.6,1.0,162.28,159.45,3048841.0,0.0
2018-04-27,156.7212,157.91,155.66,1.0,159.309,157.36,1590707.0,0.0
2018-04-30,157.0399,158.37,157.67,1.0,160.57,157.68,1412935.0,0.0
2018-05-01,155.8647,157.56,154.4,1.0,158.34,156.5,1962605.0,0.0
2018-05-02,155.7452,156.45,155.65,1.0,158.2,156.38,1700543.0,0.0
2018-05-03,156.3826,155.7,153.9,1.0,158.4,157.02,2096993.0,0.0
2018-05-04,158.5139,156.81,155.75,1.0,160.3,159.16,1406083.0,0.0
2018-05-07,158.5737,159.41,158.35,1.0,160.0799,159.22,1232005.0,0.0
2018-05-08,157.8168,159.06,157.65,1.0,159.705,158.46,1299063.0,0.0
2018-05-09,160.8145,158.74,157.4,1.0,161.84,161.47,1307283.0,0.0
2018-05-10,159.3107,160.44,159.14,1.0,160.99,159.96,1532538.0,0.0
2018-05-11,158.6434,159.83,158.5,1.0,160.0,159.29,1194930.0,0.0
2018-05-14,160.3763,159.94,158.5,1.0,161.2,161.03,1336084.0,0.0
2018-05-15,159.7987,160.73,159.27,1.0,161.37,160.45,1232121.0,0.0
2018-05-16,160.0178,160.6,159.365,1.0,161.02,160.67,911163.0,0.0
2018-05-17,160.0477,160.33,159.4,1.0,160.91,160.7,1090938.0,0.0
2018-05-18,159.1314,160.62,159.3,1.0,160.88,159.78,1923827.0,0.0
2018-05-21,160.7249,160.15,160.01,1.0,161.87,161.38,982520.0,0.0
2018-05-22,160.207,161.27,158.81,1.0,161.46,160.86,1387525.0,0.0
2018-05-23,159.4601,159.83,158.14,1.0,160.19,160.11,1026696.0,0.0
2018-05-24,159.3605,158.68,157.21,1.0,160.12,160.01,1473301.0,0.0
2018-05-25,158.9521,159.4,158.5,1.0,159.99,159.6,1106706.0,0.0
2018-05-29,158.0359,158.47,157.35,1.0,159.54,158.68,1862221.0,0.0
2018-05-30,164.8182,159.6,158.7,1.0,166.1399,165.49,2422471.0,0.0
2018-05-31,162.2387,165.04,162.5,1.0,165.78,162.9,3657488.0,0.0
2018-06-01,166.8499,164.41,163.77,1.0,167.8,167.53,1690453.0,0.0
2018-06-04,169.6087,167.67,167.52,1.0,170.48,170.3,1984823.0,0.0
2018-06-05,169.768,169.08,169.08,1.0,170.79,170.46,2619253.0,0.0
2018-06-06,172.8355,171.21,170.72,1.0,174.36,173.54,2257347.0,0.0
2018-06-07,171.74,173.49,170.803,1.0,173.76,171.74,1926915.0,0.7
2018-06-08,170.97,171.41,169.69,1.0,171.69,170.97,1428055.0,0.0
