date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,304.33,296.8,293.55,1.0,305.46,304.33,1580520.0,0.0
2018-02-07,272.21,273.64,268.04,1.0,279.7,272.21,4771143.0,0.0
2018-02-08,266.01,270.17,265.0,1.0,271.11,266.01,1884097.0,0.0
2018-02-09,255.46,266.79,247.515,1.0,267.34,255.46,3048218.0,0.0
2018-02-12,254.45,257.0,249.31,1.0,259.16,254.45,1949430.0,0.0
2018-02-13,251.33,254.13,250.625,1.0,257.9571,251.33,1040417.0,0.0
2018-02-14,289.91,281.5,281.0,1.0,292.06,289.91,5361764.0,0.0
2018-02-15,286.65,291.99,286.16,1.0,292.6,286.65,1203690.0,0.0
2018-02-16,305.63,287.0,286.76,1.0,306.0,305.63,2728873.0,0.0
2018-02-20,317.57,304.47,300.0,1.0,322.245,317.57,2731520.0,0.0
2018-02-21,320.96,318.0,316.01,1.0,324.44,320.96,1896953.0,0.0
2018-02-22,313.91,320.04,311.67,1.0,324.47,313.91,1287355.0,0.0
2018-02-23,315.82,316.55,309.17,1.0,317.44,315.82,953270.0,0.0
2018-02-26,311.89,316.49,311.3104,1.0,318.74,311.89,909869.0,0.0
2018-02-27,319.15,318.86,317.31,1.0,330.14,319.15,1746061.0,0.0
2018-02-28,318.41,320.2,318.27,1.0,325.69,318.41,909921.0,0.0
2018-03-01,313.26,318.26,309.07,1.0,320.88,313.26,1095845.0,0.0
2018-03-02,319.99,310.34,309.031,1.0,320.85,319.99,843313.0,0.0
2018-03-05,320.16,320.0,318.4,1.0,324.82,320.16,790311.0,0.0
2018-03-06,318.04,322.25,315.16,1.0,322.74,318.04,535325.0,0.0
2018-03-07,319.95,315.86,314.88,1.0,320.09,319.95,384740.0,0.0
2018-03-08,321.86,321.0,315.95,1.0,324.7788,321.86,534757.0,0.0
2018-03-09,322.16,323.26,319.5,1.0,323.41,322.16,562605.0,0.0
2018-03-12,323.76,323.0,321.74,1.0,328.45,323.76,628527.0,0.0
2018-03-13,326.8,324.26,323.37,1.0,328.91,326.8,656720.0,0.0
2018-03-14,319.66,327.39,318.0,1.0,327.51,319.66,760919.0,0.0
2018-03-15,318.91,319.68,317.79,1.0,327.0,318.91,786643.0,0.0
2018-03-16,320.2,319.1,318.95,1.0,325.12,320.2,723417.0,0.0
2018-03-19,316.8,319.78,314.05,1.0,321.8761,316.8,547705.0,0.0
2018-03-20,320.17,316.75,315.0,1.0,322.72,320.17,546963.0,0.0
2018-03-21,334.52,320.94,320.32,1.0,339.1999,334.52,1377569.0,0.0
2018-03-22,336.71,330.28,329.0,1.0,344.34,336.71,1538404.0,0.0
2018-03-23,322.3,337.23,321.26,1.0,340.43,322.3,1045193.0,0.0
2018-03-26,327.86,327.39,321.06,1.0,329.0,327.86,688407.0,0.0
2018-03-27,322.96,329.9,321.03,1.0,333.21,322.96,597790.0,0.0
2018-03-28,319.51,322.0,316.22,1.0,323.9195,319.51,515954.0,0.0
2018-03-29,323.11,319.95,319.95,1.0,327.39,323.11,532690.0,0.0
2018-04-02,311.16,322.24,307.7,1.0,323.55,311.16,819357.0,0.0
2018-04-03,316.66,311.55,311.0,1.0,317.81,316.66,598578.0,0.0
2018-04-04,325.84,313.95,312.51,1.0,328.03,325.84,690735.0,0.0
2018-04-05,327.71,326.1,325.19,1.0,334.06,327.71,599813.0,0.0
2018-04-06,318.07,325.09,315.68,1.0,328.0651,318.07,633603.0,0.0
2018-04-09,317.1,320.09,316.875,1.0,321.71,317.1,514713.0,0.0
2018-04-10,321.77,319.89,315.77,1.0,323.8,321.77,595373.0,0.0
2018-04-11,321.75,321.45,320.58,1.0,331.905,321.75,668065.0,0.0
2018-04-12,325.08,323.65,319.7,1.0,327.69,325.08,618210.0,0.0
2018-04-13,318.36,328.4,315.95,1.0,328.4,318.36,625476.0,0.0
2018-04-16,326.6,318.59,318.11,1.0,330.0,326.6,782952.0,0.0
2018-04-17,334.61,330.0,329.58,1.0,340.76,334.61,894468.0,0.0
2018-04-18,339.36,336.0,335.7233,1.0,351.1687,339.36,1597051.0,0.0
2018-04-19,338.46,339.0,334.01,1.0,342.58,338.46,709824.0,0.0
2018-04-20,331.95,336.06,330.57,1.0,339.7491,331.95,802754.0,0.0
2018-04-23,330.71,333.65,326.0,1.0,336.3,330.71,981391.0,0.0
2018-04-24,333.1,332.95,329.66,1.0,339.04,333.1,850008.0,0.0
2018-04-25,339.52,333.22,330.37,1.0,342.01,339.52,1353357.0,0.0
2018-04-26,422.5,388.33,386.11,1.0,425.65,422.5,7034583.0,0.0
2018-04-27,427.35,420.28,416.81,1.0,433.0,427.35,3145854.0,0.0
2018-04-30,423.33,427.6,419.8106,1.0,432.5,423.33,1681564.0,0.0
2018-05-01,426.01,423.29,420.01,1.0,431.0,426.01,969865.0,0.0
2018-05-02,421.22,424.73,417.58,1.0,425.1,421.22,1048321.0,0.0
2018-05-03,419.42,420.89,416.655,1.0,423.01,419.42,801123.0,0.0
2018-05-04,420.41,418.9,417.54,1.0,424.1,420.41,704122.0,0.0
2018-05-07,419.62,421.61,415.24,1.0,421.69,419.62,580994.0,0.0
2018-05-08,424.42,418.68,418.01,1.0,428.28,424.42,674543.0,0.0
2018-05-09,424.69,428.92,422.66,1.0,429.93,424.69,571860.0,0.0
