date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,172.4344,173.6,169.24,1.0,180.87,174.83,3474175.0,0.0
2018-02-07,170.373,175.9,172.565,1.0,179.67,172.74,2542172.0,0.0
2018-02-08,163.4591,172.85,165.7,1.0,173.5,165.73,2390342.0,0.0
2018-02-09,161.8021,168.88,159.36,1.0,168.88,164.05,2801999.0,0.0
2018-02-12,163.4985,165.53,164.49,1.0,167.595,165.77,1899184.0,0.0
2018-02-13,163.3604,165.46,164.1,1.0,166.03,165.63,1167267.0,0.0
2018-02-14,163.7254,164.23,163.1,1.0,166.83,166.0,1932983.0,0.0
2018-02-15,162.7588,167.55,163.34,1.0,167.98,165.02,1878835.0,0.0
2018-02-16,163.3308,164.93,164.39,1.0,167.56,165.6,1421066.0,0.0
2018-02-20,164.5341,166.34,165.27,1.0,167.83,166.82,1498865.0,0.0
2018-02-21,164.0015,167.51,166.24,1.0,169.21,166.28,1601683.0,0.0
2018-02-22,165.7966,166.22,166.04,1.0,168.72,167.02,1150713.0,1.08
2018-02-23,168.2882,168.45,167.55,1.0,169.79,169.53,1767864.0,0.0
2018-02-26,170.3827,170.48,169.23,1.0,172.12,171.64,1386378.0,0.0
2018-02-27,168.8143,171.72,170.04,1.0,173.32,170.06,1528792.0,0.0
2018-02-28,166.9382,171.08,167.6,1.0,172.01,168.17,1744026.0,0.0
2018-03-01,159.7115,168.0,160.18,1.0,168.4,160.89,2848120.0,0.0
2018-03-02,157.7758,159.94,154.58,1.0,160.14,158.94,3081048.0,0.0
2018-03-05,159.7611,158.0,157.4,1.0,161.14,160.94,1937213.0,0.0
2018-03-06,159.4732,162.4,160.53,1.0,163.86,160.65,1609812.0,0.0
2018-03-07,158.0835,158.34,157.13,1.0,160.66,159.25,2416740.0,0.0
2018-03-08,158.0339,159.46,157.99,1.0,160.6,159.2,1794723.0,0.0
2018-03-09,161.1806,160.51,159.83,1.0,163.52,162.37,1580291.0,0.0
2018-03-12,158.8876,162.36,159.081,1.0,162.7,160.06,1694388.0,0.0
2018-03-13,159.1754,161.0,159.92,1.0,162.98,160.35,1766167.0,0.0
2018-03-14,158.4409,161.22,159.09,1.0,161.6,159.61,1184688.0,0.0
2018-03-15,158.9868,159.93,159.15,1.0,160.97,160.16,1088052.0,0.0
2018-03-16,161.3792,160.21,159.74,1.0,163.73,162.57,4118653.0,0.0
2018-03-19,158.4409,162.85,158.45,1.0,163.22,159.61,2280014.0,0.0
2018-03-20,159.8207,160.26,159.76,1.0,162.48,161.0,1185539.0,0.0
2018-03-21,160.2972,160.93,160.25,1.0,163.07,161.48,1153571.0,0.0
2018-03-22,156.3959,159.74,157.53,1.0,160.2799,157.55,2009518.0,0.0
2018-03-23,154.2815,158.17,155.27,1.0,159.19,155.42,1456939.0,0.0
2018-03-26,159.5427,159.13,156.945,1.0,161.12,160.72,1524080.0,0.0
2018-03-27,157.5872,161.13,158.36,1.0,162.2287,158.75,1676214.0,0.0
2018-03-28,158.5004,158.45,158.45,1.0,161.66,159.67,1554559.0,0.0
2018-03-29,160.9027,160.77,160.77,1.0,163.71,162.09,1495691.0,0.0
2018-04-02,157.5673,161.51,156.0,1.0,162.0,158.73,1300829.0,0.0
2018-04-03,158.9273,159.48,157.55,1.0,160.63,160.1,1475240.0,0.0
2018-04-04,159.771,155.58,155.58,1.0,161.29,160.95,1476691.0,0.0
2018-04-05,161.2303,162.15,161.52,1.0,163.64,162.42,1910001.0,0.0
2018-04-06,156.7434,161.31,156.2,1.0,161.95,157.9,1397945.0,0.0
2018-04-09,155.3536,158.02,156.28,1.0,159.61,156.5,1306930.0,0.0
2018-04-10,160.7339,158.89,158.56,1.0,162.84,161.92,1704170.0,0.0
2018-04-11,157.6963,160.48,158.42,1.0,161.725,158.86,1341953.0,0.0
2018-04-12,160.6049,160.0,159.6,1.0,162.77,161.79,1464476.0,0.0
2018-04-13,161.2005,162.99,161.87,1.0,163.85,162.39,1123865.0,0.0
2018-04-16,165.4491,164.43,164.1,1.0,167.895,166.67,1774210.0,0.0
2018-04-17,166.2433,168.44,167.16,1.0,169.27,167.47,1252351.0,0.0
2018-04-18,169.5787,168.48,167.71,1.0,172.08,170.83,1719459.0,0.0
2018-04-19,168.2783,170.61,168.19,1.0,171.27,169.52,1598321.0,0.0
2018-04-20,167.5338,169.92,168.0,1.0,170.225,168.77,825674.0,0.0
2018-04-23,167.7819,168.95,167.9501,1.0,170.04,169.02,1070744.0,0.0
2018-04-24,160.1483,170.47,157.21,1.0,171.9,161.33,2623338.0,0.0
2018-04-25,160.9523,160.85,159.4,1.0,163.35,162.14,1672572.0,0.0
2018-04-26,160.8034,162.25,160.21,1.0,163.34,161.99,1229290.0,0.0
2018-04-27,159.642,161.48,159.22,1.0,162.9,160.82,2119208.0,0.0
2018-04-30,158.689,161.72,159.07,1.0,163.46,159.86,1950089.0,0.0
2018-05-01,152.1572,153.94,149.1,1.0,155.0,153.28,4037319.0,0.0
2018-05-02,145.0497,150.27,145.47,1.0,151.55,146.12,3582934.0,0.0
2018-05-03,142.4985,144.63,140.6,1.0,145.43,143.55,3231563.0,0.0
2018-05-04,143.4912,142.43,142.04,1.0,145.47,144.55,2146919.0,0.0
2018-05-07,143.8982,145.32,144.84,1.0,146.71,144.96,2078214.0,0.0
2018-05-08,144.9206,145.43,144.58,1.0,147.74,145.99,1380276.0,0.0
2018-05-09,145.4467,146.23,145.21,1.0,147.6332,146.52,1292040.0,0.0
2018-05-10,145.0497,146.87,145.37,1.0,147.28,146.12,1325752.0,0.0
2018-05-11,145.1787,146.16,145.5,1.0,148.99,146.25,1516277.0,0.0
2018-05-14,143.8088,146.3,144.36,1.0,147.2,144.87,1434713.0,0.0
2018-05-15,145.3673,144.01,143.78,1.0,146.52,146.44,1498585.0,0.0
2018-05-16,146.1019,146.52,146.52,1.0,147.97,147.18,1084924.0,0.0
2018-05-17,146.36,146.06,145.48,1.0,147.8,146.36,930328.0,1.08
2018-05-18,148.9,146.14,146.14,1.0,149.54,148.9,1643059.0,0.0
2018-05-21,151.0,150.0,149.8,1.0,151.5,151.0,1278397.0,0.0
2018-05-22,149.06,151.03,149.05,1.0,151.42,149.06,653012.0,0.0
2018-05-23,149.06,148.5,147.075,1.0,149.26,149.06,1323123.0,0.0
2018-05-24,148.38,148.93,147.78,1.0,149.7,148.38,821752.0,0.0
2018-05-25,146.54,147.77,145.8,1.0,148.28,146.54,1057314.0,0.0
2018-05-29,144.5,146.02,142.63,1.0,146.1,144.5,1873637.0,0.0
2018-05-30,145.48,145.0,143.66,1.0,146.01,145.48,1573549.0,0.0
2018-05-31,142.39,145.5,141.86,1.0,145.925,142.39,1382221.0,0.0
2018-06-01,143.58,143.59,142.85,1.0,144.8073,143.58,1034017.0,0.0
2018-06-04,142.3,144.32,141.94,1.0,144.59,142.3,830537.0,0.0
2018-06-05,141.57,142.25,140.73,1.0,142.77,141.57,1750963.0,0.0
2018-06-06,143.55,142.02,141.43,1.0,143.63,143.55,1796019.0,0.0
2018-06-07,143.86,144.0,143.3804,1.0,144.57,143.86,1152019.0,0.0
2018-06-08,143.68,143.48,142.29,1.0,144.4985,143.68,1337711.0,0.0
2018-06-11,144.56,143.56,143.56,1.0,145.19,144.56,759598.0,0.0
2018-06-12,143.59,144.69,143.375,1.0,145.18,143.59,1230667.0,0.0
2018-06-13,141.56,143.34,141.25,1.0,143.465,141.56,1203966.0,0.0
2018-06-14,141.89,141.6,141.28,1.0,143.23,141.89,906544.0,0.0
