date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,55.4078,54.75,54.42,1.0,56.54,55.94,10988340.0,0.0
2018-02-07,55.1007,56.06,55.63,1.0,56.9701,55.63,7706788.0,0.0
2018-02-08,52.7335,55.62,53.23,1.0,55.8296,53.24,8589629.0,0.0
2018-02-09,51.8074,53.24,50.18,1.0,53.6,52.02,9667168.0,0.285
2018-02-12,53.1917,52.63,52.55,1.0,53.96,53.41,7015191.0,0.0
2018-02-13,53.1021,52.93,52.61,1.0,53.94,53.32,5291066.0,0.0
2018-02-14,55.2831,52.7,52.54,1.0,55.86,55.51,6560068.0,0.0
2018-02-15,54.3171,55.64,53.76,1.0,55.71,54.54,6083059.0,0.0
2018-02-16,54.4266,54.39,54.23,1.0,55.06,54.65,4889746.0,0.0
2018-02-20,54.6158,54.6,54.34,1.0,55.3,54.84,4068210.0,0.0
2018-02-21,53.5303,54.59,53.73,1.0,55.44,53.75,5146520.0,0.0
2018-02-22,54.6856,54.26,54.19,1.0,55.5,54.91,5532439.0,0.0
2018-02-23,56.8168,55.35,55.07,1.0,57.14,57.05,6464332.0,0.0
2018-02-26,56.3587,57.26,56.515,1.0,57.54,56.59,5875292.0,0.0
2018-02-27,55.6018,56.5,55.82,1.0,57.62,55.83,5291980.0,0.0
2018-02-28,54.088,56.02,54.3,1.0,56.58,54.31,5788885.0,0.0
2018-03-01,53.6598,54.5,53.52,1.0,55.01,53.88,5135391.0,0.0
2018-03-02,53.839,53.54,52.78,1.0,54.21,54.06,4574396.0,0.0
2018-03-05,53.7693,53.49,53.31,1.0,54.225,53.99,5266045.0,0.0
2018-03-06,53.839,54.28,53.5,1.0,54.39,54.06,4931938.0,0.0
2018-03-07,53.849,53.31,53.241,1.0,54.46,54.07,7245777.0,0.0
2018-03-08,53.351,54.13,52.92,1.0,54.38,53.57,4489425.0,0.0
2018-03-09,54.8349,54.07,54.01,1.0,55.07,55.06,5305889.0,0.0
2018-03-12,54.5163,55.01,54.59,1.0,55.41,54.74,5037696.0,0.0
2018-03-13,53.7394,54.94,53.58,1.0,55.21,53.96,5511401.0,0.0
2018-03-14,53.7394,54.34,53.87,1.0,54.73,53.96,4052436.0,0.0
2018-03-15,53.8092,54.31,53.38,1.0,54.51,54.03,4919405.0,0.0
2018-03-16,54.7055,54.11,53.64,1.0,55.19,54.93,12686058.0,0.0
2018-03-19,53.351,54.76,53.38,1.0,54.91,53.57,4778682.0,0.0
2018-03-20,54.4764,54.1,53.91,1.0,55.47,54.7,5077121.0,0.0
2018-03-21,56.8068,55.1,55.04,1.0,57.59,57.04,7184199.0,0.0
2018-03-22,56.2691,56.41,56.05,1.0,57.28,56.5,10142415.0,0.0
2018-03-23,57.504,57.04,56.97,1.0,58.38,57.74,9359537.0,0.0
2018-03-26,58.8385,58.37,58.21,1.0,59.1,59.08,8460219.0,0.0
2018-03-27,58.8983,59.15,58.69,1.0,59.8188,59.14,9045686.0,0.0
2018-03-28,58.4899,59.16,58.43,1.0,59.74,58.73,13327619.0,0.0
2018-03-29,59.0477,58.74,58.74,1.0,59.59,59.29,8469189.0,0.0
2018-04-02,57.8526,59.27,56.57,1.0,59.3,58.09,7403821.0,0.0
2018-04-03,59.7846,58.54,57.86,1.0,60.08,60.03,8257314.0,0.0
2018-04-04,59.3165,58.82,58.45,1.0,59.735,59.56,8174211.0,0.0
2018-04-05,60.2129,59.83,59.73,1.0,61.17,60.46,6822629.0,0.0
2018-04-06,59.0178,60.21,58.535,1.0,60.65,59.26,8837538.0,0.0
2018-04-09,60.3722,59.86,59.51,1.0,61.15,60.62,10832062.0,0.0
2018-04-10,62.0852,61.44,61.38,1.0,63.0,62.34,11158041.0,0.0
2018-04-11,62.9715,62.3,61.6,1.0,63.275,63.23,10014141.0,0.0
2018-04-12,62.9815,63.29,62.84,1.0,63.88,63.24,10336245.0,0.0
2018-04-13,64.6347,63.95,63.74,1.0,65.0,64.9,9672907.0,0.0
2018-04-16,65.4613,64.97,64.38,1.0,65.99,65.73,8534926.0,0.0
2018-04-17,66.2381,65.92,65.46,1.0,66.91,66.51,8312592.0,0.0
2018-04-18,66.1485,67.0,66.38,1.0,67.3,66.42,11015565.0,0.0
2018-04-19,66.039,65.89,65.55,1.0,66.595,66.31,8366275.0,0.0
2018-04-20,65.5211,65.85,65.34,1.0,66.1111,65.79,7008374.0,0.0
2018-04-23,65.2124,65.58,64.47,1.0,65.63,65.48,9209722.0,0.0
2018-04-24,65.043,66.0,64.85,1.0,66.62,65.31,8731627.0,0.0
2018-04-25,64.7941,64.96,63.92,1.0,65.56,65.06,9867902.0,0.0
2018-04-26,66.6963,65.75,65.1,1.0,67.13,66.97,10574560.0,0.0
2018-04-27,64.6845,66.43,64.95,1.0,66.76,64.95,6398799.0,0.0
