date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,183.9916,178.91,176.2,1.0,185.24,185.01,3963330.0,0.0
2018-02-07,182.1816,184.6,183.07,1.0,186.19,183.19,2558056.0,0.0
2018-02-08,177.6268,184.51,178.53,1.0,184.51,178.61,2456120.0,0.0
2018-02-09,179.7252,179.78,175.79,1.0,182.07,180.72,2505935.0,0.0
2018-02-12,180.0633,181.84,180.38,1.0,183.259,181.06,1590150.0,0.0
2018-02-13,183.1363,180.22,180.05,1.0,184.6,184.15,2034895.0,0.0
2018-02-14,186.3187,182.71,182.31,1.0,188.48,187.35,2160284.0,0.0
2018-02-15,190.9232,188.09,186.57,1.0,191.71,191.48,2053489.0,0.5
2018-02-16,191.003,191.45,191.04,1.0,194.62,191.56,1953304.0,0.0
2018-02-20,187.573,189.87,187.63,1.0,191.48,188.12,2194898.0,0.0
2018-02-21,185.2099,188.53,185.69,1.0,189.14,185.75,1731772.0,0.0
2018-02-22,186.0474,186.35,185.66,1.0,188.33,186.59,1314028.0,0.0
2018-02-23,189.2581,187.83,185.91,1.0,189.85,189.81,1535824.0,0.0
2018-02-26,192.2493,190.1,189.93,1.0,193.095,192.81,1826549.0,0.0
2018-02-27,189.5472,193.45,190.1,1.0,195.52,190.1,2153789.0,0.0
2018-02-28,190.3449,191.6,190.89,1.0,193.76,190.9,2136542.0,0.0
2018-03-01,188.4803,191.31,187.32,1.0,192.99,189.03,2447672.0,0.0
2018-03-02,188.7795,187.48,187.2162,1.0,190.39,189.33,2275923.0,0.0
2018-03-05,190.9232,188.45,187.5,1.0,191.98,191.48,2155785.0,0.0
2018-03-06,190.9033,192.14,190.0699,1.0,192.25,191.46,2458710.0,0.0
2018-03-07,186.8152,189.21,184.78,1.0,189.75,187.36,5157114.0,0.0
2018-03-08,185.15,186.19,183.08,1.0,186.3468,185.69,5960713.0,0.0
2018-03-09,188.0316,186.5,184.22,1.0,188.64,188.58,3273279.0,0.0
2018-03-12,188.8193,188.27,187.55,1.0,190.099,189.37,2375530.0,0.0
2018-03-13,186.9149,190.05,186.8,1.0,190.12,187.46,1761196.0,0.0
2018-03-14,184.0931,188.78,183.5,1.0,189.01,184.63,2855897.0,0.0
2018-03-15,184.9706,184.82,184.16,1.0,186.57,185.51,1658292.0,0.0
2018-03-16,185.3295,186.18,184.47,1.0,186.25,185.87,3415226.0,0.0
2018-03-19,183.6145,185.63,182.81,1.0,185.98,184.15,2062743.0,0.0
2018-03-20,186.8052,185.1,184.6,1.0,187.58,187.35,1797614.0,0.0
2018-03-21,185.5289,186.83,186.06,1.0,187.89,186.07,2023645.0,0.0
2018-03-22,182.1089,184.9,182.503,1.0,185.5464,182.64,2444300.0,0.0
2018-03-23,180.3141,183.28,180.83,1.0,184.45,180.84,2210112.0,0.0
2018-03-26,186.6756,183.03,182.335,1.0,187.56,187.22,1978626.0,0.0
2018-03-27,182.6174,187.44,182.06,1.0,187.66,183.15,2176795.0,0.0
2018-03-28,183.0761,183.61,181.23,1.0,184.62,183.61,2168656.0,0.0
2018-03-29,187.8821,184.74,184.41,1.0,188.64,188.43,3015962.0,0.0
2018-04-02,182.2186,186.91,181.05,1.0,186.91,182.75,3599186.0,0.0
2018-04-03,182.079,183.53,181.35,1.0,184.17,182.61,2287002.0,0.0
2018-04-04,184.9805,181.13,180.94,1.0,186.35,185.52,2111406.0,0.0
2018-04-05,185.7084,186.7,184.93,1.0,187.0,186.25,1933629.0,0.0
2018-04-06,183.4251,185.34,183.1,1.0,187.25,183.96,2259047.0,0.0
2018-04-09,183.8738,185.2,183.5,1.0,187.4,184.41,1946009.0,0.0
2018-04-10,183.0163,185.75,182.17,1.0,185.97,183.55,2527526.0,0.0
2018-04-11,184.1131,182.25,182.22,1.0,186.37,184.65,1697263.0,0.0
2018-04-12,188.2709,185.5,185.4948,1.0,190.04,188.82,2841623.0,0.0
2018-04-13,188.3607,189.81,187.01,1.0,189.83,188.91,1744406.0,0.0
2018-04-16,194.0142,191.84,191.38,1.0,195.8,194.58,3026826.0,0.0
2018-04-17,195.4301,195.66,194.73,1.0,196.88,196.0,2160451.0,0.0
2018-04-18,195.9386,196.3,196.12,1.0,197.766,196.51,1663116.0,0.0
2018-04-19,194.5028,196.16,193.5001,1.0,196.4,195.07,2427563.0,0.0
2018-04-20,192.9972,194.43,192.75,1.0,195.67,193.56,2252819.0,0.0
2018-04-23,192.7878,193.81,192.26,1.0,194.38,193.35,1618030.0,0.0
2018-04-24,191.9502,194.54,191.15,1.0,195.36,192.51,1598903.0,0.0
2018-04-25,193.406,192.23,191.39,1.0,194.67,193.97,1311650.0,0.0
2018-04-26,194.6922,194.12,193.34,1.0,196.44,195.26,1445836.0,0.0
2018-04-27,196.0084,194.95,194.53,1.0,196.92,196.58,1563272.0,0.0
2018-04-30,196.5867,197.1,196.3852,1.0,199.04,197.16,2164979.0,0.0
2018-05-01,195.9785,196.49,193.5149,1.0,197.08,196.55,1413235.0,0.0
2018-05-02,193.4359,195.48,192.45,1.0,195.58,194.0,2498065.0,0.0
2018-05-03,192.4488,193.916,190.18,1.0,193.99,193.01,1815453.0,0.0
2018-05-04,194.6224,192.84,191.28,1.0,196.4,195.19,1704452.0,0.0
2018-05-07,192.4986,195.78,192.21,1.0,195.795,193.06,2361852.0,0.0
2018-05-08,193.9145,192.99,192.42,1.0,195.2,194.48,1908637.0,0.0
2018-05-09,195.4699,194.15,193.15,1.0,196.42,196.04,1999075.0,0.0
2018-05-10,195.45,196.05,194.2,1.0,196.93,195.45,1874181.0,0.57
2018-05-11,195.76,195.33,194.57,1.0,195.98,195.76,1296311.0,0.0
2018-05-14,195.88,195.96,195.42,1.0,197.27,195.88,1440877.0,0.0
2018-05-15,195.48,194.76,193.26,1.0,196.7,195.48,2319581.0,0.0
2018-05-16,198.71,196.07,195.0,1.0,199.35,198.71,2163192.0,0.0
2018-05-17,199.6,199.06,197.89,1.0,201.35,199.6,2391034.0,0.0
