date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,53.4214,51.27,50.12,1.0,54.0,53.82,10284909.0,0.0
2018-02-07,52.5777,53.38,52.94,1.0,54.36,52.97,6377101.0,0.0
2018-02-08,50.0962,52.91,50.46,1.0,53.16,50.47,6900948.0,0.0
2018-02-09,50.5131,50.83,48.43,1.0,51.35,50.89,11496312.0,0.0
2018-02-12,52.7663,51.56,51.33,1.0,53.6,53.16,11032227.0,0.0
2018-02-13,53.1634,52.69,52.198,1.0,53.71,53.56,7463599.0,0.0
2018-02-14,54.7416,53.26,53.13,1.0,55.23,55.15,9350057.0,0.0
2018-02-15,55.1486,55.72,54.73,1.0,55.91,55.56,5558704.0,0.0
2018-02-16,55.6846,55.63,55.36,1.0,56.42,56.1,7509914.0,0.0
2018-02-20,54.1857,55.73,54.32,1.0,55.97,54.59,6324681.0,0.0
2018-02-21,54.553,54.6,54.45,1.0,56.37,54.96,5749805.0,0.0
2018-02-22,54.5828,55.27,54.54,1.0,55.67,54.99,5146780.0,0.0
2018-02-23,55.4265,55.45,54.58,1.0,55.87,55.84,4471039.0,0.0
2018-02-26,55.7937,56.23,55.635,1.0,56.69,56.21,6605355.0,0.0
2018-02-27,54.7118,56.24,55.09,1.0,56.99,55.12,6953751.0,0.0
2018-02-28,53.5406,55.03,53.645,1.0,55.42,53.72,9729619.0,0.22
2018-03-01,54.3379,53.95,53.13,1.0,55.74,54.52,13347694.0,0.0
2018-03-02,54.8561,54.39,53.58,1.0,55.35,55.04,11229009.0,0.0
2018-03-05,56.1917,54.83,53.78,1.0,56.47,56.38,9658595.0,0.0
2018-03-06,55.9525,56.5,55.79,1.0,57.15,56.14,7768046.0,0.0
2018-03-07,56.0621,55.95,55.68,1.0,56.73,56.25,5510799.0,0.0
2018-03-08,56.0621,56.36,55.32,1.0,56.77,56.25,4497772.0,0.0
2018-03-09,57.8063,56.82,56.6,1.0,58.0,58.0,5939967.0,0.0
