date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,89.12,88.01,87.05,1.0,89.68,89.12,2332110.0,0.0
2018-02-07,87.6,88.55,87.42,1.0,89.33,87.6,2250491.0,0.0
2018-02-08,84.53,87.59,84.35,1.0,87.99,84.53,1645132.0,0.0
2018-02-09,85.75,85.07,83.7,1.0,86.84,85.75,1885796.0,0.0
2018-02-12,86.79,86.3,86.29,1.0,87.72,86.79,1642828.0,0.0
2018-02-13,86.87,85.58,85.1,1.0,87.38,86.87,1814156.0,0.0
2018-02-14,89.44,86.45,86.16,1.0,89.62,89.44,1586808.0,0.0
2018-02-15,90.99,90.2,89.46,1.0,91.11,90.99,1502089.0,0.0
2018-02-16,91.21,91.12,90.45,1.0,92.25,91.21,2337184.0,0.0
2018-02-20,91.78,90.92,90.6,1.0,92.32,91.78,2364702.0,0.0
2018-02-21,91.38,92.08,91.32,1.0,92.81,91.38,1929399.0,0.0
2018-02-22,91.61,91.58,91.47,1.0,92.5,91.61,2476770.0,0.0
2018-02-23,92.81,92.35,92.18,1.0,92.92,92.81,1596930.0,0.0
2018-02-26,92.95,92.83,92.38,1.0,93.15,92.95,1820260.0,0.0
2018-02-27,92.37,92.66,92.25,1.0,93.48,92.37,1723310.0,0.0
2018-02-28,92.0,92.84,92.0,1.0,93.48,92.0,2004937.0,0.0
2018-03-01,90.81,92.33,90.53,1.0,92.72,90.81,2667729.0,0.0
2018-03-02,91.98,89.96,89.75,1.0,92.21,91.98,3320072.0,0.0
2018-03-05,92.71,91.34,90.89,1.0,93.37,92.71,2629983.0,0.0
2018-03-06,93.64,93.18,92.71,1.0,94.21,93.64,1482732.0,0.0
2018-03-07,94.36,93.22,92.36,1.0,94.6,94.36,1401632.0,0.0
2018-03-08,94.57,94.24,94.0,1.0,94.96,94.57,1086068.0,0.0
2018-03-09,95.51,95.0,94.65,1.0,95.695,95.51,1153636.0,0.0
2018-03-12,95.88,95.52,95.18,1.0,96.29,95.88,1378191.0,0.0
2018-03-13,95.6,96.56,95.43,1.0,96.96,95.6,1246199.0,0.0
2018-03-14,95.26,96.21,95.1,1.0,96.4,95.26,1589524.0,0.0
2018-03-15,95.48,95.37,94.84,1.0,95.96,95.48,1578563.0,0.0
2018-03-16,95.13,95.95,95.11,1.0,96.295,95.13,2466735.0,0.0
2018-03-19,94.53,94.27,93.52,1.0,95.56,94.53,2807397.0,0.0
2018-03-20,94.55,94.33,94.3,1.0,96.0,94.55,1102561.0,0.0
2018-03-21,94.45,94.22,93.98,1.0,95.27,94.45,1205055.0,0.0
2018-03-22,93.32,93.5,92.8088,1.0,94.85,93.32,1548762.0,0.0
2018-03-23,91.6,93.45,91.54,1.0,93.76,91.6,1781761.0,0.0
2018-03-26,93.79,93.09,92.12,1.0,93.97,93.79,1030036.0,0.0
2018-03-27,92.46,94.29,92.025,1.0,94.7,92.46,1578986.0,0.0
2018-03-28,91.7,92.44,91.06,1.0,92.84,91.7,2044983.0,0.0
2018-03-29,92.8,92.32,91.98,1.0,93.63,92.8,973998.0,0.0
2018-04-02,91.33,91.89,90.7914,1.0,92.6093,91.33,2617289.0,0.0
2018-04-03,91.87,91.28,91.0,1.0,92.33,91.87,3604114.0,0.0
2018-04-04,92.69,90.6,90.32,1.0,92.95,92.69,2371833.0,0.0
2018-04-05,92.71,93.48,92.44,1.0,93.86,92.71,1177975.0,0.0
2018-04-06,91.78,91.82,91.25,1.0,92.97,91.78,1258272.0,0.0
2018-04-09,92.26,92.36,92.15,1.0,93.87,92.26,939861.0,0.0
2018-04-10,93.4,93.19,92.75,1.0,93.94,93.4,840142.0,0.0
2018-04-11,93.63,92.62,92.49,1.0,94.16,93.63,1165803.0,0.0
2018-04-12,94.55,94.05,93.44,1.0,94.88,94.55,1056735.0,0.0
2018-04-13,94.9,95.0,94.465,1.0,95.54,94.9,873991.0,0.0
2018-04-16,95.97,95.51,95.15,1.0,96.7,95.97,991664.0,0.0
2018-04-17,97.52,96.67,96.18,1.0,97.88,97.52,1235589.0,0.0
2018-04-18,98.22,97.73,97.28,1.0,98.6,98.22,1330148.0,0.0
2018-04-19,97.22,97.94,97.0,1.0,98.145,97.22,1742390.0,0.0
2018-04-20,96.57,97.24,95.54,1.0,97.55,96.57,1752298.0,0.0
2018-04-23,97.03,96.94,96.56,1.0,97.79,97.03,1352583.0,0.0
2018-04-24,96.6,97.61,96.33,1.0,98.52,96.6,1518991.0,0.0
2018-04-25,96.58,96.68,93.9052,1.0,97.855,96.58,1895816.0,0.0
2018-04-26,101.17,102.2,99.43,1.0,102.88,101.17,5733987.0,0.0
2018-04-27,103.27,100.27,100.06,1.0,103.57,103.27,2824203.0,0.0
2018-04-30,102.91,103.79,102.21,1.0,104.0,102.91,1951208.0,0.0
2018-05-01,104.71,104.71,103.15,1.0,104.88,104.71,3116980.0,0.0
2018-05-02,104.41,104.42,103.82,1.0,105.0,104.41,2446062.0,0.0
2018-05-03,104.81,104.0,102.93,1.0,104.97,104.81,2196350.0,0.0
2018-05-04,105.23,104.39,104.21,1.0,105.87,105.23,2200300.0,0.0
2018-05-07,106.58,105.79,105.4,1.0,106.92,106.58,2751114.0,0.0
2018-05-08,107.29,106.59,106.01,1.0,107.63,107.29,1658911.0,0.0
2018-05-09,107.78,106.24,105.23,1.0,107.99,107.78,2629855.0,0.0
2018-05-10,108.19,108.19,107.15,1.0,108.42,108.19,1845386.0,0.0
2018-05-11,107.47,108.08,107.03,1.0,108.08,107.47,1769461.0,0.0
2018-05-14,106.74,107.77,106.27,1.0,108.3,106.74,1833666.0,0.0
2018-05-15,106.14,105.88,105.32,1.0,106.39,106.14,2173498.0,0.0
2018-05-16,105.88,105.98,105.29,1.0,106.235,105.88,1605324.0,0.0
2018-05-17,105.65,105.79,104.845,1.0,106.26,105.65,1293814.0,0.0
