date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,73.456,72.5,71.77,1.0,74.645,74.02,11037013.0,0.0
2018-02-07,73.7835,73.84,73.57,1.0,75.56,74.35,9377529.0,0.0
2018-02-08,70.0124,74.0,70.5,1.0,75.34,70.55,11646445.0,0.0
2018-02-09,68.8613,71.01,67.31,1.0,71.35,69.39,16694087.0,0.0
2018-02-12,69.3376,70.09,69.5,1.0,70.64,69.87,8922866.0,0.0
2018-02-13,69.5758,69.71,69.6,1.0,71.22,70.11,8790348.0,0.0
2018-02-14,69.2582,69.66,69.56,1.0,70.22,69.79,6297826.0,0.0
2018-02-15,69.9529,70.59,69.09,1.0,70.94,70.49,6765597.0,0.0
2018-02-16,71.3521,70.37,70.32,1.0,72.21,71.9,6443769.0,0.0
2018-02-20,70.1216,71.25,69.7275,1.0,71.45,70.66,6396675.0,0.0
2018-02-21,68.2361,70.59,68.72,1.0,70.8999,68.76,9656832.0,0.0
2018-02-22,67.4819,68.96,67.56,1.0,69.14,68.0,10034270.0,0.0
2018-02-23,67.6406,68.51,67.425,1.0,68.78,68.16,5669336.0,0.0
2018-02-26,67.7101,68.2,67.57,1.0,68.47,68.23,7425613.0,0.0
2018-02-27,67.73,69.3,68.1184,1.0,69.66,68.25,7103107.0,0.0
2018-02-28,67.2139,68.37,67.61,1.0,68.69,67.73,10110177.0,0.0
2018-03-01,66.6383,67.7,66.76,1.0,68.53,67.15,9556429.0,0.0
2018-03-02,66.946,67.11,66.6276,1.0,67.61,67.46,10613869.0,0.0
2018-03-05,67.7895,67.5,66.99,1.0,68.6,68.31,7754206.0,0.0
2018-03-06,67.1345,68.38,67.06,1.0,68.47,67.65,8838326.0,0.0
2018-03-07,66.9956,66.96,66.54,1.0,67.89,67.51,6790081.0,0.0
2018-03-08,67.8391,67.85,67.85,1.0,69.36,68.36,8279667.0,0.0
2018-03-09,68.7422,68.77,68.23,1.0,69.37,69.27,5789452.0,0.0
2018-03-12,68.4842,69.27,68.7701,1.0,69.56,69.01,4748876.0,0.0
2018-03-13,67.73,69.27,68.08,1.0,69.33,68.25,7097226.0,0.0
2018-03-14,66.5391,68.31,66.63,1.0,68.5,67.05,7400218.0,0.0
2018-03-15,65.3582,67.23,65.66,1.0,67.58,65.86,9473608.0,0.0
2018-03-16,65.1498,66.09,65.65,1.0,66.45,65.65,14255487.0,0.0
2018-03-19,63.1452,65.72,63.31,1.0,65.88,63.63,8692280.0,0.0
2018-03-20,62.4604,63.97,61.87,1.0,64.09,62.94,9632162.0,0.0
2018-03-21,61.9444,62.96,62.4,1.0,63.24,62.42,7496783.0,0.0
2018-03-22,61.3192,62.06,61.74,1.0,63.26,61.79,8279650.0,0.0
2018-03-23,60.3963,62.0,60.78,1.0,62.4515,60.86,6817682.0,0.0
2018-03-26,61.1306,61.28,61.0499,1.0,61.825,61.6,7482877.0,0.0
2018-03-27,60.1383,61.73,60.14,1.0,61.87,60.6,7840978.0,0.0
2018-03-28,62.2322,60.88,60.81,1.0,62.97,62.71,10253808.0,0.0
2018-03-29,61.736,62.69,61.34,1.0,63.4,62.21,8096447.0,0.0
2018-04-02,60.5749,62.06,60.4482,1.0,62.2,61.04,7863588.0,0.0
2018-04-03,62.1032,61.57,61.1298,1.0,62.72,62.58,7793769.0,0.0
2018-04-04,63.7902,62.38,62.12,1.0,64.99,64.28,10281609.0,0.0
2018-04-05,64.1673,64.49,64.2,1.0,65.16,64.66,5471463.0,0.0
2018-04-06,62.8971,64.37,62.861,1.0,64.77,63.38,5114814.0,0.0
2018-04-09,62.8276,63.64,62.77,1.0,64.53,63.31,6096539.0,0.0
2018-04-10,63.4826,63.72,63.04,1.0,64.32,63.97,6417218.0,0.0
2018-04-11,62.5894,63.88,62.91,1.0,64.3,63.07,7493710.0,0.0
2018-04-12,63.5123,63.71,63.48,1.0,64.34,64.0,5500028.0,0.0
2018-04-13,62.9467,64.23,62.665,1.0,64.4,63.43,5825185.0,0.0
2018-04-16,65.5963,63.78,63.25,1.0,68.92,66.1,19008386.0,0.0
2018-04-17,66.5986,66.91,65.24,1.0,67.38,67.11,11059105.0,0.0
2018-04-18,66.1025,67.07,66.555,1.0,67.91,66.61,6047881.0,0.0
2018-04-19,65.3582,66.65,65.12,1.0,66.8363,65.86,6371757.0,0.0
2018-04-20,65.12,65.66,64.69,1.0,66.29,65.12,6169571.0,0.5
2018-04-23,65.68,65.51,64.95,1.0,65.93,65.68,6282832.0,0.0
2018-04-24,66.6,65.86,65.76,1.0,67.25,66.6,10204482.0,0.0
2018-04-25,67.73,66.25,66.18,1.0,68.09,67.73,7377982.0,0.0
2018-04-26,68.69,67.76,67.7,1.0,69.375,68.69,10664487.0,0.0
2018-04-27,69.95,68.82,68.61,1.0,71.08,69.95,7486507.0,0.0
2018-04-30,69.83,70.14,69.0,1.0,70.63,69.83,18378810.0,0.0
2018-05-01,68.0,69.23,68.0,1.0,69.75,68.0,9569901.0,0.0
2018-05-02,65.94,66.99,65.51,1.0,67.5,65.94,14322464.0,0.0
2018-05-03,62.27,65.78,62.25,1.0,65.83,62.27,17123411.0,0.0
2018-05-04,63.1,62.04,61.31,1.0,63.39,63.1,12251756.0,0.0
2018-05-07,61.75,63.12,61.39,1.0,63.25,61.75,11944929.0,0.0
2018-05-08,60.71,62.0,60.32,1.0,62.0,60.71,10412779.0,0.0
2018-05-09,61.21,60.89,60.645,1.0,62.36,61.21,9062316.0,0.0
2018-05-10,62.44,61.7,61.56,1.0,63.62,62.44,10115823.0,0.0
2018-05-11,64.41,62.71,60.9,1.0,65.61,64.41,15335101.0,0.0
2018-05-14,66.82,64.61,64.58,1.0,67.07,66.82,12415128.0,0.0
2018-05-15,65.84,66.48,65.48,1.0,66.82,65.84,6510081.0,0.0
2018-05-16,66.13,66.1,65.59,1.0,66.45,66.13,5965289.0,0.0
2018-05-17,65.76,66.06,65.52,1.0,66.3,65.76,6605170.0,0.0
2018-05-18,64.92,65.98,64.59,1.0,66.09,64.92,4734498.0,0.0
2018-05-21,65.5,65.1,64.74,1.0,65.67,65.5,4958876.0,0.0
2018-05-22,65.62,65.69,65.42,1.0,66.59,65.62,4183644.0,0.0
2018-05-23,65.57,65.38,64.86,1.0,65.82,65.57,5965411.0,0.0
