date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,72.3236,74.2,72.8,1.0,74.44,74.11,6710160.0,0.0
2018-02-07,71.9821,73.98,73.4,1.0,74.85,73.76,4735676.0,0.0
2018-02-08,71.5429,73.4,73.085,1.0,74.45,73.31,4040384.0,0.0
2018-02-09,72.5871,73.42,73.05,1.0,75.048,74.38,4619250.0,0.0
2018-02-12,73.4459,74.4,73.61,1.0,75.585,75.26,4411683.0,0.0
2018-02-13,73.2605,75.005,74.17,1.0,75.5,75.07,3393995.0,0.0
2018-02-14,72.5481,74.73,74.035,1.0,74.92,74.34,2883497.0,0.0
2018-02-15,73.6021,74.48,74.19,1.0,75.42,75.42,3086401.0,0.0
2018-02-16,73.9729,75.31,75.01,1.0,76.0,75.8,3496511.0,0.0
2018-02-20,72.9482,75.51,74.39,1.0,75.81,74.75,4225056.0,0.0
2018-02-21,71.7674,74.67,73.51,1.0,75.29,73.54,3785111.0,0.0
2018-02-22,71.8064,73.8,73.36,1.0,74.34,73.58,2417225.0,0.0
2018-02-23,73.6997,73.65,73.51,1.0,75.58,75.52,1997985.0,0.0
2018-02-26,74.1583,75.65,75.4,1.0,76.16,75.99,2969461.0,0.0
2018-02-27,72.47,75.94,74.25,1.0,76.24,74.26,4095105.0,0.0
2018-02-28,72.2846,74.6,74.03,1.0,75.27,74.07,4700886.0,0.0
2018-03-01,71.4209,73.27,72.08,1.0,74.02,72.35,4832575.0,0.835
2018-03-02,71.569,72.37,71.91,1.0,73.15,72.5,3535832.0,0.0
2018-03-05,72.7536,72.62,72.22,1.0,73.9,73.7,3391861.0,0.0
2018-03-06,71.9836,73.58,72.74,1.0,73.71,72.92,2554008.0,0.0
2018-03-07,71.954,72.73,72.32,1.0,73.12,72.89,2368282.0,0.0
2018-03-08,71.8948,72.5,72.38,1.0,73.045,72.83,4180914.0,0.0
2018-03-09,71.9343,72.9,72.42,1.0,73.0199,72.87,4045451.0,0.0
2018-03-12,72.033,72.88,72.74,1.0,73.305,72.97,4754263.0,0.0
2018-03-13,72.0626,73.2,72.78,1.0,73.27,73.0,4071684.0,0.0
2018-03-14,72.5759,73.15,72.77,1.0,73.6399,73.52,3357398.0,0.0
2018-03-15,70.3252,73.58,70.9142,1.0,74.35,71.24,8030844.0,0.0
2018-03-16,69.7033,70.76,69.94,1.0,70.96,70.61,11985938.0,0.0
2018-03-19,68.262,70.13,68.65,1.0,70.46,69.15,8208440.0,0.0
2018-03-20,67.571,68.84,68.22,1.0,69.36,68.45,5431599.0,0.0
2018-03-21,66.7714,68.45,67.6099,1.0,68.9,67.64,5987134.0,0.0
2018-03-22,66.9985,67.57,67.32,1.0,68.67,67.87,6897165.0,0.0
2018-03-23,66.4358,67.83,67.17,1.0,69.0114,67.3,4931394.0,0.0
2018-03-26,67.2255,67.52,67.39,1.0,68.19,68.1,3087757.0,0.0
2018-03-27,68.3311,68.13,67.94,1.0,70.05,69.22,4280649.0,0.0
2018-03-28,66.9195,67.0,66.99,1.0,68.43,67.79,12337312.0,0.0
2018-03-29,66.5641,67.99,67.17,1.0,68.12,67.43,9174524.0,0.0
2018-04-02,66.2285,67.63,66.68,1.0,68.06,67.09,6679597.0,0.0
2018-04-03,66.4654,67.18,66.9,1.0,67.62,67.33,6092706.0,0.0
2018-04-04,66.0903,67.23,66.45,1.0,67.54,66.95,4291306.0,0.0
2018-04-05,66.4753,66.95,66.3701,1.0,67.69,67.34,4751179.0,0.0
2018-04-06,65.3697,67.32,66.1,1.0,67.55,66.22,5215835.0,0.0
2018-04-09,65.5177,66.2,66.045,1.0,67.06,66.37,4602087.0,0.0
2018-04-10,64.6589,66.38,65.35,1.0,66.52,65.5,5800351.0,0.0
2018-04-11,64.0469,65.4,64.76,1.0,65.62,64.88,4882770.0,0.0
2018-04-12,63.2473,65.05,63.9101,1.0,65.13,64.07,4657884.0,0.0
2018-04-13,63.1189,64.07,63.88,1.0,64.5,63.94,5483353.0,0.0
2018-04-16,63.8988,64.08,63.92,1.0,64.9,64.73,5019318.0,0.0
2018-04-17,64.8465,64.93,64.7,1.0,66.11,65.69,4728301.0,0.0
2018-04-18,65.2216,65.88,65.83,1.0,66.79,66.07,4606213.0,0.0
2018-04-19,65.2117,65.78,65.62,1.0,66.81,66.06,5002421.0,0.0
2018-04-20,64.4911,66.18,65.1,1.0,66.18,65.33,4399333.0,0.0
2018-04-23,64.0567,65.25,64.75,1.0,65.51,64.89,3636299.0,0.0
2018-04-24,63.9481,64.99,64.21,1.0,65.1156,64.78,4819264.0,0.0
2018-04-25,63.9679,64.65,64.3,1.0,65.13,64.8,3424389.0,0.0
2018-04-26,64.1653,64.76,64.14,1.0,65.19,65.0,4622521.0,0.0
2018-04-27,65.498,65.03,64.99,1.0,66.65,66.35,5518915.0,0.0
2018-04-30,65.7053,66.53,66.33,1.0,66.8,66.56,3664318.0,0.0
2018-05-01,65.419,66.56,66.08,1.0,66.69,66.27,3849786.0,0.0
2018-05-02,65.34,66.36,65.8859,1.0,66.599,66.19,2596957.0,0.0
2018-05-03,64.6885,66.1,65.0,1.0,66.1,65.53,2957532.0,0.0
2018-05-04,64.728,65.78,65.47,1.0,66.43,65.57,2396535.0,0.0
