date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,52.4861,51.87,51.26,1.0,53.5,53.1,12191954.0,0.0
2018-02-07,53.2274,52.83,52.8,1.0,54.45,53.85,8975798.0,0.0
2018-02-08,50.6377,53.85,51.21,1.0,53.9,51.23,12067508.0,0.0
2018-02-09,49.8766,51.95,48.52,1.0,52.0,50.46,18939648.0,0.0
2018-02-12,51.4482,51.22,50.72,1.0,52.485,52.05,10548911.0,0.0
2018-02-13,51.5668,51.86,51.36,1.0,52.29,52.17,8155528.0,0.0
2018-02-14,51.5965,51.89,51.75,1.0,52.58,52.2,7699777.0,0.0
2018-02-15,52.3378,52.57,51.98,1.0,53.16,52.95,4867420.0,0.0
2018-02-16,52.239,52.87,52.77,1.0,53.52,52.85,5532299.0,0.0
2018-02-20,51.8634,52.53,52.3,1.0,53.21,52.47,6649571.0,0.0
2018-02-21,52.5454,52.67,52.58,1.0,54.39,53.16,7579938.0,0.0
2018-02-22,52.2439,53.26,52.45,1.0,53.445,52.55,4816240.0,0.305
2018-02-23,53.1486,52.8,52.625,1.0,53.48,53.46,4233231.0,0.0
2018-02-26,54.3715,54.61,53.7501,1.0,54.8,54.69,7346346.0,0.0
2018-02-27,53.3077,54.59,53.53,1.0,55.01,53.62,5862645.0,0.0
2018-02-28,53.5861,53.87,53.36,1.0,54.5,53.9,6250367.0,0.0
2018-03-01,53.0393,53.87,53.01,1.0,54.96,53.35,7876803.0,0.0
2018-03-02,52.9498,52.78,51.81,1.0,53.425,53.26,6860526.0,0.0
2018-03-05,53.4767,52.91,52.58,1.0,54.085,53.79,5963984.0,0.0
2018-03-06,53.5264,53.92,53.48,1.0,54.1124,53.84,4650102.0,0.0
2018-03-07,53.2182,53.36,53.13,1.0,53.67,53.53,4554377.0,0.0
2018-03-08,54.3217,53.96,53.8601,1.0,55.01,54.64,6664934.0,0.0
2018-03-09,55.7633,54.94,54.58,1.0,56.09,56.09,6840725.0,0.0
2018-03-12,55.8329,56.25,55.57,1.0,56.48,56.16,6331696.0,0.0
2018-03-13,56.2604,56.36,55.46,1.0,57.01,56.59,9072363.0,0.0
2018-03-14,55.823,56.62,56.01,1.0,57.26,56.15,6976669.0,0.0
2018-03-15,56.0118,56.47,55.81,1.0,56.55,56.34,4148699.0,0.0
2018-03-16,56.3598,56.46,56.43,1.0,57.3068,56.69,6463292.0,0.0
2018-03-19,55.6341,56.54,55.53,1.0,56.73,55.96,5659891.0,0.0
2018-03-20,56.1709,56.16,55.95,1.0,56.72,56.5,4341370.0,0.0
2018-03-21,55.6241,55.49,54.75,1.0,56.36,55.95,9159784.0,0.0
2018-03-22,54.3516,55.5,54.63,1.0,56.0,54.67,6577056.0,0.0
2018-03-23,53.5861,54.78,53.84,1.0,55.21,53.9,7265632.0,0.0
2018-03-26,54.7393,54.57,54.07,1.0,55.275,55.06,5704464.0,0.0
2018-03-27,53.944,55.31,53.96,1.0,55.475,54.26,6630294.0,0.0
2018-03-28,53.6159,54.47,53.72,1.0,54.8699,53.93,7473527.0,0.0
2018-03-29,54.4908,54.02,53.745,1.0,55.22,54.81,5960295.0,0.0
2018-04-02,51.6474,54.59,50.95,1.0,54.63,51.95,10228159.0,0.0
2018-04-03,53.4071,52.49,52.2697,1.0,53.765,53.72,6776255.0,0.0
2018-04-04,53.5463,52.79,52.6,1.0,53.9799,53.86,6378265.0,0.0
2018-04-05,53.8943,54.31,53.7,1.0,54.475,54.21,4417818.0,0.0
2018-04-06,52.741,53.85,52.51,1.0,54.3,53.05,6918673.0,0.0
2018-04-09,52.2539,53.36,52.48,1.0,53.7,52.56,6179265.0,0.0
2018-04-10,52.055,53.35,51.425,1.0,53.38,52.36,12289226.0,0.0
2018-04-11,51.1702,52.0,51.36,1.0,52.54,51.47,7799626.0,0.0
2018-04-12,52.6714,52.6,51.95,1.0,53.64,52.98,12713585.0,0.0
2018-04-13,52.6118,53.62,52.501,1.0,54.44,52.92,9925885.0,0.0
2018-04-16,53.9837,53.27,53.265,1.0,54.825,54.3,9490373.0,0.0
2018-04-17,54.2323,55.0,54.03,1.0,55.2001,54.55,7380386.0,0.0
2018-04-18,54.8884,55.01,54.72,1.0,56.02,55.21,7504864.0,0.0
2018-04-19,54.7492,55.04,54.56,1.0,55.23,55.07,5217484.0,0.0
2018-04-20,55.0773,55.23,55.16,1.0,55.82,55.4,7445747.0,0.0
2018-04-23,54.2919,55.77,54.17,1.0,55.8,54.61,5360408.0,0.0
2018-04-24,53.4966,54.77,53.11,1.0,55.3,53.81,7654987.0,0.0
2018-04-25,54.3317,53.94,53.21,1.0,54.96,54.65,7219837.0,0.0
2018-04-26,52.8205,53.9,52.78,1.0,54.039,53.13,12130471.0,0.0
2018-04-27,53.1884,53.27,53.09,1.0,53.7,53.5,5699001.0,0.0
2018-04-30,51.9158,53.55,52.22,1.0,53.778,52.22,8199993.0,0.0
2018-05-01,52.4328,52.27,51.85,1.0,52.85,52.74,6799459.0,0.0
2018-05-02,52.055,52.81,52.28,1.0,53.17,52.36,5142825.0,0.0
2018-05-03,51.4883,52.02,51.09,1.0,52.119,51.79,7083070.0,0.0
2018-05-04,52.0351,51.58,51.58,1.0,52.49,52.34,4535243.0,0.0
2018-05-07,51.5977,52.4,51.465,1.0,52.4,51.9,6055826.0,0.0
2018-05-08,52.065,52.06,51.95,1.0,53.06,52.37,6361078.0,0.0
2018-05-09,51.3193,52.17,51.455,1.0,52.28,51.62,8403937.0,0.0
2018-05-10,52.06,51.55,51.32,1.0,52.32,52.06,7590717.0,0.305
2018-05-11,52.9,52.0,51.88,1.0,53.08,52.9,7810765.0,0.0
2018-05-14,52.09,52.9,51.85,1.0,53.26,52.09,10466443.0,0.0
2018-05-15,52.37,51.97,51.76,1.0,52.72,52.37,6572809.0,0.0
2018-05-16,53.48,52.41,52.41,1.0,53.9901,53.48,6997414.0,0.0
2018-05-17,53.1,53.42,53.0,1.0,53.97,53.1,6069640.0,0.0
