date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,161.2413,153.95,151.45,1.0,162.26,161.88,3288985.0,0.0
2018-02-07,160.8031,161.17,160.91,1.0,164.16,161.44,2329416.0,0.0
2018-02-08,153.0538,161.2,153.61,1.0,161.22,153.66,2919253.0,0.0
2018-02-09,154.3188,155.41,148.6,1.0,157.15,154.93,3777683.0,0.0
2018-02-12,158.5819,156.74,155.91,1.0,160.36,159.21,2154943.0,0.0
2018-02-13,160.6636,158.02,157.56,1.0,161.61,161.3,1788622.0,0.0
2018-02-14,162.6358,159.96,159.76,1.0,164.88,163.28,2837488.0,0.0
2018-02-15,166.1519,165.0,162.991,1.0,167.419,166.81,2986269.0,0.0
2018-02-16,168.7715,165.755,162.01,1.0,175.26,169.44,6619801.0,0.0
2018-02-20,164.1199,169.04,163.645,1.0,169.96,164.77,3721895.0,0.0
2018-02-21,161.4505,164.8,161.97,1.0,166.78,162.09,2737262.0,0.0
2018-02-22,163.5123,163.0,162.76,1.0,165.8,164.16,1897694.0,0.0
2018-02-23,165.5841,165.02,162.87,1.0,166.26,166.24,2020918.0,0.0
2018-02-26,166.7993,167.05,165.63,1.0,168.31,167.46,1724371.0,0.0
2018-02-27,162.9346,167.53,163.58,1.0,167.53,163.58,2260675.0,0.0
2018-02-28,160.2353,163.92,160.87,1.0,164.92,160.87,2734240.0,0.0
2018-03-01,156.1913,160.75,155.74,1.0,162.85,156.81,3697016.0,0.0
2018-03-02,152.7051,155.55,151.775,1.0,156.26,153.31,4169468.0,0.0
2018-03-05,156.9185,152.54,151.04,1.0,158.24,157.54,3093424.0,0.0
2018-03-06,157.8846,158.6,157.46,1.0,159.57,158.51,2393992.0,0.0
2018-03-07,157.277,156.04,154.98,1.0,158.32,157.9,2589069.0,0.0
2018-03-08,160.4246,157.69,155.72,1.0,161.35,161.06,3434502.0,0.0
2018-03-09,167.2675,162.0,161.73,1.0,168.01,167.93,3661191.0,0.0
2018-03-12,163.3829,167.96,162.8,1.0,168.05,164.03,2222651.0,0.0
2018-03-13,160.6835,164.96,160.67,1.0,166.31,161.32,2727562.0,0.0
2018-03-14,159.5779,162.42,158.9,1.0,162.499,160.21,2203773.0,0.0
2018-03-15,158.9703,160.92,159.15,1.0,161.675,159.6,1315216.0,0.0
2018-03-16,163.2334,159.72,159.37,1.0,163.98,163.88,3464403.0,0.0
2018-03-19,158.9006,162.65,157.83,1.0,162.93,159.53,2359599.0,0.0
2018-03-20,159.3588,160.2,159.18,1.0,162.05,159.99,1489975.0,0.0
2018-03-21,157.4264,158.89,155.73,1.0,160.44,158.05,2901138.0,0.0
2018-03-22,150.982,153.74,151.21,1.0,156.37,151.58,3647229.0,0.0
2018-03-23,147.4161,151.76,147.6,1.0,153.73,148.0,2923419.0,0.0
2018-03-26,152.735,151.39,148.9,1.0,153.68,153.34,2449053.0,0.0
2018-03-27,151.5597,154.24,150.9,1.0,156.99,152.16,2665278.0,0.0
2018-03-28,151.48,151.48,148.79,1.0,153.63,151.48,2654959.0,0.6
2018-03-29,155.32,152.4,151.52,1.0,155.83,155.32,3526734.0,0.0
2018-04-02,151.82,154.38,149.29,1.0,154.88,151.82,2150559.0,0.0
2018-04-03,153.04,152.69,149.76,1.0,153.21,153.04,1957437.0,0.0
2018-04-04,148.57,145.32,143.57,1.0,149.16,148.57,4478077.0,0.0
2018-04-05,151.34,149.92,149.31,1.0,153.23,151.34,2963361.0,0.0
2018-04-06,145.39,149.33,143.03,1.0,149.8,145.39,3294018.0,0.0
2018-04-09,142.96,146.67,142.73,1.0,147.44,142.96,3629628.0,0.0
2018-04-10,148.01,146.05,145.435,1.0,149.49,148.01,2611931.0,0.0
2018-04-11,144.41,145.27,144.25,1.0,146.18,144.41,2309017.0,0.0
