date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,75.4599,73.07,71.31,1.0,76.34,76.14,3306089.0,0.0
2018-02-07,75.9456,75.67,75.67,1.0,77.57,76.63,1854645.0,0.0
2018-02-08,71.7534,76.72,72.331,1.0,76.72,72.4,2838566.0,0.0
2018-02-09,73.4481,73.27,71.6,1.0,74.74,74.11,3046551.0,0.0
2018-02-12,75.2716,74.9,74.58,1.0,76.84,75.95,2034073.0,0.0
2018-02-13,75.8167,75.62,75.27,1.0,76.53,76.5,1711713.0,0.0
2018-02-14,76.9168,76.26,76.13,1.0,77.74,77.61,1826679.0,0.0
2018-02-15,77.8682,78.33,78.1,1.0,79.27,78.57,2178620.0,0.0
2018-02-16,78.8197,78.35,78.35,1.0,80.09,79.53,2096337.0,0.0
2018-02-20,78.9188,79.11,79.01,1.0,80.22,79.63,2267524.0,0.0
2018-02-21,78.2349,79.08,78.52,1.0,80.45,78.59,2667583.0,0.35
2018-02-22,77.3987,79.0,77.6,1.0,79.17,77.75,2223176.0,0.0
2018-02-23,79.0612,78.32,78.13,1.0,79.45,79.42,1292629.0,0.0
2018-02-26,80.0666,79.47,78.95,1.0,80.49,80.43,2046276.0,0.0
2018-02-27,79.2006,80.5,79.56,1.0,81.34,79.56,2021573.0,0.0
2018-02-28,78.4739,80.0,78.81,1.0,80.76,78.83,2164017.0,0.0
2018-03-01,74.8702,78.64,74.6325,1.0,79.34,75.21,4146102.0,0.0
2018-03-02,75.4974,74.81,74.24,1.0,75.96,75.84,2470435.0,0.0
2018-03-05,76.7218,75.37,74.9,1.0,77.38,77.07,1829130.0,0.0
2018-03-06,76.463,77.18,75.78,1.0,77.435,76.81,1708535.0,0.0
2018-03-07,76.2838,75.79,75.52,1.0,76.76,76.63,1633414.0,0.0
2018-03-08,76.7517,76.91,76.01,1.0,77.285,77.1,1218687.0,0.0
2018-03-09,78.0657,77.77,77.2,1.0,78.49,78.42,2791284.0,0.0
2018-03-12,77.7969,78.62,78.04,1.0,78.82,78.15,1594664.0,0.0
2018-03-13,76.9806,78.65,77.02,1.0,78.65,77.33,2272112.0,0.0
2018-03-14,76.1146,77.78,76.14,1.0,77.815,76.46,1991738.0,0.0
2018-03-15,75.0295,76.73,74.88,1.0,76.88,75.37,2456148.0,0.0
2018-03-16,76.1942,75.72,75.38,1.0,77.01,76.54,3213814.0,0.0
2018-03-19,75.6965,76.4,75.17,1.0,76.74,76.04,1928776.0,0.0
2018-03-20,75.0195,76.26,75.3,1.0,76.48,75.36,2200547.0,0.0
2018-03-21,74.5218,75.38,74.83,1.0,76.04,74.86,2950461.0,0.0
