date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,74.03,71.57,70.5,1.0,74.74,74.03,1577073.0,0.0
2018-02-07,74.66,73.85,73.6583,1.0,75.64,74.66,1008983.0,0.0
2018-02-08,71.91,74.57,71.87,1.0,75.15,71.91,1335037.0,0.0
2018-02-09,72.97,72.62,70.55,1.0,73.61,72.97,1863520.0,0.0
2018-02-12,73.41,73.41,72.61,1.0,74.27,73.41,1360588.0,0.0
2018-02-13,73.54,72.69,72.69,1.0,74.03,73.54,1732928.0,0.0
2018-02-14,74.75,72.07,71.56,1.0,74.84,74.75,2581200.0,0.0
2018-02-15,73.84,75.0,73.675,1.0,75.48,73.84,1841878.0,0.0
2018-02-16,73.65,73.81,73.16,1.0,74.51,73.65,1301144.0,0.0
2018-02-20,72.77,73.27,72.34,1.0,74.26,72.77,1363034.0,0.0
2018-02-21,72.55,72.88,72.53,1.0,74.03,72.55,1085018.0,0.0
2018-02-22,72.07,72.84,71.8,1.0,73.57,72.07,1311625.0,0.0
2018-02-23,73.18,72.62,71.7,1.0,73.36,73.18,1054898.0,0.0
2018-02-26,73.5,73.27,72.54,1.0,73.8,73.5,854653.0,0.0
2018-02-27,73.67,73.27,72.85,1.0,74.06,73.67,1022394.0,0.0
2018-02-28,72.02,73.71,72.01,1.0,73.83,72.02,1216439.0,0.0
2018-03-01,70.45,71.88,69.45,1.0,72.0,70.45,2449493.0,0.0
2018-03-02,71.91,70.23,69.6,1.0,72.32,71.91,1462926.0,0.0
2018-03-05,72.19,71.53,71.11,1.0,72.48,72.19,1224230.0,0.0
2018-03-06,72.06,72.25,71.48,1.0,72.59,72.06,1141232.0,0.0
2018-03-07,72.19,71.41,70.93,1.0,72.51,72.19,1032483.0,0.0
2018-03-08,72.6,72.16,71.74,1.0,72.82,72.6,910950.0,0.0
2018-03-09,72.46,72.95,71.53,1.0,73.175,72.46,1489152.0,0.0
2018-03-12,72.26,72.18,71.12,1.0,72.5,72.26,2353976.0,0.0
2018-03-13,70.19,72.31,69.3878,1.0,72.72,70.19,2474971.0,0.0
2018-03-14,70.03,70.54,69.44,1.0,70.54,70.03,2540057.0,0.0
2018-03-15,69.45,70.17,69.05,1.0,70.18,69.45,1389017.0,0.0
2018-03-16,68.53,69.46,68.12,1.0,69.54,68.53,3322336.0,0.0
2018-03-19,68.41,68.52,67.73,1.0,68.87,68.41,1777660.0,0.0
2018-03-20,66.37,68.46,66.25,1.0,68.49,66.37,2676928.0,0.0
2018-03-21,66.84,66.66,66.4,1.0,67.89,66.84,2076879.0,0.0
