date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,38.2362,37.73,37.23,1.0,39.23,38.38,8512424.0,0.0
2018-02-07,36.6223,38.37,36.74,1.0,38.92,36.76,8456192.0,0.0
2018-02-08,34.8091,36.88,34.89,1.0,37.39,34.94,7508159.0,0.0
2018-02-09,34.5501,35.28,32.69,1.0,35.28,34.68,11513358.0,0.0
2018-02-12,35.6459,35.3,35.0456,1.0,36.11,35.78,6537588.0,0.0
2018-02-13,34.4405,35.37,34.4,1.0,35.39,34.57,4869983.0,0.0
2018-02-14,35.4268,34.03,33.79,1.0,35.8,35.56,6450788.0,0.0
2018-02-15,34.6098,35.65,33.56,1.0,35.685,34.74,6819619.0,0.0
2018-02-16,33.9822,34.63,34.0,1.0,34.91,34.11,6749185.0,0.0
2018-02-20,34.5202,34.3,34.18,1.0,34.9,34.65,6327559.0,0.0
2018-02-21,30.4555,31.13,30.25,1.0,33.21,30.57,30994910.0,0.0
2018-02-22,30.2961,30.71,30.19,1.0,31.56,30.41,18106038.0,0.0
2018-02-23,31.3122,30.77,30.24,1.0,31.46,31.43,11629359.0,0.0
2018-02-26,31.4916,31.54,30.73,1.0,31.98,31.61,10986669.0,0.0
2018-02-27,31.7406,31.42,31.39,1.0,32.48,31.86,10203259.0,0.0
2018-02-28,30.5551,31.92,30.66,1.0,32.19,30.67,12603393.0,0.0
2018-03-01,30.4256,30.66,30.41,1.0,31.48,30.54,8932285.0,0.0
2018-03-02,31.2425,30.4,29.97,1.0,31.42,31.36,9107619.0,0.0
2018-03-05,31.8801,31.12,31.11,1.0,32.33,32.0,9848927.0,0.0
2018-03-06,31.2126,32.16,31.26,1.0,32.22,31.33,6937107.0,0.0
2018-03-07,30.834,30.97,30.74,1.0,31.5,30.95,6492362.0,0.0
2018-03-08,32.2686,31.79,31.715,1.0,32.51,32.39,11866618.0,0.0
2018-03-09,32.5974,32.56,32.15,1.0,32.85,32.72,9086552.0,0.0
2018-03-12,32.697,32.73,32.6,1.0,33.35,32.82,7284876.0,0.0
2018-03-13,32.6671,32.97,32.305,1.0,33.14,32.79,9799908.0,0.0
2018-03-14,32.5576,32.81,32.5402,1.0,33.02,32.62,9722067.0,0.06
2018-03-15,31.6493,32.69,31.51,1.0,33.0528,31.71,9625644.0,0.0
2018-03-16,31.8988,31.72,31.645,1.0,32.575,31.96,10601328.0,0.0
