date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,71.0974,66.63,66.19,1.0,71.95,71.89,23087108.0,0.0
2018-02-07,69.8217,70.96,70.52,1.0,72.14,70.6,11142076.0,0.0
2018-02-08,67.458,70.67,68.12,1.0,71.48,68.21,12426812.0,0.0
2018-02-09,68.714,68.86,67.24,1.0,70.22,69.48,13088507.0,0.0
2018-02-12,71.048,70.2,70.17,1.0,72.05,71.84,10212877.0,0.0
2018-02-13,69.97,71.34,70.6,1.0,71.75,70.75,6536275.0,0.0
2018-02-14,70.5436,69.99,69.9,1.0,71.5,71.33,7461744.0,0.0
2018-02-15,71.0579,72.06,70.88,1.0,72.25,71.85,6394232.0,0.0
2018-02-16,71.1568,71.66,71.51,1.0,72.945,71.95,6925027.0,0.0
2018-02-20,70.8304,71.6,71.33,1.0,72.34,71.62,6673015.0,0.0
2018-02-21,70.1777,71.5,70.92,1.0,72.65,70.96,6787844.0,0.0
2018-02-22,71.137,71.33,71.2,1.0,72.665,71.93,6506450.0,0.0
2018-02-23,72.4523,72.46,71.7,1.0,73.37,73.26,5924127.0,0.0
2018-02-26,73.2435,73.42,73.05,1.0,74.12,74.06,6621469.0,0.0
2018-02-27,71.9381,73.27,72.36,1.0,73.82,72.36,6616264.0,0.38
2018-02-28,69.8901,72.5,70.25,1.0,72.96,70.3,8067027.0,0.0
2018-03-01,68.3591,70.14,68.36,1.0,70.49,68.76,10963015.0,0.0
2018-03-02,68.031,68.27,67.65,1.0,68.8,68.43,9488512.0,0.0
2018-03-05,69.2538,67.98,67.53,1.0,69.99,69.66,9278886.0,0.0
2018-03-06,70.3772,70.11,69.65,1.0,71.7,70.79,6677548.0,0.0
2018-03-07,69.7608,69.66,69.42,1.0,70.5,70.17,7748132.0,0.0
2018-03-08,70.1685,70.5,69.6975,1.0,70.8,70.58,5133756.0,0.0
2018-03-09,71.8088,70.85,70.61,1.0,72.27,72.23,5244420.0,0.0
2018-03-12,70.924,72.24,71.18,1.0,73.23,71.34,6897693.0,0.0
2018-03-13,70.1585,72.06,70.55,1.0,72.43,70.57,11455894.0,0.0
2018-03-14,68.5877,70.92,68.86,1.0,70.92,68.99,8288064.0,0.0
2018-03-15,67.4842,69.09,67.87,1.0,69.2793,67.88,7371279.0,0.0
2018-03-16,67.5637,67.55,67.38,1.0,68.67,67.96,16779902.0,0.0
2018-03-19,66.1719,67.77,65.815,1.0,67.86,66.56,11660797.0,0.0
2018-03-20,66.0029,66.87,66.1,1.0,67.18,66.39,10283797.0,0.0
2018-03-21,67.0368,66.39,66.16,1.0,68.56,67.43,8096699.0,0.0
2018-03-22,65.2374,66.82,65.5,1.0,67.51,65.62,8773642.0,0.0
2018-03-23,62.6923,65.66,62.9578,1.0,66.05,63.06,13127805.0,0.0
2018-03-26,64.104,63.74,62.43,1.0,64.55,64.48,10264462.0,0.0
2018-03-27,63.2689,64.71,63.14,1.0,65.5,63.64,9204879.0,0.0
2018-03-28,62.0461,63.89,62.325,1.0,64.46,62.41,11078758.0,0.0
2018-03-29,63.3385,62.62,62.31,1.0,64.03,63.71,12034470.0,0.0
2018-04-02,61.6783,63.57,61.27,1.0,64.12,62.04,11698449.0,0.0
2018-04-03,62.9508,62.27,61.46,1.0,63.79,63.32,11797865.0,0.0
2018-04-04,63.3186,62.01,61.32,1.0,63.78,63.69,10645852.0,0.0
2018-04-05,65.0584,64.01,63.94,1.0,65.61,65.44,10358543.0,0.0
2018-04-06,63.3385,64.82,63.2,1.0,64.99,63.71,11325014.0,0.0
2018-04-09,63.3186,64.01,63.47,1.0,64.4701,63.69,12640092.0,0.0
2018-04-10,65.5058,64.85,64.85,1.0,66.48,65.89,9250465.0,0.0
2018-04-11,64.3526,65.13,64.46,1.0,65.26,64.73,6872275.0,0.0
2018-04-12,66.0824,65.19,65.1001,1.0,66.85,66.47,8044492.0,0.0
