date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,74.4712,76.1,74.57,1.0,76.73,75.88,3229817.0,0.0
2018-02-07,73.8628,75.79,75.25,1.0,76.61,75.26,2624712.0,0.0
2018-02-08,73.3426,75.2,74.7,1.0,76.71,74.73,3017687.0,0.0
2018-02-09,75.4625,74.95,74.93,1.0,77.5,76.89,2778255.0,0.0
2018-02-12,75.963,77.02,76.37,1.0,77.8,77.4,2439676.0,0.0
2018-02-13,76.3016,76.4,75.77,1.0,77.2,77.03,2173187.0,0.715
2018-02-14,75.1724,76.31,75.75,1.0,76.67,75.89,2745189.0,0.0
2018-02-15,76.3809,75.89,75.66,1.0,77.23,77.11,2110282.0,0.0
2018-02-16,77.0346,76.84,75.75,1.0,77.98,77.77,3263423.0,0.0
2018-02-20,75.638,77.57,75.89,1.0,77.93,76.36,2502935.0,0.0
2018-02-21,74.7564,76.41,75.46,1.0,77.07,75.47,2186752.0,0.0
2018-02-22,75.0733,75.71,75.48,1.0,76.51,75.79,1846645.0,0.0
2018-02-23,76.8959,75.87,75.76,1.0,77.71,77.63,1409892.0,0.0
2018-02-26,76.2323,77.69,76.82,1.0,78.04,76.96,1773422.0,0.0
2018-02-27,74.9446,77.06,75.65,1.0,77.38,75.66,2414890.0,0.0
2018-02-28,74.1819,75.94,74.89,1.0,76.24,74.89,1785161.0,0.0
2018-03-01,73.8847,74.91,74.1714,1.0,75.99,74.59,2626670.0,0.0
2018-03-02,73.647,74.53,73.73,1.0,75.41,74.35,1722974.0,0.0
2018-03-05,75.3705,74.25,73.98,1.0,76.34,76.09,2363448.0,0.0
2018-03-06,74.4295,75.99,74.72,1.0,76.0,75.14,2266602.0,0.0
2018-03-07,73.7757,75.0,74.16,1.0,75.25,74.48,1849356.0,0.0
2018-03-08,74.5979,74.6,74.4376,1.0,75.36,75.31,1499089.0,0.0
2018-03-09,74.5285,75.32,74.7,1.0,75.37,75.24,1767639.0,0.0
2018-03-12,74.9743,75.3,75.19,1.0,75.91,75.69,1681424.0,0.0
2018-03-13,74.7762,75.84,75.175,1.0,76.41,75.49,2125738.0,0.0
2018-03-14,75.2516,75.75,75.45,1.0,76.44,75.97,1672250.0,0.0
2018-03-15,75.8559,76.13,75.91,1.0,76.92,76.58,1836708.0,0.0
2018-03-16,76.7176,76.72,76.56,1.0,77.58,77.45,3059875.0,0.0
2018-03-19,76.3214,77.45,76.64,1.0,77.99,77.05,2022880.0,0.0
2018-03-20,76.1629,77.08,76.66,1.0,77.45,76.89,1422119.0,0.0
2018-03-21,75.945,76.93,76.33,1.0,77.63,76.67,1437461.0,0.0
2018-03-22,76.0342,76.7,76.59,1.0,78.22,76.76,2175484.0,0.0
2018-03-23,74.8653,77.01,75.41,1.0,77.59,75.58,1569668.0,0.0
2018-03-26,75.6974,75.75,75.62,1.0,76.54,76.42,1519333.0,0.0
2018-03-27,76.886,76.45,76.18,1.0,78.32,77.62,1969324.0,0.0
2018-03-28,76.8266,77.64,77.03,1.0,77.97,77.56,1976173.0,0.0
2018-03-29,77.203,77.74,77.65,1.0,78.4,77.94,1745332.0,0.0
2018-04-02,76.3412,78.17,76.67,1.0,78.47,77.07,1699548.0,0.0
2018-04-03,76.9257,77.07,76.86,1.0,78.01,77.66,2116080.0,0.0
2018-04-04,77.5299,77.6,77.18,1.0,78.65,78.27,2431216.0,0.0
2018-04-05,78.144,78.27,77.16,1.0,79.1162,78.89,2032349.0,0.0
2018-04-06,77.8172,79.15,78.29,1.0,79.39,78.56,1646090.0,0.0
2018-04-09,77.7181,78.69,78.28,1.0,79.12,78.46,2282577.0,0.0
2018-04-10,76.8662,78.42,77.46,1.0,78.59,77.6,2044912.0,0.0
2018-04-11,76.7771,77.46,77.17,1.0,77.97,77.51,1435119.0,0.0
2018-04-12,75.5884,77.66,76.07,1.0,77.72,76.31,1838013.0,0.0
2018-04-13,75.9648,76.49,76.42,1.0,77.18,76.69,1412134.0,0.0
2018-04-16,77.0544,77.05,76.95,1.0,77.91,77.79,1318098.0,0.0
2018-04-17,77.7181,77.87,77.57,1.0,78.71,78.46,1336946.0,0.0
2018-04-18,77.2724,78.56,77.97,1.0,79.19,78.01,1573864.0,0.0
2018-04-19,77.3714,77.88,77.59,1.0,78.42,78.11,1574407.0,0.0
2018-04-20,76.8662,78.1,77.27,1.0,78.3399,77.6,1640218.0,0.0
2018-04-23,76.9653,77.82,77.4,1.0,78.14,77.7,1451653.0,0.0
2018-04-24,77.5695,77.91,77.55,1.0,78.72,78.31,1441444.0,0.0
2018-04-25,77.6488,77.99,77.77,1.0,78.71,78.39,1284954.0,0.0
2018-04-26,78.6987,78.45,78.1,1.0,79.51,79.45,1238065.0,0.0
2018-04-27,79.6695,79.25,79.21,1.0,80.78,80.43,1551571.0,0.0
2018-04-30,79.3723,80.7,79.99,1.0,80.82,80.13,1587453.0,0.0
2018-05-01,79.194,80.24,79.75,1.0,80.24,79.95,977461.0,0.0
2018-05-02,78.5006,80.0,79.01,1.0,80.21,79.25,1782024.0,0.0
2018-05-03,78.253,79.24,78.01,1.0,79.35,79.0,1322196.0,0.0
2018-05-04,78.5006,78.99,78.63,1.0,79.85,79.25,1921337.0,0.0
2018-05-07,77.619,79.18,78.26,1.0,79.39,78.36,1471880.0,0.0
2018-05-08,75.5092,78.13,76.09,1.0,78.13,76.23,2204949.0,0.0
2018-05-09,74.7167,76.25,74.88,1.0,76.37,75.43,2281903.0,0.0
2018-05-10,75.846,76.0,75.49,1.0,76.6,76.57,1928357.0,0.0
2018-05-11,76.1035,76.56,76.39,1.0,77.055,76.83,1702855.0,0.0
2018-05-14,75.9054,77.04,76.1601,1.0,77.1839,76.63,1886234.0,0.0
2018-05-15,74.9,75.41,74.48,1.0,75.7375,74.9,1720657.0,0.715
2018-05-16,74.56,74.9,74.1,1.0,75.0436,74.56,1746845.0,0.0
2018-05-17,73.94,74.71,73.86,1.0,74.7558,73.94,1361667.0,0.0
2018-05-18,73.97,74.17,73.35,1.0,74.45,73.97,1728517.0,0.0
2018-05-21,73.84,74.11,73.38,1.0,74.11,73.84,1410531.0,0.0
2018-05-22,74.14,73.8,73.65,1.0,74.62,74.14,1410702.0,0.0
2018-05-23,75.1,74.2,74.1,1.0,75.18,75.1,1941090.0,0.0
2018-05-24,75.88,75.25,75.05,1.0,75.97,75.88,1474897.0,0.0
2018-05-25,75.91,75.99,75.85,1.0,76.39,75.91,1474079.0,0.0
2018-05-29,75.99,75.85,75.51,1.0,76.44,75.99,2012751.0,0.0
2018-05-30,76.33,75.87,75.62,1.0,76.46,76.33,2287595.0,0.0
2018-05-31,76.73,76.33,75.9,1.0,76.99,76.73,2786155.0,0.0
2018-06-01,75.54,76.67,75.22,1.0,76.67,75.54,1590276.0,0.0
2018-06-04,74.95,75.81,74.85,1.0,76.06,74.95,1405372.0,0.0
2018-06-05,74.01,74.8,73.77,1.0,74.935,74.01,1970772.0,0.0
2018-06-06,72.39,73.97,72.21,1.0,74.12,72.39,2162370.0,0.0
2018-06-07,72.79,72.36,72.01,1.0,73.45,72.79,2286143.0,0.0
2018-06-08,72.75,73.02,72.43,1.0,73.15,72.75,1509563.0,0.0
2018-06-11,71.39,72.81,71.25,1.0,72.925,71.39,2385942.0,0.0
2018-06-12,72.48,71.3,71.12,1.0,72.58,72.48,2015927.0,0.0
2018-06-13,72.43,72.63,72.08,1.0,72.9522,72.43,2382250.0,0.0
2018-06-14,73.25,72.5,72.35,1.0,73.3951,73.25,2323652.0,0.0
2018-06-15,73.73,73.27,72.63,1.0,73.775,73.73,3218729.0,0.0
2018-06-18,73.9,73.75,73.41,1.0,74.25,73.9,1770158.0,0.0
2018-06-19,74.86,73.95,73.95,1.0,74.96,74.86,2047105.0,0.0
2018-06-20,75.03,74.84,74.35,1.0,75.06,75.03,2559762.0,0.0
2018-06-21,75.45,74.89,74.73,1.0,75.77,75.45,1968691.0,0.0
2018-06-22,75.76,75.46,75.21,1.0,75.98,75.76,2599236.0,0.0
2018-06-25,77.42,76.0,75.97,1.0,77.57,77.42,1800693.0,0.0
2018-06-26,77.48,77.2,77.03,1.0,77.88,77.48,1762950.0,0.0
2018-06-27,77.9,77.32,77.13,1.0,78.09,77.9,1423877.0,0.0
2018-06-28,77.9999,78.23,77.86,1.0,78.91,77.9999,698741.0,0.0
