date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,68.323,66.7,66.0,1.0,71.38,69.25,7305829.0,0.0
2018-02-07,68.0369,69.41,68.731,1.0,70.52,68.96,4045301.0,0.0
2018-02-08,65.5112,68.96,66.36,1.0,69.12,66.4,4343394.0,0.0
2018-02-09,68.1454,67.5,66.4,1.0,69.77,69.07,5968221.0,0.0
2018-02-12,69.3688,69.71,69.54,1.0,71.06,70.31,5140314.0,0.0
2018-02-13,69.4379,69.89,69.4,1.0,70.52,70.38,3534594.0,0.0
2018-02-14,70.3554,70.71,69.73,1.0,71.91,71.31,4978293.0,0.0
2018-02-15,71.0214,71.93,70.59,1.0,72.59,71.5,4089433.0,0.485
2018-02-16,72.5014,71.38,71.33,1.0,73.37,72.99,4726317.0,0.0
2018-02-20,70.5943,72.42,70.89,1.0,73.155,71.07,3697614.0,0.0
2018-02-21,71.3293,71.12,71.04,1.0,72.57,71.81,4355428.0,0.0
2018-02-22,71.6074,72.06,71.54,1.0,72.56,72.09,2477969.0,0.0
2018-02-23,71.7068,72.48,71.26,1.0,72.55,72.19,1865157.0,0.0
2018-02-26,73.0378,72.85,72.28,1.0,73.62,73.53,3880801.0,0.0
2018-02-27,72.6007,73.48,73.09,1.0,74.43,73.09,3443908.0,0.0
2018-02-28,70.5843,73.41,71.04,1.0,73.42,71.06,4605413.0,0.0
2018-03-01,69.1142,70.96,69.33,1.0,71.51,69.58,4605649.0,0.0
2018-03-02,68.8957,69.11,68.44,1.0,69.62,69.36,3893723.0,0.0
2018-03-05,69.6804,69.14,68.97,1.0,70.52,70.15,3935463.0,0.0
2018-03-06,69.9983,70.61,69.71,1.0,70.61,70.47,2480550.0,0.0
2018-03-07,69.1242,69.67,69.27,1.0,70.58,69.59,3511699.0,0.0
2018-03-08,69.74,69.95,69.22,1.0,70.28,70.21,2605603.0,0.0
2018-03-09,71.7862,71.4,70.66,1.0,72.31,72.27,3063152.0,0.0
2018-03-12,70.9419,72.31,71.02,1.0,72.48,71.42,2250343.0,0.0
2018-03-13,70.7532,71.61,70.9,1.0,71.955,71.23,3524958.0,0.0
2018-03-14,70.2665,71.74,70.58,1.0,71.74,70.74,3753780.0,0.0
2018-03-15,70.4552,70.82,70.3,1.0,71.21,70.93,3008505.0,0.0
2018-03-16,71.8955,71.12,70.78,1.0,72.38,72.38,9669838.0,0.0
2018-03-19,70.2565,71.87,70.0178,1.0,71.87,70.73,3932373.0,0.0
2018-03-20,70.0778,71.1,70.49,1.0,71.63,70.55,2270283.0,0.0
2018-03-21,70.6737,70.7,70.41,1.0,71.83,71.15,2061080.0,0.0
2018-03-22,68.3097,70.28,68.71,1.0,70.34,68.77,3148324.0,0.0
2018-03-23,66.9091,69.01,67.23,1.0,69.3185,67.36,2813722.0,0.0
2018-03-26,69.0447,68.44,67.8,1.0,69.665,69.51,3138318.0,0.0
2018-03-27,67.4654,69.64,67.42,1.0,69.89,67.92,2840198.0,0.0
2018-03-28,66.8495,68.15,66.95,1.0,68.395,67.3,2668733.0,0.0
2018-03-29,67.8428,67.64,67.441,1.0,68.82,68.3,1890758.0,0.0
2018-04-02,65.8363,68.05,65.14,1.0,68.11,66.28,3740005.0,0.0
2018-04-03,67.3958,66.79,66.32,1.0,67.89,67.85,5067089.0,0.0
2018-04-04,67.674,66.67,66.29,1.0,68.39,68.13,3791880.0,0.0
2018-04-05,67.9521,68.52,67.87,1.0,68.769,68.41,2930364.0,0.0
2018-04-06,65.8661,67.8,65.14,1.0,68.16,66.31,4475551.0,0.0
2018-04-09,65.7469,66.65,66.09,1.0,67.42,66.19,2321435.0,0.0
2018-04-10,67.1078,67.03,67.03,1.0,67.94,67.56,2430264.0,0.0
2018-04-11,66.631,66.91,66.69,1.0,67.91,67.08,2736705.0,0.0
2018-04-12,67.7435,67.35,67.28,1.0,68.61,68.2,3195090.0,0.0
2018-04-13,67.962,68.81,68.185,1.0,69.1919,68.42,3226301.0,0.0
2018-04-16,68.3494,69.09,68.54,1.0,69.16,68.81,2517375.0,0.0
2018-04-17,68.9255,69.46,69.05,1.0,69.68,69.39,3914809.0,0.0
2018-04-18,70.1473,69.84,69.38,1.0,71.32,70.62,3057596.0,0.0
2018-04-19,70.1969,70.55,70.09,1.0,70.92,70.67,2291995.0,0.0
2018-04-20,69.7301,70.73,69.495,1.0,70.74,70.2,3962630.0,0.0
2018-04-23,69.4321,70.4,69.76,1.0,71.12,69.9,2809181.0,0.0
