date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,56.6959,56.92,56.07,1.0,58.18,57.71,3345544.0,0.0
2018-02-07,55.8608,57.66,56.85,1.0,58.57,56.86,2593297.0,0.0
2018-02-08,54.2889,56.9,55.25,1.0,57.78,55.26,3296617.0,0.0
2018-02-09,55.6545,55.56,55.21,1.0,57.0,56.65,3046067.0,0.0
2018-02-12,55.6152,56.83,54.97,1.0,57.119,56.61,2841237.0,0.0
2018-02-13,55.9885,56.55,56.21,1.0,57.33,56.99,1913994.0,0.0
2018-02-14,55.6741,56.4,55.84,1.0,56.875,56.67,2661002.0,0.0
2018-02-15,56.8924,56.95,56.92,1.0,58.0,57.91,2033456.0,0.0
2018-02-16,56.9513,57.9,57.62,1.0,58.59,57.97,2183335.0,0.0
2018-02-20,56.6271,57.76,57.55,1.0,58.34,57.64,3016983.0,0.0
2018-02-21,54.8882,57.7,55.85,1.0,57.78,55.87,2784988.0,0.0
2018-02-22,55.1829,56.06,55.88,1.0,56.63,56.17,2014959.0,0.0
2018-02-23,55.9885,56.37,56.1,1.0,56.99,56.99,1879442.0,0.0
2018-02-26,56.1261,57.13,56.71,1.0,57.37,57.13,1862376.0,0.0
2018-02-27,54.8489,57.12,55.61,1.0,57.24,55.83,2214821.0,0.0
2018-02-28,55.2419,56.09,56.02,1.0,56.96,56.23,2721150.0,0.0
2018-03-01,55.3303,56.08,55.81,1.0,57.03,56.32,2380414.0,0.0
2018-03-02,54.9766,56.19,55.5,1.0,56.43,55.96,2085312.0,0.0
2018-03-05,55.4777,55.81,55.6001,1.0,56.595,56.47,2832934.0,0.0
2018-03-06,55.8903,56.43,56.0,1.0,56.98,56.89,2268078.0,0.0
2018-03-07,56.8138,56.65,56.65,1.0,58.04,57.83,3176358.0,0.0
2018-03-08,57.246,57.9,57.61,1.0,58.29,58.27,2122018.0,0.0
2018-03-09,58.4642,58.31,58.04,1.0,59.52,59.51,2826725.0,0.0
2018-03-12,58.4544,59.33,58.85,1.0,59.74,59.5,2933103.0,0.0
2018-03-13,58.3267,59.77,59.18,1.0,60.05,59.37,1571618.0,0.0
2018-03-14,58.4937,59.58,59.21,1.0,59.83,59.54,2081740.0,0.0
2018-03-15,58.6705,59.66,59.33,1.0,59.92,59.72,1923621.0,0.0
2018-03-16,59.1716,59.76,59.685,1.0,60.47,60.23,2732714.0,0.0
2018-03-19,59.26,60.71,59.8,1.0,60.78,60.32,2757641.0,0.0
2018-03-20,59.2109,60.3,59.92,1.0,60.68,60.27,3493168.0,0.0
2018-03-21,59.0733,60.21,59.64,1.0,60.5304,60.13,2921558.0,0.0
2018-03-22,58.7,59.88,59.48,1.0,60.62,59.75,4779848.0,0.0
2018-03-23,57.865,59.19,57.96,1.0,59.255,58.36,4524038.0,0.54
2018-03-26,58.4797,58.74,58.06,1.0,59.05,58.98,2307924.0,0.0
2018-03-27,58.8466,59.01,58.49,1.0,60.09,59.35,2557594.0,0.0
2018-03-28,61.0279,59.61,59.38,1.0,61.79,61.55,3856238.0,0.0
2018-03-29,61.0973,61.79,61.23,1.0,62.22,61.62,5297510.0,0.0
2018-04-02,60.5222,61.48,60.5,1.0,61.71,61.04,3466317.0,0.0
2018-04-03,61.8211,61.13,60.82,1.0,62.58,62.35,4343285.0,0.0
2018-04-04,62.6143,62.01,61.89,1.0,63.205,63.15,4093590.0,0.0
2018-04-05,62.7531,63.21,62.7,1.0,63.34,63.29,2901323.0,0.0
2018-04-06,62.5152,63.37,62.82,1.0,63.71,63.05,2491784.0,0.0
