date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,81.2945,80.24,79.5,1.0,83.28,82.68,4990702.0,0.0
2018-02-07,80.2523,82.32,81.59,1.0,84.38,81.62,3908798.0,0.0
2018-02-08,78.0793,81.81,79.4,1.0,82.305,79.41,3145131.0,0.0
2018-02-09,79.4165,80.7,78.99,1.0,81.6,80.77,4914411.0,0.0
2018-02-12,80.6456,81.45,81.24,1.0,82.57,82.02,2786651.0,0.0
2018-02-13,80.4588,81.46,80.985,1.0,82.1399,81.83,1331631.0,0.0
2018-02-14,81.2847,81.24,81.02,1.0,82.86,82.67,2398025.0,0.0
2018-02-15,81.3732,83.11,81.78,1.0,83.42,82.76,1516423.0,0.0
2018-02-16,81.4027,82.66,82.2,1.0,83.91,82.79,1985806.0,0.0
2018-02-20,80.3408,82.43,81.45,1.0,83.04,81.71,2957358.0,0.0
2018-02-21,80.1933,81.72,81.26,1.0,82.65,81.56,2133698.0,0.0
2018-02-22,80.5079,82.03,81.68,1.0,82.65,81.88,1717843.0,0.0
2018-02-23,80.8422,82.5,81.57,1.0,82.66,82.22,2186565.0,0.0
2018-02-26,80.9012,82.36,81.54,1.0,82.55,82.28,2854918.0,0.0
2018-02-27,80.5866,82.19,81.93,1.0,83.095,81.96,2514816.0,0.0
2018-02-28,79.3477,82.16,80.68,1.0,82.51,80.7,2234369.0,0.0
2018-03-01,78.2563,81.1,79.21,1.0,81.71,79.59,3527381.0,0.0
2018-03-02,78.3645,79.16,78.391,1.0,80.09,79.7,3251021.0,0.0
2018-03-05,78.8758,79.18,78.4,1.0,80.32,80.22,2983457.0,0.0
2018-03-06,79.5837,80.79,79.72,1.0,80.97,80.94,2658735.0,0.0
2018-03-07,79.6722,79.99,79.77,1.0,81.19,81.03,2741702.0,0.0
2018-03-08,79.7803,81.93,80.49,1.0,81.96,81.14,3528980.0,0.0
2018-03-09,82.3958,81.07,80.71,1.0,83.16,83.14,2904986.0,0.66
2018-03-12,80.8002,83.09,81.21,1.0,83.24,81.53,3228797.0,0.0
2018-03-13,80.5524,81.71,81.14,1.0,82.67,81.28,2858610.0,0.0
2018-03-14,79.3731,81.89,79.96,1.0,81.9199,80.09,2326025.0,0.0
2018-03-15,79.5515,80.25,79.88,1.0,80.68,80.27,2834756.0,0.0
2018-03-16,80.2551,80.43,80.23,1.0,81.3,80.98,4548819.0,0.0
2018-03-19,79.7398,80.75,79.8163,1.0,80.99,80.46,1703835.0,0.0
2018-03-20,80.4335,80.7,80.5001,1.0,81.87,81.16,1763067.0,0.0
2018-03-21,80.7506,81.33,80.93,1.0,82.1,81.48,1839744.0,0.0
2018-03-22,78.719,80.64,79.28,1.0,81.36,79.43,2646733.0,0.0
2018-03-23,77.4802,79.68,78.09,1.0,80.12,78.18,3310434.0,0.0
2018-03-26,80.374,80.18,79.51,1.0,81.43,81.1,4118346.0,0.0
2018-03-27,78.9965,81.24,79.2,1.0,81.6,79.71,3664576.0,0.0
2018-03-28,78.3424,79.81,78.57,1.0,79.87,79.05,2858409.0,0.0
2018-03-29,79.1947,79.61,79.25,1.0,80.65,79.91,2902710.0,0.0
2018-04-02,76.9946,79.47,76.51,1.0,79.63,77.69,2401543.0,0.0
2018-04-03,77.163,78.0,76.39,1.0,78.28,77.86,4515385.0,0.0
2018-04-04,77.8766,76.48,76.14,1.0,78.67,78.58,3064081.0,0.0
2018-04-05,78.5406,79.32,78.6202,1.0,79.52,79.25,2434620.0,0.0
2018-04-06,75.2899,78.35,75.66,1.0,78.92,75.97,4025877.0,0.0
2018-04-09,75.2503,76.72,75.78,1.0,77.17,75.93,2921956.0,0.0
2018-04-10,76.8954,77.9,77.41,1.0,78.45,77.59,2786342.0,0.0
2018-04-11,76.4792,76.9,76.62,1.0,77.51,77.17,2279930.0,0.0
2018-04-12,76.7468,77.5,77.36,1.0,78.055,77.44,3177046.0,0.0
2018-04-13,76.5684,78.06,76.98,1.0,78.34,77.26,3313384.0,0.0
