date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,249.0054,244.44,242.51,1.0,254.12,250.18,3350574.0,0.0
2018-02-07,249.9708,248.96,248.51,1.0,254.47,251.15,1494727.0,0.0
2018-02-08,238.1466,251.65,239.14,1.0,251.65,239.27,2719158.0,0.0
2018-02-09,234.2151,235.7,226.2,1.0,238.9999,235.32,5122912.0,0.0
2018-02-12,238.8035,236.81,235.4,1.0,241.375,239.93,2647999.0,0.0
2018-02-13,239.1917,238.74,236.72,1.0,241.53,240.32,1511698.0,0.0
2018-02-14,239.6893,239.75,238.85,1.0,242.33,240.82,1781255.0,0.0
2018-02-15,243.8796,241.92,238.67,1.0,245.13,245.03,1698195.0,0.0
2018-02-16,243.0435,244.0,242.6,1.0,247.72,244.19,1463930.0,0.0
2018-02-20,239.8486,243.36,240.25,1.0,244.3,240.98,1113737.0,0.0
2018-02-21,242.1577,241.0,241.0,1.0,247.75,243.3,1252474.0,0.0
2018-02-22,244.2777,244.15,244.05,1.0,248.19,245.43,1381770.0,0.0
2018-02-23,251.0358,248.22,247.5,1.0,252.24,252.22,1786253.0,0.0
2018-02-26,253.315,253.0,250.0,1.0,255.15,254.51,1521963.0,0.0
2018-02-27,247.5721,254.63,248.61,1.0,255.92,248.74,1319106.0,0.0
2018-02-28,245.2531,249.56,246.26,1.0,251.6,246.41,1729644.0,0.0
2018-03-01,242.5558,246.35,242.49,1.0,250.47,243.7,1967791.0,0.0
2018-03-02,240.177,241.58,238.0,1.0,242.82,241.31,1729861.0,0.0
2018-03-05,240.8041,239.4,237.195,1.0,243.11,241.94,1064196.0,0.0
2018-03-06,241.8989,243.57,241.58,1.0,244.62,243.04,1434938.0,0.0
2018-03-07,240.5453,240.0,239.5,1.0,243.41,241.68,1648170.0,0.0
2018-03-08,239.341,242.0,236.18,1.0,242.01,240.47,1806229.0,0.0
2018-03-09,246.4574,242.43,240.94,1.0,247.3899,247.12,1644697.0,0.5
2018-03-12,245.879,247.08,245.65,1.0,248.5,246.54,1275596.0,0.0
2018-03-13,250.0976,247.58,246.78,1.0,252.74,250.77,1922058.0,0.0
2018-03-14,246.248,252.24,246.57,1.0,252.5,246.91,1493266.0,0.0
2018-03-15,246.7366,247.55,247.22,1.0,251.62,247.4,1719527.0,0.0
2018-03-16,251.3542,248.49,248.02,1.0,254.12,252.03,2090839.0,0.0
2018-03-19,248.9407,251.22,246.3,1.0,252.8,249.61,1705787.0,0.0
2018-03-20,251.3143,250.55,249.38,1.0,254.015,251.99,2508828.0,0.0
2018-03-21,248.3523,252.25,249.01,1.0,258.0,249.02,4800019.0,0.0
2018-03-22,235.6365,246.0,235.3944,1.0,246.0,236.27,4222771.0,0.0
2018-03-23,228.8647,237.06,228.9,1.0,238.739,229.48,2635653.0,0.0
