date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,139.73,133.58,133.14,1.0,140.07,139.73,1352406.0,0.0
2018-02-07,141.39,139.16,138.98,1.0,142.46,141.39,891109.0,0.0
2018-02-08,137.25,141.42,137.24,1.0,141.66,137.25,873912.0,0.0
2018-02-09,138.64,138.81,134.83,1.0,139.69,138.64,902856.0,0.0
2018-02-12,140.15,139.55,138.18,1.0,141.14,140.15,615856.0,0.0
2018-02-13,142.43,133.89,133.89,1.0,142.75,142.43,630404.0,0.0
2018-02-14,143.5,141.76,141.07,1.0,144.31,143.5,621140.0,0.0
2018-02-15,145.39,144.67,143.0,1.0,145.85,145.39,593455.0,0.0
2018-02-16,145.03,144.84,144.64,1.0,146.06,145.03,409019.0,0.0
2018-02-20,143.04,143.99,142.97,1.0,145.405,143.04,753716.0,0.0
2018-02-21,144.66,143.41,142.88,1.0,146.51,144.66,630076.0,0.0
2018-02-22,143.87,145.22,143.45,1.0,146.31,143.87,632423.0,0.0
2018-02-23,147.33,144.65,144.57,1.0,147.36,147.33,463159.0,0.0
2018-02-26,151.03,147.86,147.47,1.0,151.33,151.03,917487.0,0.0
2018-02-27,150.84,151.54,150.4725,1.0,153.08,150.84,1113735.0,0.0
2018-02-28,148.52,151.81,148.5,1.0,151.81,148.52,806775.0,0.0
2018-03-01,146.55,148.81,145.74,1.0,149.24,146.55,662974.0,0.0
2018-03-02,148.34,145.21,145.21,1.0,148.57,148.34,511898.0,0.0
2018-03-05,150.84,147.67,146.875,1.0,151.16,150.84,775985.0,0.0
2018-03-06,152.14,151.83,150.86,1.0,152.61,152.14,381428.0,0.0
2018-03-07,153.32,150.83,150.83,1.0,153.91,153.32,657639.0,0.0
2018-03-08,147.06,153.25,144.12,1.0,153.25,147.06,1412322.0,0.0
2018-03-09,147.48,148.2,145.94,1.0,149.77,147.48,893480.0,0.0
2018-03-12,146.78,147.98,146.28,1.0,148.29,146.78,637446.0,0.0
2018-03-13,147.84,147.75,146.67,1.0,148.86,147.84,741284.0,0.0
2018-03-14,147.92,148.54,147.3,1.0,149.36,147.92,567987.0,0.0
2018-03-15,148.15,148.14,146.74,1.0,149.3,148.15,618032.0,0.0
2018-03-16,148.18,148.24,147.41,1.0,150.21,148.18,729862.0,0.0
2018-03-19,146.8,147.46,145.84,1.0,148.76,146.8,507813.0,0.0
2018-03-20,148.9,147.11,147.11,1.0,149.32,148.9,467564.0,0.0
2018-03-21,149.55,149.3,148.3,1.0,151.07,149.55,558613.0,0.0
2018-03-22,146.27,148.24,146.24,1.0,149.43,146.27,511295.0,0.0
2018-03-23,144.51,147.34,144.49,1.0,147.86,144.51,542564.0,0.0
2018-03-26,147.6,146.0,144.33,1.0,147.72,147.6,588980.0,0.0
2018-03-27,144.96,148.4,144.26,1.0,148.97,144.96,618258.0,0.0
2018-03-28,142.61,144.93,142.38,1.0,145.36,142.61,518449.0,0.0
2018-03-29,144.61,143.59,142.07,1.0,145.26,144.61,521671.0,0.0
2018-04-02,140.71,143.93,139.84,1.0,144.33,140.71,723286.0,0.0
2018-04-03,142.34,141.95,141.06,1.0,143.05,142.34,697359.0,0.0
2018-04-04,143.41,140.15,138.67,1.0,143.86,143.41,729417.0,0.0
2018-04-05,143.24,144.23,143.11,1.0,144.8699,143.24,646215.0,0.0
2018-04-06,140.71,142.29,139.72,1.0,143.44,140.71,560917.0,0.0
2018-04-09,140.78,141.74,139.68,1.0,143.23,140.78,479847.0,0.0
2018-04-10,144.94,142.49,141.5276,1.0,145.61,144.94,720451.0,0.0
2018-04-11,145.39,144.19,144.16,1.0,146.65,145.39,507020.0,0.0
2018-04-12,148.35,146.6,146.39,1.0,149.1,148.35,396219.0,0.0
2018-04-13,155.06,153.62,153.1001,1.0,157.2,155.06,1798428.0,0.0
2018-04-16,155.25,156.0,153.98,1.0,156.3,155.25,970202.0,0.0
2018-04-17,158.67,155.83,155.43,1.0,161.5799,158.67,1166734.0,0.0
2018-04-18,157.99,159.22,156.77,1.0,159.9892,157.99,648463.0,0.0
2018-04-19,157.76,157.91,156.79,1.0,159.12,157.76,594361.0,0.0
2018-04-20,156.96,158.17,156.08,1.0,158.69,156.96,554701.0,0.0
2018-04-23,157.72,157.27,156.37,1.0,158.81,157.72,553667.0,0.0
2018-04-24,157.14,158.74,154.83,1.0,159.87,157.14,658811.0,0.0
2018-04-25,157.07,157.01,155.67,1.0,157.97,157.07,896943.0,0.0
2018-04-26,158.47,159.62,155.7,1.0,161.99,158.47,1311288.0,0.0
2018-04-27,160.84,159.05,158.77,1.0,161.71,160.84,758052.0,0.0
2018-04-30,163.09,160.84,160.5,1.0,163.48,163.09,1182204.0,0.0
2018-05-01,164.67,160.7,160.21,1.0,164.88,164.67,1018864.0,0.0
2018-05-02,165.72,162.58,162.0,1.0,166.86,165.72,935617.0,0.0
2018-05-03,168.32,164.54,164.09,1.0,168.63,168.32,1013731.0,0.0
2018-05-04,168.13,167.35,166.58,1.0,168.64,168.13,1114666.0,0.0
2018-05-07,169.2,168.52,168.01,1.0,170.21,169.2,812389.0,0.0
2018-05-08,169.63,170.82,168.58,1.0,170.92,169.63,808001.0,0.0
2018-05-09,172.0,169.94,169.45,1.0,172.41,172.0,770199.0,0.0
2018-05-10,172.76,172.99,172.12,1.0,174.26,172.76,802887.0,0.0
2018-05-11,171.76,172.3,170.23,1.0,172.79,171.76,653996.0,0.0
2018-05-14,172.59,172.0,170.93,1.0,173.35,172.59,472761.0,0.0
2018-05-15,171.2,171.99,169.82,1.0,172.27,171.2,746992.0,0.0
2018-05-16,171.04,170.33,169.36,1.0,171.82,171.04,695966.0,0.0
2018-05-17,171.14,170.18,169.46,1.0,171.92,171.14,669661.0,0.0
2018-05-18,172.27,170.89,170.23,1.0,172.78,172.27,687031.0,0.0
2018-05-21,174.41,173.29,173.29,1.0,175.54,174.41,596415.0,0.0
2018-05-22,173.96,175.22,173.46,1.0,176.33,173.96,589057.0,0.0
2018-05-23,174.57,173.22,172.72,1.0,174.7,174.57,494904.0,0.0
2018-05-24,173.41,174.23,172.41,1.0,174.98,173.41,420132.0,0.0
2018-05-25,174.8,173.57,173.31,1.0,175.21,174.8,405374.0,0.0
2018-05-29,172.75,173.64,171.69,1.0,174.025,172.75,558188.0,0.0
2018-05-30,173.16,173.86,171.73,1.0,173.86,173.16,547835.0,0.0
2018-05-31,173.11,173.21,171.59,1.0,174.805,173.11,1557453.0,0.0
2018-06-01,175.19,174.57,174.025,1.0,176.34,175.19,664999.0,0.0
2018-06-04,176.19,175.97,174.52,1.0,176.4366,176.19,611307.0,0.0
2018-06-05,177.93,176.77,176.23,1.0,178.02,177.93,535374.0,0.0
2018-06-06,178.82,178.09,177.41,1.0,179.03,178.82,658741.0,0.0
2018-06-07,176.92,179.22,175.17,1.0,179.62,176.92,564921.0,0.0
2018-06-08,176.8,176.41,174.98,1.0,177.33,176.8,367121.0,0.0
2018-06-11,176.94,177.43,176.61,1.0,177.89,176.94,523811.0,0.0
2018-06-12,177.57,176.58,175.725,1.0,177.7,177.57,512796.0,0.0
2018-06-13,179.77,177.97,177.97,1.0,180.92,179.77,557798.0,0.0
2018-06-14,181.64,180.0,179.92,1.0,181.84,181.64,660553.0,0.0
2018-06-15,182.5,180.99,179.25,1.0,182.75,182.5,1140555.0,0.0
2018-06-18,181.28,181.52,179.84,1.0,182.395,181.28,615656.0,0.0
2018-06-19,179.54,178.37,174.87,1.0,179.88,179.54,957113.0,0.0
2018-06-20,181.99,180.55,180.01,1.0,183.27,181.99,566675.0,0.0
2018-06-21,180.2,182.49,179.31,1.0,183.22,180.2,665435.0,0.0
2018-06-22,171.47,178.89,171.11,1.0,178.89,171.47,1163698.0,0.0
2018-06-25,170.05,170.6,168.025,1.0,171.33,170.05,916951.0,0.0
2018-06-26,172.48,170.65,170.32,1.0,173.39,172.48,630888.0,0.0
2018-06-27,170.4,172.31,170.38,1.0,173.66,170.4,581787.0,0.0
2018-06-28,171.29,170.25,170.03,1.0,171.89,171.29,155452.0,0.0
