date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,56.7055,55.9,55.3,1.0,57.489,57.16,2460563.0,0.0
2018-02-07,56.5865,56.88,56.88,1.0,57.86,57.04,1464867.0,0.0
2018-02-08,54.8702,56.99,55.3,1.0,57.028,55.31,1823705.0,0.0
2018-02-09,54.5726,56.1,53.22,1.0,56.455,55.01,1940386.0,0.0
2018-02-12,55.8623,55.35,55.1,1.0,56.8,56.31,1547996.0,0.0
2018-02-13,55.3762,55.9,55.33,1.0,56.36,55.82,1631100.0,0.0
2018-02-14,56.9138,55.39,55.22,1.0,57.48,57.37,1068612.0,0.0
2018-02-15,57.39,58.0,57.01,1.0,58.73,57.85,885451.0,0.0
2018-02-16,57.1718,57.68,57.18,1.0,58.44,57.63,1363411.0,0.0
2018-02-20,57.5785,57.48,57.17,1.0,58.599,58.04,1918868.0,0.0
2018-02-21,56.9733,59.7,57.37,1.0,59.99,57.43,3047836.0,0.0
2018-02-22,57.6479,57.89,57.7,1.0,59.57,58.11,1688314.0,0.0
2018-02-23,57.6876,58.52,56.8407,1.0,58.57,58.15,1281460.0,0.0
2018-02-26,58.1142,58.24,57.66,1.0,58.69,58.58,1137507.0,0.0
2018-02-27,57.3404,58.7,57.8,1.0,59.34,57.8,1296462.0,0.0
2018-02-28,56.6559,57.71,56.9,1.0,58.1,56.9,1599138.0,0.21
2018-03-01,55.5407,56.83,55.26,1.0,57.21,55.78,1615058.0,0.0
2018-03-02,56.3472,55.24,54.94,1.0,56.78,56.59,1230304.0,0.0
2018-03-05,56.8152,56.24,56.2,1.0,57.45,57.06,1054697.0,0.0
2018-03-06,57.323,57.29,56.97,1.0,57.74,57.57,1180877.0,0.0
2018-03-07,57.4126,57.0,56.49,1.0,57.72,57.66,1343056.0,0.0
2018-03-08,56.9247,57.79,56.34,1.0,57.9071,57.17,1258356.0,0.0
2018-03-09,58.2689,57.51,57.36,1.0,58.68,58.52,970772.0,0.0
2018-03-12,58.03,58.5,58.18,1.0,58.88,58.28,983921.0,0.0
2018-03-13,57.5819,58.48,57.7,1.0,58.8161,57.83,579976.0,0.0
2018-03-14,57.2533,58.13,57.31,1.0,58.24,57.5,655778.0,0.0
2018-03-15,57.0641,57.54,56.95,1.0,57.87,57.31,862692.0,0.0
2018-03-16,57.3927,57.41,57.11,1.0,58.21,57.64,1577653.0,0.0
2018-03-19,56.5962,57.55,56.43,1.0,57.55,56.84,955675.0,0.0
2018-03-20,56.9347,57.22,57.14,1.0,57.63,57.18,589182.0,0.0
2018-03-21,58.0499,57.3,57.06,1.0,59.18,58.3,1088234.0,0.0
2018-03-22,55.6602,57.61,55.87,1.0,57.87,55.9,1257784.0,0.0
2018-03-23,54.6147,56.12,54.7,1.0,56.4,54.85,1112042.0,0.0
2018-03-26,56.0784,55.71,54.96,1.0,56.44,56.32,880665.0,0.0
2018-03-27,55.5208,56.55,55.39,1.0,57.02,55.76,920979.0,0.0
2018-03-28,55.6104,55.9,55.56,1.0,56.4199,55.85,728004.0,0.0
2018-03-29,56.9745,55.97,55.97,1.0,57.58,57.22,1137126.0,0.0
2018-04-02,55.7299,56.97,55.19,1.0,57.06,55.97,1025857.0,0.0
2018-04-03,57.0143,56.29,55.98,1.0,57.3,57.26,762408.0,0.0
2018-04-04,57.781,55.97,55.9,1.0,58.11,58.03,866863.0,0.0
2018-04-05,58.2889,58.35,58.18,1.0,58.95,58.54,832061.0,0.0
2018-04-06,56.4767,57.9,55.91,1.0,58.26,56.72,1065295.0,0.0
2018-04-09,56.6559,57.08,56.79,1.0,57.83,56.9,605633.0,0.0
2018-04-10,58.3088,57.8,57.53,1.0,58.85,58.56,761796.0,0.0
2018-04-11,58.5179,57.97,57.97,1.0,59.12,58.77,770874.0,0.0
2018-04-12,58.3685,59.2,58.47,1.0,59.8,58.62,1978484.0,0.0
2018-04-13,57.6715,58.76,57.66,1.0,58.88,57.92,1105169.0,0.0
2018-04-16,57.7113,58.34,57.835,1.0,58.35,57.96,1110884.0,0.0
2018-04-17,58.4183,58.2,58.01,1.0,58.775,58.67,940295.0,0.0
2018-04-18,59.1352,58.72,58.62,1.0,59.66,59.39,1343905.0,0.0
2018-04-19,58.8962,59.39,59.02,1.0,59.8,59.15,657596.0,0.0
2018-04-20,58.3287,59.21,58.222,1.0,59.31,58.58,1661491.0,0.0
2018-04-23,61.2162,58.67,58.65,1.0,61.64,61.48,2221950.0,0.0
2018-04-24,59.4738,61.75,59.17,1.0,62.08,59.73,1832193.0,0.0
2018-04-25,59.3841,59.55,59.32,1.0,60.37,59.64,1304600.0,0.0
2018-04-26,59.2049,59.75,58.86,1.0,59.77,59.46,1060300.0,0.0
2018-04-27,59.9617,59.47,59.4501,1.0,60.75,60.22,1292694.0,0.0
2018-04-30,58.6971,60.24,58.92,1.0,60.69,58.95,1054684.0,0.0
2018-05-01,58.7867,59.04,58.07,1.0,59.39,59.04,875776.0,0.0
2018-05-02,58.488,59.06,58.68,1.0,59.45,58.74,1302693.0,0.0
2018-05-03,58.7369,58.44,57.83,1.0,59.37,58.99,1223861.0,0.0
2018-05-04,45.5637,47.14,45.58,1.0,48.65,45.76,12390583.0,0.0
2018-05-07,44.2991,45.22,43.8601,1.0,45.22,44.49,6302667.0,0.0
2018-05-08,44.4784,44.36,44.04,1.0,45.84,44.67,3163816.0,0.0
2018-05-09,45.2251,46.05,45.34,1.0,46.67,45.42,3487992.0,0.0
2018-05-10,46.1611,45.47,45.33,1.0,46.6,46.36,2116288.0,0.0
2018-05-11,46.3503,46.4,46.115,1.0,46.71,46.55,1625413.0,0.0
2018-05-14,46.6391,46.55,46.34,1.0,47.11,46.84,1624717.0,0.0
2018-05-15,48.272,46.76,46.68,1.0,48.59,48.48,3374060.0,0.0
2018-05-16,49.0387,48.61,48.61,1.0,49.99,49.25,2727813.0,0.0
2018-05-17,49.5664,48.84,48.84,1.0,49.82,49.78,2505214.0,0.0
2018-05-18,49.6859,49.78,49.34,1.0,50.15,49.9,2369474.0,0.0
2018-05-21,49.905,50.1,49.89,1.0,50.67,50.12,1946550.0,0.0
2018-05-22,49.9149,49.88,49.82,1.0,50.37,50.13,1479804.0,0.0
2018-05-23,48.8097,49.72,48.4,1.0,49.97,49.02,2151716.0,0.0
2018-05-24,48.5409,48.79,48.25,1.0,49.18,48.75,1484825.0,0.0
2018-05-25,48.3218,48.3,48.04,1.0,48.66,48.53,1102959.0,0.0
2018-05-29,48.1824,48.11,47.77,1.0,48.51,48.39,1225640.0,0.0
2018-05-30,49.3474,48.72,48.5217,1.0,49.63,49.56,1091411.0,0.0
2018-05-31,48.74,49.01,48.45,1.0,49.27,48.74,1871902.0,0.21
2018-06-01,49.0,49.06,48.73,1.0,49.35,49.0,1675663.0,0.0
2018-06-04,48.77,49.09,48.51,1.0,49.53,48.77,973208.0,0.0
2018-06-05,49.11,48.86,48.7003,1.0,49.33,49.11,1899788.0,0.0
2018-06-06,49.61,49.12,48.86,1.0,49.65,49.61,1727655.0,0.0
2018-06-07,49.67,49.82,49.235,1.0,50.0,49.67,1054286.0,0.0
2018-06-08,50.34,49.58,49.4545,1.0,50.35,50.34,780439.0,0.0
2018-06-11,50.33,50.25,50.12,1.0,50.54,50.33,836277.0,0.0
2018-06-12,49.82,50.46,49.51,1.0,50.51,49.82,1010592.0,0.0
2018-06-13,49.44,49.91,49.44,1.0,49.94,49.44,1316230.0,0.0
2018-06-14,48.89,49.45,48.68,1.0,49.63,48.89,1400104.0,0.0
2018-06-15,48.68,48.85,48.19,1.0,48.9,48.68,2344312.0,0.0
2018-06-18,49.71,48.38,48.38,1.0,50.24,49.71,1373886.0,0.0
2018-06-19,49.21,49.2,48.17,1.0,49.405,49.21,721424.0,0.0
2018-06-20,49.69,49.31,48.85,1.0,49.875,49.69,714890.0,0.0
2018-06-21,48.69,49.5,48.441,1.0,49.5,48.69,923637.0,0.0
2018-06-22,49.52,49.42,48.98,1.0,49.85,49.52,1322529.0,0.0
2018-06-25,48.5,49.1,48.155,1.0,49.33,48.5,940040.0,0.0
2018-06-26,48.72,48.61,48.1,1.0,49.15,48.72,969112.0,0.0
2018-06-27,48.48,48.92,48.44,1.0,49.71,48.48,1011129.0,0.0
2018-06-28,47.925,48.41,47.61,1.0,48.41,47.925,319626.0,0.0
