date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,84.7986,81.32,80.68,1.0,85.39,84.99,1698172.0,0.0
2018-02-07,83.7809,84.87,83.76,1.0,85.96,83.97,901120.0,0.0
2018-02-08,80.6879,84.07,80.81,1.0,85.02,80.87,1314833.0,0.0
2018-02-09,82.4938,81.81,79.62,1.0,83.3,82.68,1418910.0,0.0
2018-02-12,85.0281,83.82,82.98,1.0,85.73,85.22,2383581.0,0.0
2018-02-13,81.6757,86.03,81.77,1.0,86.8668,81.86,2904043.0,0.0
2018-02-14,85.068,82.05,81.54,1.0,85.96,85.26,2156351.0,0.0
2018-02-15,85.0481,86.92,84.59,1.0,87.5,85.24,1226926.0,0.0
2018-02-16,83.1623,85.04,83.17,1.0,85.09,83.35,1260293.0,0.0
2018-02-20,83.3619,83.24,83.06,1.0,84.53,83.55,981009.0,0.0
2018-02-21,81.9351,83.55,82.11,1.0,83.81,82.12,1441181.0,0.0
2018-02-22,83.3519,82.83,82.2001,1.0,84.09,83.54,1076157.0,0.0
2018-02-23,85.527,84.06,83.99,1.0,85.75,85.72,1226138.0,0.0
2018-02-26,83.4616,85.68,80.95,1.0,85.7,83.65,2127482.0,0.0
2018-02-27,82.404,83.77,82.55,1.0,84.625,82.59,1298242.0,0.0
2018-02-28,78.3033,83.17,78.48,1.0,83.79,78.48,2656489.0,0.0
2018-03-01,78.4629,78.48,76.57,1.0,78.91,78.64,3407784.0,0.0
2018-03-02,79.4706,78.41,77.35,1.0,80.18,79.65,2127961.0,0.0
2018-03-05,80.5482,79.11,78.87,1.0,81.32,80.73,1526017.0,0.0
2018-03-06,82.2344,81.34,80.92,1.0,82.76,82.42,1730846.0,0.0
2018-03-07,82.6036,81.53,81.1101,1.0,83.05,82.79,1196507.0,0.0
2018-03-08,82.0648,82.93,81.29,1.0,83.66,82.25,1001198.0,0.0
2018-03-09,83.3619,83.02,82.565,1.0,83.89,83.55,1149670.0,0.0
2018-03-12,83.6911,83.64,82.58,1.0,84.52,83.88,1292147.0,0.0
2018-03-13,83.5913,84.38,83.55,1.0,84.73,83.78,916980.0,0.0
2018-03-14,82.5038,84.08,82.39,1.0,84.5,82.69,901215.0,0.0
2018-03-15,80.8874,82.81,81.03,1.0,83.17,81.07,1027129.0,0.0
2018-03-16,82.1047,80.92,80.5701,1.0,82.95,82.29,1450567.0,0.0
2018-03-19,81.1369,81.83,81.04,1.0,82.2,81.32,801979.0,0.0
2018-03-20,79.8099,81.63,79.75,1.0,81.83,79.99,1128960.0,0.0
2018-03-21,80.1691,79.87,79.09,1.0,81.32,80.35,1442050.0,0.0
2018-03-22,77.1858,79.68,77.33,1.0,80.4,77.36,2201719.0,0.0
2018-03-23,75.34,77.52,75.445,1.0,78.25,75.51,1103708.0,0.0
2018-03-26,75.8089,76.67,75.17,1.0,77.3,75.98,1315520.0,0.0
2018-03-27,75.1105,76.42,74.86,1.0,76.98,75.28,1590250.0,0.0
2018-03-28,73.11,75.03,72.73,1.0,75.58,73.11,1409629.0,0.165
2018-03-29,76.57,75.22,75.0,1.0,77.12,76.57,3012076.0,0.0
2018-04-02,74.99,76.92,74.6,1.0,78.15,74.99,1534769.0,0.0
2018-04-03,76.24,75.81,74.62,1.0,76.4,76.24,2012007.0,0.0
2018-04-04,76.18,74.8,73.7,1.0,76.31,76.18,1735267.0,0.0
2018-04-05,79.54,76.79,76.79,1.0,80.01,79.54,2487421.0,0.0
2018-04-06,78.13,78.76,77.5,1.0,79.75,78.13,2147678.0,0.0
2018-04-09,77.99,78.5,77.8,1.0,79.07,77.99,964828.0,0.0
2018-04-10,79.25,79.11,78.47,1.0,80.08,79.25,1102879.0,0.0
2018-04-11,78.43,78.58,78.235,1.0,79.27,78.43,776873.0,0.0
