date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,1084.43,1033.98,1030.01,1.0,1087.38,1084.43,3732527.0,0.0
2018-02-07,1055.41,1084.97,1054.62,1.0,1086.53,1055.41,2544683.0,0.0
2018-02-08,1007.71,1059.87,1004.7,1.0,1063.93,1007.71,3067173.0,0.0
2018-02-09,1046.27,1025.88,997.0,1.0,1051.72,1046.27,4436032.0,0.0
2018-02-12,1054.56,1056.67,1045.49,1.0,1065.57,1054.56,2796258.0,0.0
2018-02-13,1054.14,1050.0,1046.92,1.0,1061.22,1054.14,1574121.0,0.0
2018-02-14,1072.7,1054.32,1049.8,1.0,1075.47,1072.7,2029979.0,0.0
2018-02-15,1091.36,1083.45,1067.23,1.0,1094.1,1091.36,1806206.0,0.0
2018-02-16,1095.5,1093.38,1091.55,1.0,1108.31,1095.5,1971928.0,0.0
2018-02-20,1103.59,1092.76,1090.0,1.0,1116.29,1103.59,1646405.0,0.0
2018-02-21,1113.75,1109.1,1107.51,1.0,1136.2,1113.75,2024534.0,0.0
2018-02-22,1109.9,1119.17,1105.15,1.0,1125.46,1109.9,1386115.0,0.0
2018-02-23,1128.09,1118.66,1108.44,1.0,1129.0,1128.09,1234539.0,0.0
2018-02-26,1143.7,1131.86,1129.34,1.0,1144.2,1143.7,1489118.0,0.0
2018-02-27,1117.51,1143.7,1116.79,1.0,1144.25,1117.51,2094863.0,0.0
2018-02-28,1103.92,1122.0,1103.0,1.0,1127.65,1103.92,2431023.0,0.0
2018-03-01,1071.41,1109.54,1067.29,1.0,1111.27,1071.41,2766856.0,0.0
2018-03-02,1084.14,1057.98,1050.11,1.0,1086.89,1084.14,2508145.0,0.0
2018-03-05,1094.76,1078.13,1072.27,1.0,1101.18,1094.76,1432369.0,0.0
2018-03-06,1100.9,1102.1,1094.5,1.0,1105.63,1100.9,1169068.0,0.0
2018-03-07,1115.04,1092.82,1089.91,1.0,1116.2,1115.04,1537429.0,0.0
2018-03-08,1129.38,1117.2,1117.2,1.0,1131.44,1129.38,1510478.0,0.0
2018-03-09,1160.84,1139.5,1134.29,1.0,1161.0,1160.84,2070174.0,0.0
2018-03-12,1165.93,1165.05,1159.2,1.0,1178.16,1165.93,2129297.0,0.0
2018-03-13,1139.91,1171.83,1134.57,1.0,1178.0,1139.91,2129435.0,0.0
2018-03-14,1148.89,1145.8,1142.35,1.0,1159.76,1148.89,2033697.0,0.0
2018-03-15,1150.61,1149.57,1135.66,1.0,1162.5,1150.61,1623868.0,0.0
