date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,98.5191,98.28,96.91,1.0,100.63,100.06,1219799.0,0.0
2018-02-07,97.7413,99.96,99.17,1.0,101.83,99.27,1020147.0,0.0
2018-02-08,94.8269,99.33,96.28,1.0,100.44,96.31,1319128.0,0.0
2018-02-09,95.5555,97.12,92.82,1.0,98.0389,97.05,1288018.0,0.0
2018-02-12,96.2152,98.09,96.52,1.0,98.63,97.72,950574.0,0.0
2018-02-13,95.2404,97.79,96.08,1.0,98.15,96.73,1100316.0,0.0
2018-02-14,97.4262,96.3,96.03,1.0,99.32,98.95,922083.0,0.0
2018-02-15,99.3561,99.5,98.57,1.0,100.92,100.91,979543.0,0.0
2018-02-16,98.2927,100.49,99.1,1.0,101.08,99.83,1110362.0,0.0
2018-02-20,93.2121,96.56,94.4,1.0,96.89,94.67,1709713.0,0.0
2018-02-21,91.9026,94.4,92.5,1.0,94.7904,93.34,1248768.0,0.0
2018-02-22,91.4989,93.54,92.45,1.0,94.83,92.93,975371.0,0.0
2018-02-23,93.0743,93.33,92.67,1.0,94.6,94.53,813907.0,0.0
2018-02-26,93.4091,94.71,93.85,1.0,95.03,94.87,659205.0,0.0
2018-02-27,91.1346,95.13,92.56,1.0,95.21,92.56,797565.0,0.0
2018-02-28,90.4257,92.88,91.82,1.0,93.54,91.84,962950.0,0.0
2018-03-01,90.0023,91.73,90.5,1.0,92.615,91.41,883878.0,0.0
2018-03-02,89.4608,90.9,90.16,1.0,91.28,90.86,1017538.0,0.0
2018-03-05,90.3666,90.38,90.06,1.0,92.19,91.78,683921.0,0.0
2018-03-06,91.1051,91.96,91.11,1.0,92.64,92.53,736131.0,0.0
2018-03-07,90.2485,91.62,90.9,1.0,92.175,91.66,696817.0,0.0
2018-03-08,89.835,91.29,90.275,1.0,91.325,90.52,579212.0,0.72
2018-03-09,91.9191,91.16,90.45,1.0,92.66,92.62,542725.0,0.0
2018-03-12,91.671,92.62,91.62,1.0,93.14,92.37,860374.0,0.0
2018-03-13,91.0358,92.74,91.43,1.0,93.01,91.73,626388.0,0.0
2018-03-14,89.696,92.04,90.18,1.0,92.18,90.38,826309.0,0.0
2018-03-15,89.567,90.56,89.935,1.0,91.01,90.25,716163.0,0.0
2018-03-16,90.093,90.43,89.92,1.0,91.4835,90.78,3745568.0,0.0
2018-03-19,89.8052,90.77,89.995,1.0,91.65,90.49,697986.0,0.0
2018-03-20,90.093,90.84,90.0,1.0,91.23,90.78,607446.0,0.0
2018-03-21,89.7953,90.87,90.45,1.0,91.32,90.48,549297.0,0.0
2018-03-22,87.3142,89.94,87.89,1.0,90.2699,87.98,719570.0,0.0
2018-03-23,85.8652,88.2,86.45,1.0,88.72,86.52,797535.0,0.0
2018-03-26,87.9394,87.45,87.2,1.0,88.84,88.61,735344.0,0.0
2018-03-27,87.9295,88.77,88.18,1.0,89.88,88.6,639314.0,0.0
2018-03-28,88.0089,89.01,88.24,1.0,89.94,88.68,906559.0,0.0
2018-03-29,89.1601,89.17,89.08,1.0,90.42,89.84,719918.0,0.0
2018-04-02,86.1034,89.4,85.8,1.0,89.789,86.76,803576.0,0.0
2018-04-03,87.4631,87.24,86.78,1.0,88.22,88.13,809914.0,0.0
2018-04-04,89.0509,87.29,87.28,1.0,89.9423,89.73,581381.0,0.0
2018-04-05,89.9739,90.05,89.17,1.0,91.1,90.66,1011778.0,0.0
2018-04-06,88.5845,90.28,88.15,1.0,90.96,89.26,1417715.0,0.0
2018-04-09,88.1379,89.49,88.69,1.0,90.04,88.81,653974.0,0.0
2018-04-10,89.6861,89.58,89.41,1.0,91.01,90.37,709765.0,0.0
2018-04-11,88.9815,89.71,89.03,1.0,90.16,89.66,427600.0,0.0
2018-04-12,89.4479,89.96,89.8301,1.0,90.6847,90.13,547281.0,0.0
2018-04-13,88.8425,92.3,89.1889,1.0,92.75,89.52,763571.0,0.0
2018-04-16,89.9739,89.84,89.32,1.0,90.82,90.66,736890.0,0.0
2018-04-17,90.0533,90.82,90.29,1.0,91.205,90.74,523438.0,0.0
2018-04-18,90.6686,91.23,90.78,1.0,91.97,91.36,948857.0,0.0
2018-04-19,87.473,88.88,87.02,1.0,90.32,88.14,1963780.0,0.0
2018-04-20,87.0859,88.15,86.89,1.0,88.65,87.75,1242247.0,0.0
2018-04-23,88.1181,87.64,87.4,1.0,88.99,88.79,1148053.0,0.0
2018-04-24,87.731,88.93,88.06,1.0,90.33,88.4,1082790.0,0.0
2018-04-25,88.1478,88.17,87.99,1.0,89.45,88.82,971420.0,0.0
2018-04-26,88.3165,89.19,88.645,1.0,90.5126,88.99,1410517.0,0.0
2018-04-27,90.2419,88.91,88.895,1.0,91.09,90.93,1150599.0,0.0
2018-04-30,87.6516,91.21,88.07,1.0,91.25,88.32,1946051.0,0.0
2018-05-01,88.0089,88.23,87.35,1.0,89.0,88.68,962286.0,0.0
2018-05-02,87.2745,88.88,87.49,1.0,89.18,87.94,3442458.0,0.0
2018-05-03,87.9493,88.17,87.56,1.0,88.95,88.62,1750975.0,0.0
2018-05-04,89.2395,88.36,87.96,1.0,90.34,89.92,955633.0,0.0
2018-05-07,89.1204,89.93,89.16,1.0,90.1899,89.8,934003.0,0.0
2018-05-08,89.1006,90.16,89.22,1.0,90.3,89.78,884120.0,0.0
2018-05-09,89.5075,90.08,88.92,1.0,90.41,90.19,1062778.0,0.0
2018-05-10,89.8846,90.3,90.01,1.0,90.78,90.57,503947.0,0.0
2018-05-11,90.6885,90.44,89.95,1.0,91.7,91.38,576853.0,0.0
2018-05-14,91.0557,91.39,91.03,1.0,92.08,91.75,462926.0,0.0
2018-05-15,90.9862,91.45,91.19,1.0,91.78,91.68,1121834.0,0.0
2018-05-16,91.7504,91.95,91.95,1.0,92.86,92.45,559830.0,0.0
2018-05-17,91.9687,92.36,92.2,1.0,92.92,92.67,528450.0,0.0
2018-05-18,91.671,92.78,92.01,1.0,93.16,92.37,645400.0,0.0
2018-05-21,92.8123,92.92,92.43,1.0,93.7,93.52,810232.0,0.0
2018-05-22,91.0854,94.07,91.66,1.0,94.82,91.78,2124238.0,0.0
2018-05-23,90.4503,91.37,90.55,1.0,91.68,91.14,977983.0,0.0
2018-05-24,91.0557,90.92,90.1,1.0,91.94,91.75,599275.0,0.0
2018-05-25,90.7877,91.62,91.21,1.0,92.0569,91.48,464315.0,0.0
2018-05-29,89.6762,90.95,89.871,1.0,91.27,90.36,618030.0,0.0
2018-05-30,90.9961,90.72,90.38,1.0,92.26,91.69,638592.0,0.0
2018-05-31,90.1029,91.58,90.2,1.0,91.58,90.79,1432418.0,0.0
2018-06-01,90.7778,91.03,90.7001,1.0,92.2,91.47,504903.0,0.0
