date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,50.2434,48.76,48.57,1.0,51.27,50.63,11045127.0,0.0
2018-02-07,49.3106,50.77,49.675,1.0,51.41,49.69,8588385.0,0.0
2018-02-08,47.048,49.94,47.375,1.0,50.0,47.41,13765760.0,0.0
2018-02-09,46.3434,47.74,45.1,1.0,48.06,46.7,17744009.0,0.0
2018-02-12,47.5541,47.41,47.29,1.0,48.5,47.92,12175680.0,0.0
2018-02-13,47.0281,47.55,46.87,1.0,47.72,47.39,6847904.0,0.0
2018-02-14,47.5045,46.88,46.71,1.0,48.18,47.87,8632869.0,0.0
2018-02-15,46.5319,47.5,46.33,1.0,47.65,46.89,15647968.0,0.0
2018-02-16,47.1373,46.76,46.53,1.0,47.99,47.5,12150306.0,0.0
2018-02-20,46.7999,47.6,46.76,1.0,47.98,47.16,7377428.0,0.0
2018-02-21,46.1945,46.93,46.52,1.0,47.62,46.55,9797843.0,0.0
2018-02-22,46.7701,46.93,46.825,1.0,47.92,47.13,7972897.0,0.0
2018-02-23,48.08,47.48,47.21,1.0,48.655,48.45,8995751.0,0.0
2018-02-26,47.8617,48.24,47.62,1.0,48.46,48.23,8102122.0,0.0
2018-02-27,47.2564,48.32,47.61,1.0,48.94,47.62,5937313.0,0.0
2018-02-28,46.0655,48.01,46.365,1.0,48.1,46.42,10528888.0,0.0
2018-03-01,45.6785,45.93,45.46,1.0,46.905,46.03,10113111.0,0.0
2018-03-02,45.6785,45.71,45.165,1.0,46.2,46.03,6151538.0,0.0
2018-03-05,45.9068,45.58,45.02,1.0,46.46,46.26,11767937.0,0.0
2018-03-06,45.748,46.58,45.62,1.0,46.59,45.92,5634424.0,0.18
2018-03-07,45.6583,45.42,44.98,1.0,45.96,45.83,7735392.0,0.0
2018-03-08,45.8376,45.85,45.56,1.0,46.27,46.01,7899401.0,0.0
2018-03-09,46.814,46.48,46.41,1.0,47.33,46.99,7162598.0,0.0
2018-03-12,46.7442,46.91,46.74,1.0,47.46,46.92,5318737.0,0.0
2018-03-13,45.9273,47.08,45.83,1.0,47.22,46.1,6424544.0,0.0
2018-03-14,46.0668,46.38,46.155,1.0,46.96,46.24,5977820.0,0.0
2018-03-15,45.1203,46.4,45.03,1.0,46.52,45.29,6826608.0,0.0
2018-03-16,45.738,45.37,45.16,1.0,46.2258,45.91,7521413.0,0.0
2018-03-19,44.5126,45.86,44.214,1.0,45.86,44.68,8912612.0,0.0
2018-03-20,45.3196,44.86,44.82,1.0,45.68,45.49,6022199.0,0.0
2018-03-21,46.9335,45.85,45.59,1.0,47.515,47.11,9556127.0,0.0
2018-03-22,46.2063,46.61,46.16,1.0,46.945,46.38,11205584.0,0.0
2018-03-23,46.266,46.57,46.24,1.0,47.84,46.44,11386887.0,0.0
2018-03-26,47.0331,47.01,46.2,1.0,47.385,47.21,8168442.0,0.0
2018-03-27,46.7044,47.44,46.52,1.0,48.08,46.88,9238369.0,0.0
2018-03-28,45.8775,46.76,45.75,1.0,47.09,46.05,9719616.0,0.0
2018-03-29,46.7642,46.24,46.22,1.0,47.25,46.94,12284373.0,0.0
