date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,54.6042,54.83,53.46,1.0,55.435,55.13,4037971.0,0.0
2018-02-07,55.3272,54.84,54.78,1.0,56.57,55.86,2411804.0,0.0
2018-02-08,52.8313,55.82,53.23,1.0,56.19,53.34,4155106.0,0.0
2018-02-09,53.4652,54.07,52.58,1.0,54.44,53.98,3651016.0,0.0
2018-02-12,52.9897,54.3,53.32,1.0,55.09,53.5,3337944.0,0.0
2018-02-13,53.4553,53.32,52.98,1.0,54.14,53.97,1715663.0,0.0
2018-02-14,54.0099,53.72,53.49,1.0,54.595,54.53,1950911.0,0.0
2018-02-15,53.9406,54.91,54.11,1.0,54.93,54.46,2542224.0,0.0
2018-02-16,53.6236,54.28,54.13,1.0,54.9,54.14,3725066.0,0.0
2018-02-20,53.3067,54.03,53.45,1.0,54.42,53.82,2932972.0,0.0
2018-02-21,53.4354,53.88,53.705,1.0,54.615,53.95,2133915.0,0.0
2018-02-22,52.7124,54.02,53.0,1.0,54.38,53.22,2362303.0,0.0
2018-02-23,53.5246,53.43,53.15,1.0,54.08,54.04,1629567.0,0.0
2018-02-26,53.9802,54.26,54.12,1.0,54.74,54.5,1632207.0,0.0
2018-02-27,53.2968,54.31,53.76,1.0,54.85,53.81,2395572.0,0.0
2018-02-28,52.3459,54.03,52.84,1.0,54.23,52.85,1791503.0,0.0
2018-03-01,51.4149,52.75,51.55,1.0,53.07,51.91,2719086.0,0.0
2018-03-02,51.5239,51.33,50.71,1.0,51.88,51.77,2443761.0,0.25
2018-03-05,53.6835,51.39,51.375,1.0,54.23,53.94,5545277.0,0.0
2018-03-06,54.1613,54.08,53.59,1.0,54.56,54.42,3619112.0,0.0
2018-03-07,54.012,53.87,53.71,1.0,54.63,54.27,3103490.0,0.0
2018-03-08,54.1015,54.31,53.77,1.0,54.46,54.36,1706174.0,0.0
2018-03-09,55.8631,54.59,54.43,1.0,56.13,56.13,3661937.0,0.0
2018-03-12,54.9375,56.13,54.99,1.0,56.13,55.2,1841493.0,0.0
2018-03-13,54.0518,55.47,54.22,1.0,55.65,54.31,2344949.0,0.0
2018-03-14,53.6139,54.58,53.71,1.0,54.65,53.87,2830931.0,0.0
2018-03-15,53.5542,54.1,53.5,1.0,54.41,53.81,1859275.0,0.0
2018-03-16,53.6736,54.01,53.65,1.0,54.37,53.93,1772586.0,0.0
2018-03-19,53.1959,53.86,53.18,1.0,54.08,53.45,1934169.0,0.0
2018-03-20,53.4148,53.68,53.67,1.0,53.99,53.67,1733402.0,0.0
2018-03-21,53.1461,53.8,53.4,1.0,54.17,53.4,1768390.0,0.0
2018-03-22,51.6333,52.86,51.83,1.0,53.28,51.88,1906076.0,0.0
2018-03-23,50.0509,51.92,50.15,1.0,52.28,50.29,2309465.0,0.0
2018-03-26,51.2352,51.03,50.43,1.0,51.5,51.48,2239137.0,0.0
2018-03-27,50.867,51.66,50.83,1.0,52.02,51.11,1909828.0,0.0
2018-03-28,51.484,51.22,51.12,1.0,52.15,51.73,2830622.0,0.0
2018-03-29,51.275,51.93,51.52,1.0,52.12,51.52,2586135.0,0.0
