date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,47.8209,45.98,45.78,1.0,48.9,48.62,4325460.0,0.0
2018-02-07,47.6832,48.3,48.02,1.0,49.05,48.48,2262973.0,0.0
2018-02-08,46.7586,48.35,47.54,1.0,48.68,47.54,2521868.0,0.0
2018-02-09,47.0438,48.13,46.87,1.0,48.9,47.83,3497811.0,0.0
2018-02-12,47.5553,48.44,47.42,1.0,48.7599,48.35,1726260.0,0.0
2018-02-13,46.8373,47.81,47.0,1.0,48.04,47.25,2444506.0,0.37
2018-02-14,47.5213,47.0,46.92,1.0,48.44,47.94,3212964.0,0.0
2018-02-15,47.2338,48.17,47.215,1.0,48.37,47.65,2618395.0,0.0
2018-02-16,46.7481,47.63,46.46,1.0,47.74,47.16,4339947.0,0.0
2018-02-20,46.2326,46.92,46.155,1.0,47.02,46.64,2605388.0,0.0
2018-02-21,45.8956,46.67,46.25,1.0,47.37,46.3,2471779.0,0.0
2018-02-22,46.2624,46.5,46.14,1.0,47.04,46.67,2085225.0,0.0
2018-02-23,46.2029,46.75,46.32,1.0,46.975,46.61,1093298.0,0.0
2018-02-26,46.2227,47.12,46.43,1.0,47.36,46.63,8361944.0,0.0
2018-02-27,45.1422,46.77,45.08,1.0,47.0,45.54,3571450.0,0.0
2018-02-28,44.9836,45.61,45.2,1.0,45.94,45.38,2523982.0,0.0
2018-03-01,44.716,45.67,45.04,1.0,45.83,45.11,2721356.0,0.0
2018-03-02,43.8139,44.56,43.48,1.0,44.65,44.2,4234000.0,0.0
2018-03-05,44.8349,43.93,43.9,1.0,45.51,45.23,4832206.0,0.0
2018-03-06,43.9428,45.39,43.86,1.0,45.42,44.33,2988803.0,0.0
2018-03-07,43.5165,43.77,43.4,1.0,44.12,43.9,2279635.0,0.0
2018-03-08,43.9527,44.28,43.67,1.0,44.36,44.34,1642690.0,0.0
2018-03-09,43.9626,44.5,43.79,1.0,44.58,44.35,1413278.0,0.0
2018-03-12,44.4285,44.75,44.51,1.0,45.7,44.82,1939343.0,0.0
2018-03-13,44.4583,45.14,44.65,1.0,45.215,44.85,2055281.0,0.0
2018-03-14,43.0804,45.14,43.3,1.0,45.25,43.46,2366922.0,0.0
2018-03-15,43.0407,43.61,43.34,1.0,44.06,43.42,1665164.0,0.0
2018-03-16,43.7545,43.49,43.49,1.0,44.37,44.14,2399327.0,0.0
2018-03-19,43.1597,43.91,43.23,1.0,44.13,43.54,1854880.0,0.0
2018-03-20,42.6244,43.54,42.3,1.0,43.75,43.0,2829604.0,0.0
2018-03-21,42.902,43.13,43.1,1.0,43.91,43.28,1384632.0,0.0
2018-03-22,41.762,42.85,42.13,1.0,43.25,42.13,1640432.0,0.0
2018-03-23,41.078,42.25,41.33,1.0,42.46,41.44,1397477.0,0.0
2018-03-26,42.0297,41.86,41.35,1.0,42.465,42.4,1792564.0,0.0
2018-03-27,41.653,42.4,41.83,1.0,42.86,42.02,1694047.0,0.0
2018-03-28,42.3072,42.05,42.05,1.0,43.1,42.68,2207326.0,0.0
2018-03-29,42.5055,43.64,42.875,1.0,43.99,42.88,2075420.0,0.0
2018-04-02,41.6827,42.82,41.85,1.0,43.08,42.05,1913093.0,0.0
2018-04-03,42.2477,42.22,42.14,1.0,42.95,42.62,1696632.0,0.0
2018-04-04,42.3171,42.03,42.01,1.0,42.84,42.69,2223768.0,0.0
2018-04-05,42.2378,42.91,42.31,1.0,43.26,42.61,2304990.0,0.0
2018-04-06,41.8215,42.34,41.8,1.0,43.09,42.19,3202601.0,0.0
2018-04-09,41.5836,42.42,41.88,1.0,42.57,41.95,2267492.0,0.0
2018-04-10,42.0098,42.31,42.27,1.0,42.865,42.38,1867944.0,0.0
2018-04-11,41.6827,41.93,41.69,1.0,42.3,42.05,2404380.0,0.0
2018-04-12,41.7719,42.18,42.005,1.0,43.1,42.14,3173426.0,0.0
2018-04-13,41.8314,42.27,41.94,1.0,42.66,42.2,1962915.0,0.0
2018-04-16,41.6728,42.26,41.99,1.0,42.35,42.04,1623886.0,0.0
2018-04-17,41.6232,42.45,41.9,1.0,42.49,41.99,1922705.0,0.0
2018-04-18,41.534,42.17,41.785,1.0,42.29,41.9,3836408.0,0.0
2018-04-19,40.6022,41.9,40.53,1.0,41.9,40.96,2549948.0,0.0
2018-04-20,40.6815,41.08,40.95,1.0,41.315,41.04,2224469.0,0.0
2018-04-23,40.6518,41.07,40.98,1.0,41.75,41.01,3658581.0,0.0
2018-04-24,41.6431,43.08,40.7,1.0,43.12,42.01,6771973.0,0.0
2018-04-25,41.9603,42.17,41.43,1.0,42.56,42.33,3586618.0,0.0
2018-04-26,41.4547,42.49,41.45,1.0,42.53,41.82,2608881.0,0.0
2018-04-27,41.4547,41.57,41.42,1.0,42.01,41.82,1610512.0,0.0
2018-04-30,40.7707,41.86,40.74,1.0,42.0402,41.13,1838336.0,0.0
2018-05-01,40.3742,41.07,40.13,1.0,41.08,40.73,2061243.0,0.0
2018-05-02,39.8687,40.59,40.15,1.0,40.83,40.22,1697566.0,0.0
2018-05-03,39.6704,40.06,39.34,1.0,40.22,40.02,2044323.0,0.0
2018-05-04,40.6419,40.02,39.77,1.0,41.045,41.0,1598103.0,0.0
2018-05-07,40.3941,40.97,40.27,1.0,41.14,40.75,2279390.0,0.0
2018-05-08,39.9579,40.83,40.0,1.0,41.19,40.31,1780583.0,0.0
2018-05-09,39.7497,40.32,40.02,1.0,40.46,40.1,3639718.0,0.0
2018-05-10,40.2751,40.09,39.94,1.0,40.91,40.63,2455648.0,0.0
2018-05-11,40.4139,40.67,40.51,1.0,41.18,40.77,1007666.0,0.0
2018-05-14,40.5229,40.84,40.66,1.0,41.12,40.88,1632913.0,0.0
2018-05-15,40.7707,40.65,40.65,1.0,41.39,41.13,1553465.0,0.0
2018-05-16,41.9503,41.24,41.08,1.0,42.6,42.32,3167487.0,0.0
2018-05-17,42.1982,42.29,41.96,1.0,42.69,42.57,1742340.0,0.0
2018-05-18,42.1288,42.57,42.32,1.0,42.81,42.5,1253457.0,0.0
2018-05-21,42.3072,42.8,42.595,1.0,43.0,42.68,1417434.0,0.0
2018-05-22,42.2576,42.83,42.59,1.0,42.93,42.63,979102.0,0.0
2018-05-23,41.6926,42.43,41.88,1.0,42.52,42.06,1156340.0,0.0
2018-05-24,41.4745,42.0,41.54,1.0,42.09,41.84,1161833.0,0.0
2018-05-25,41.9404,41.61,41.59,1.0,42.39,42.31,1369126.0,0.0
2018-05-29,41.99,41.89,41.81,1.0,42.6,42.36,2025105.0,0.0
