date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,40.39,39.76,39.35,1.0,40.86,40.39,2400568.0,0.0
2018-02-07,40.45,40.15,40.14,1.0,40.78,40.45,2635325.0,0.0
2018-02-08,38.8,40.44,38.8,1.0,40.51,38.8,2916903.0,0.0
2018-02-09,37.75,35.62,35.33,1.0,38.1,37.75,8046912.0,0.0
2018-02-12,38.04,37.79,37.41,1.0,38.68,38.04,4435631.0,0.0
2018-02-13,37.8,37.75,37.5975,1.0,38.19,37.8,3384319.0,0.0
2018-02-14,38.03,37.64,37.25,1.0,38.16,38.03,3299984.0,0.0
2018-02-15,39.18,38.4,38.33,1.0,39.43,39.18,2823517.0,0.0
2018-02-16,39.29,39.12,38.85,1.0,39.56,39.29,3099745.0,0.0
2018-02-20,38.87,39.24,38.74,1.0,39.3,38.87,1396193.0,0.0
2018-02-21,38.85,38.98,38.83,1.0,39.42,38.85,1820036.0,0.0
2018-02-22,38.94,38.86,38.65,1.0,39.21,38.94,2147682.0,0.0
2018-02-23,39.21,39.21,38.38,1.0,39.28,39.21,1457292.0,0.0
2018-02-26,39.83,39.33,38.93,1.0,39.84,39.83,2069323.0,0.0
2018-02-27,39.56,39.86,39.545,1.0,40.14,39.56,1927829.0,0.0
2018-02-28,38.83,39.72,38.83,1.0,39.91,38.83,2725385.0,0.0
2018-03-01,37.99,38.82,37.68,1.0,38.82,37.99,2240877.0,0.0
2018-03-02,38.21,37.71,37.71,1.0,38.44,38.21,2075722.0,0.0
2018-03-05,38.64,37.91,37.91,1.0,38.75,38.64,1566962.0,0.0
2018-03-06,38.41,38.74,37.955,1.0,38.78,38.41,2021746.0,0.0
2018-03-07,38.64,38.24,38.24,1.0,38.875,38.64,2034343.0,0.0
2018-03-08,38.66,38.8,38.415,1.0,38.97,38.66,1992555.0,0.0
2018-03-09,39.57,38.88,38.86,1.0,39.65,39.57,1599333.0,0.0
2018-03-12,38.93,39.53,38.824,1.0,39.84,38.93,1937251.0,0.0
2018-03-13,38.78,39.19,38.57,1.0,39.31,38.78,2339816.0,0.0
2018-03-14,38.44,39.03,38.33,1.0,39.1,38.44,1434168.0,0.0
2018-03-15,38.48,38.46,38.295,1.0,38.895,38.48,1218422.0,0.0
2018-03-16,38.46,38.4,38.4,1.0,38.89,38.46,3052592.0,0.0
2018-03-19,37.84,38.45,37.47,1.0,38.5,37.84,2780374.0,0.0
2018-03-20,37.81,37.95,37.67,1.0,38.17,37.81,2943313.0,0.0
2018-03-21,38.19,37.78,37.78,1.0,38.48,38.19,2704639.0,0.0
2018-03-22,38.15,37.89,37.79,1.0,38.61,38.15,3255771.0,0.0
2018-03-23,37.26,38.2,37.2,1.0,38.47,37.26,1914591.0,0.0
2018-03-26,37.67,37.51,36.71,1.0,37.74,37.67,2690208.0,0.0
2018-03-27,37.63,38.25,37.45,1.0,38.725,37.63,2411107.0,0.0
2018-03-28,37.39,37.53,37.19,1.0,38.1,37.39,2445007.0,0.0
2018-03-29,37.36,37.58,37.35,1.0,37.82,37.36,3060376.0,0.0
2018-04-02,36.64,37.24,36.24,1.0,37.455,36.64,2113416.0,0.0
2018-04-03,36.78,36.83,36.26,1.0,36.96,36.78,4367921.0,0.0
