date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,21.1794,20.65,20.01,1.0,21.49,21.43,20306168.0,0.0
2018-02-07,20.962,21.36,21.0475,1.0,21.525,21.21,11803698.0,0.0
2018-02-08,19.6871,21.27,19.91,1.0,21.34,19.92,16480244.0,0.0
2018-02-09,19.8749,20.21,19.31,1.0,20.31,20.11,13164030.0,0.0
2018-02-12,20.1714,20.29,20.14,1.0,20.625,20.41,12410160.0,0.0
2018-02-13,20.3394,20.3,20.3,1.0,20.66,20.58,11600472.0,0.0
2018-02-14,21.0411,20.44,20.35,1.0,21.35,21.29,12084718.0,0.0
2018-02-15,21.1992,21.48,20.95,1.0,21.53,21.45,7901374.0,0.0
2018-02-16,21.1498,21.4,21.3275,1.0,21.71,21.4,6063183.0,0.0
2018-02-20,21.1399,21.27,21.23,1.0,21.585,21.39,8000645.0,0.0
2018-02-21,20.9225,21.45,21.17,1.0,21.735,21.17,7443505.0,0.0
2018-02-22,21.1399,21.26,21.25,1.0,21.64,21.39,10396070.0,0.0
2018-02-23,21.8713,22.75,22.0,1.0,23.22,22.13,21855893.0,0.0
2018-02-26,23.1857,22.55,22.55,1.0,23.55,23.46,21337455.0,0.0
2018-02-27,23.245,23.37,23.26,1.0,23.83,23.52,15253996.0,0.0
2018-02-28,23.1165,23.67,23.39,1.0,23.9,23.39,13264933.0,0.0
2018-03-01,23.077,23.47,23.02,1.0,23.79,23.35,12042409.0,0.0
2018-03-02,23.2944,23.23,23.08,1.0,23.63,23.57,10112562.0,0.0
2018-03-05,23.413,23.46,23.335,1.0,23.875,23.69,10034124.0,0.0
2018-03-06,23.67,23.8,23.72,1.0,24.15,23.95,9878149.0,0.0
2018-03-07,23.7589,23.7451,23.695,1.0,24.14,24.04,8420580.0,0.0
2018-03-08,23.67,24.15,23.75,1.0,24.24,23.95,6876519.0,0.0
2018-03-09,24.3618,24.06,24.0,1.0,24.75,24.65,12892356.0,0.0
2018-03-12,23.5514,24.69,23.82,1.0,24.69,23.83,19616660.0,0.0
