date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,180.05,177.3,173.4,1.0,180.44,180.05,1334686.0,0.0
2018-02-07,176.83,179.58,175.71,1.0,180.43,176.83,674917.0,0.0
2018-02-08,169.28,175.7,169.2,1.0,176.52,169.28,734095.0,0.0
2018-02-09,172.95,170.41,166.7,1.0,174.43,172.95,653244.0,0.0
2018-02-12,175.06,174.42,172.51,1.0,177.01,175.06,421236.0,0.0
2018-02-13,175.39,173.93,172.37,1.0,176.46,175.39,1125794.0,0.0
2018-02-14,178.26,174.35,173.626,1.0,179.87,178.26,997955.0,0.0
2018-02-15,181.45,179.22,178.0416,1.0,181.52,181.45,587851.0,0.0
2018-02-16,182.48,181.13,180.84,1.0,183.782,182.48,407902.0,0.0
2018-02-20,183.16,182.43,182.43,1.0,185.17,183.16,418879.0,0.0
2018-02-21,183.94,183.36,183.36,1.0,187.6752,183.94,347771.0,0.0
2018-02-22,183.86,184.15,183.25,1.0,187.13,183.86,547780.0,0.0
2018-02-23,187.61,185.12,183.48,1.0,187.63,187.61,457161.0,0.0
2018-02-26,186.09,187.6,185.51,1.0,188.78,186.09,471707.0,0.0
2018-02-27,187.98,186.38,186.21,1.0,188.809,187.98,421347.0,0.0
2018-02-28,187.23,188.8,187.19,1.0,191.899,187.23,724630.0,0.0
2018-03-01,182.51,187.39,181.06,1.0,188.45,182.51,683933.0,0.0
2018-03-02,185.77,181.34,180.331,1.0,186.12,185.77,540134.0,0.0
2018-03-05,191.14,184.37,183.39,1.0,191.63,191.14,644032.0,0.0
2018-03-06,190.59,191.14,187.65,1.0,191.94,190.59,648281.0,0.0
2018-03-07,194.42,189.64,184.5358,1.0,194.93,194.42,474247.0,0.0
2018-03-08,197.45,195.0,193.67,1.0,198.71,197.45,485887.0,0.0
2018-03-09,203.17,198.32,197.81,1.0,203.26,203.17,629103.0,0.0
2018-03-12,204.35,203.44,202.32,1.0,205.9,204.35,468096.0,0.0
2018-03-13,204.53,205.14,202.56,1.0,206.49,204.53,440304.0,0.0
2018-03-14,203.58,205.74,202.51,1.0,205.74,203.58,421907.0,0.0
2018-03-15,203.37,203.38,201.7041,1.0,205.79,203.37,434513.0,0.0
2018-03-16,204.73,203.76,203.32,1.0,207.14,204.73,766957.0,0.0
2018-03-19,199.06,203.47,197.82,1.0,204.116,199.06,619273.0,0.0
2018-03-20,200.72,199.96,198.72,1.0,201.45,200.72,318740.0,0.0
2018-03-21,200.23,200.49,198.3,1.0,201.82,200.23,411614.0,0.0
2018-03-22,193.88,198.21,193.7,1.0,199.05,193.88,532730.0,0.0
2018-03-23,190.31,194.02,190.16,1.0,196.69,190.31,596354.0,0.0
2018-03-26,197.3,192.93,191.59,1.0,197.48,197.3,559868.0,0.0
2018-03-27,190.9,199.18,189.73,1.0,199.42,190.9,483116.0,0.0
2018-03-28,188.79,191.26,187.93,1.0,192.55,188.79,616646.0,0.0
2018-03-29,191.39,189.7,188.37,1.0,193.63,191.39,723035.0,0.0
2018-04-02,186.62,191.29,184.48,1.0,191.95,186.62,479157.0,0.0
2018-04-03,188.71,187.61,186.04,1.0,189.35,188.71,604764.0,0.0
2018-04-04,190.83,186.4,185.51,1.0,191.59,190.83,421228.0,0.0
2018-04-05,190.88,192.3,189.75,1.0,192.99,190.88,363566.0,0.0
2018-04-06,185.56,189.76,183.86,1.0,191.1,185.56,403597.0,0.0
2018-04-09,187.13,186.37,185.67,1.0,190.18,187.13,352744.0,0.0
2018-04-10,193.26,189.3,189.065,1.0,194.56,193.26,401321.0,0.0
2018-04-11,192.41,191.26,190.92,1.0,193.87,192.41,275412.0,0.0
2018-04-12,194.21,193.13,192.886,1.0,195.51,194.21,297204.0,0.0
2018-04-13,191.78,194.76,190.74,1.0,195.015,191.78,301021.0,0.0
2018-04-16,195.62,193.44,191.32,1.0,197.0,195.62,291686.0,0.0
2018-04-17,199.62,196.92,196.19,1.0,200.51,199.62,441765.0,0.0
2018-04-18,200.84,199.66,199.0,1.0,202.26,200.84,260050.0,0.0
2018-04-19,197.82,200.38,196.43,1.0,200.515,197.82,340064.0,0.0
2018-04-20,196.75,198.27,195.81,1.0,199.71,196.75,350758.0,0.0
2018-04-23,197.63,197.7,196.78,1.0,200.35,197.63,212169.0,0.0
2018-04-24,193.85,199.08,192.34,1.0,201.15,193.85,430588.0,0.0
2018-04-25,194.61,193.69,191.54,1.0,195.25,194.61,324514.0,0.0
2018-04-26,199.06,195.15,194.741,1.0,199.55,199.06,400973.0,0.0
2018-04-27,197.19,199.59,195.78,1.0,199.75,197.19,289123.0,0.0
2018-04-30,194.49,197.82,194.09,1.0,198.335,194.49,425522.0,0.0
2018-05-01,195.06,194.02,193.36,1.0,195.48,195.06,447927.0,0.0
2018-05-02,193.17,194.69,192.07,1.0,195.87,193.17,617130.0,0.0
2018-05-03,195.78,191.97,189.415,1.0,195.97,195.78,553137.0,0.0
2018-05-04,212.2,200.0,198.31,1.0,212.47,212.2,939756.0,0.0
2018-05-07,207.53,215.75,206.0,1.0,217.89,207.53,804796.0,0.0
2018-05-08,204.96,205.48,203.15,1.0,207.0,204.96,544368.0,0.0
2018-05-09,206.62,205.82,203.83,1.0,207.95,206.62,292990.0,0.0
2018-05-10,209.1,206.79,206.15,1.0,209.98,209.1,427618.0,0.0
2018-05-11,211.38,209.6,209.3737,1.0,211.8,211.38,329078.0,0.0
2018-05-14,210.88,211.0,209.89,1.0,212.7,210.88,230908.0,0.0
2018-05-15,208.92,209.28,205.63,1.0,209.569,208.92,361252.0,0.0
2018-05-16,199.42,206.0,196.0,1.0,206.0,199.42,1559121.0,0.0
2018-05-17,195.59,199.3,194.04,1.0,200.0,195.59,887357.0,0.0
2018-05-18,200.76,195.87,195.15,1.0,201.25,200.76,539076.0,0.0
2018-05-21,201.19,202.43,200.49,1.0,203.39,201.19,432029.0,0.0
2018-05-22,199.99,201.51,199.73,1.0,201.97,199.99,375124.0,0.0
2018-05-23,204.16,199.44,199.44,1.0,204.56,204.16,516266.0,0.0
2018-05-24,202.37,203.93,202.04,1.0,205.0,202.37,267153.0,0.0
2018-05-25,203.7,202.42,202.42,1.0,204.01,203.7,360286.0,0.0
2018-05-29,205.25,201.94,201.541,1.0,205.48,205.25,496216.0,0.0
2018-05-30,209.08,206.05,206.0,1.0,212.27,209.08,595945.0,0.0
2018-05-31,208.21,208.53,207.83,1.0,211.92,208.21,633077.0,0.0
2018-06-01,215.36,210.51,210.51,1.0,216.96,215.36,608745.0,0.0
2018-06-04,218.81,215.89,215.89,1.0,219.35,218.81,530952.0,0.0
2018-06-05,217.45,219.96,217.3,1.0,220.9,217.45,452787.0,0.0
2018-06-06,219.51,217.44,216.25,1.0,219.62,219.51,387778.0,0.0
2018-06-07,218.04,220.13,214.07,1.0,221.1,218.04,401944.0,0.0
2018-06-08,219.72,218.23,216.99,1.0,219.82,219.72,262796.0,0.0
2018-06-11,221.07,219.72,218.655,1.0,222.3325,221.07,211143.0,0.0
2018-06-12,222.34,221.17,220.642,1.0,223.88,222.34,397129.0,0.0
2018-06-13,222.58,222.74,221.52,1.0,224.5,222.58,410050.0,0.0
2018-06-14,226.08,224.2,222.43,1.0,226.2,226.08,347112.0,0.0
2018-06-15,227.9,227.25,225.47,1.0,229.01,227.9,637893.0,0.0
2018-06-18,226.25,226.17,224.7046,1.0,227.0,226.25,500918.0,0.0
2018-06-19,225.38,224.51,223.56,1.0,226.635,225.38,393612.0,0.0
2018-06-20,224.98,225.55,224.5,1.0,227.39,224.98,245513.0,0.0
2018-06-21,221.91,225.11,220.71,1.0,226.535,221.91,255834.0,0.0
2018-06-22,222.9,222.48,220.64,1.0,224.165,222.9,520128.0,0.0
2018-06-25,217.49,222.03,216.11,1.0,223.75,217.49,401801.0,0.0
2018-06-26,217.34,217.78,216.76,1.0,219.78,217.34,428718.0,0.0
2018-06-27,212.74,218.31,211.66,1.0,219.43,212.74,416272.0,0.0
2018-06-28,217.225,212.33,212.33,1.0,217.225,217.225,159240.0,0.0
