date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,88.11,85.06,84.21,1.0,88.33,88.11,2185100.0,0.0
2018-02-07,86.34,87.25,86.09,1.0,88.05,86.34,1242970.0,0.0
2018-02-08,83.92,86.4,83.88,1.0,87.23,83.92,1645886.0,0.0
2018-02-09,84.5,84.45,80.85,1.0,85.385,84.5,2199530.0,0.0
2018-02-12,87.52,84.99,84.99,1.0,88.36,87.52,1729750.0,0.0
2018-02-13,88.03,87.25,85.891,1.0,88.835,88.03,1654837.0,0.0
2018-02-14,88.17,87.31,86.21,1.0,89.12,88.17,2226070.0,0.0
2018-02-15,85.59,87.9,83.75,1.0,88.59,85.59,2467019.0,0.0
2018-02-16,86.03,85.55,84.51,1.0,88.2284,86.03,2383055.0,0.0
2018-02-20,85.51,85.6,84.58,1.0,87.561,85.51,1350655.0,0.0
2018-02-21,84.71,85.36,84.66,1.0,86.985,84.71,1360283.0,0.0
2018-02-22,85.19,85.14,85.02,1.0,87.54,85.19,1311878.0,0.0
2018-02-23,87.8,85.43,84.88,1.0,88.015,87.8,1440106.0,0.0
2018-02-26,87.53,88.5,87.12,1.0,91.2835,87.53,996576.0,0.0
2018-02-27,86.57,87.68,86.39,1.0,88.74,86.57,1004818.0,0.0
2018-02-28,85.16,86.55,85.14,1.0,87.1102,85.16,1331257.0,0.0
2018-03-01,83.09,84.88,81.25,1.0,85.0,83.09,2434169.0,0.0
2018-03-02,86.61,82.3,82.05,1.0,86.89,86.61,1274237.0,0.0
2018-03-05,90.97,86.16,85.35,1.0,91.23,90.97,1883169.0,0.0
2018-03-06,91.09,91.21,89.86,1.0,92.7,91.09,1657290.0,0.0
2018-03-07,91.7,90.53,90.5283,1.0,92.19,91.7,1409877.0,0.0
2018-03-08,92.42,91.81,90.8473,1.0,92.74,92.42,1200356.0,0.0
2018-03-09,94.23,93.02,92.86,1.0,94.79,94.23,1524490.0,0.0
2018-03-12,94.45,94.55,93.7,1.0,95.1599,94.45,1370038.0,0.0
2018-03-13,94.63,94.57,93.47,1.0,95.64,94.63,1663539.0,0.0
2018-03-14,92.26,95.4,92.0039,1.0,96.33,92.26,2639708.0,0.0
2018-03-15,88.69,92.29,87.95,1.0,93.25,88.69,1666599.0,0.0
2018-03-16,90.03,89.2,87.36,1.0,90.56,90.03,1771413.0,0.0
2018-03-19,86.27,89.5,85.13,1.0,89.71,86.27,1586332.0,0.0
2018-03-20,87.01,86.5,85.8701,1.0,87.3441,87.01,1451587.0,0.0
2018-03-21,88.79,87.45,87.06,1.0,89.75,88.79,1169867.0,0.0
2018-03-22,85.25,87.64,85.18,1.0,88.5,85.25,1915326.0,0.0
2018-03-23,83.06,85.0,82.765,1.0,85.6899,83.06,1220176.0,0.0
2018-03-26,86.37,84.5,82.78,1.0,86.47,86.37,1126323.0,0.0
2018-03-27,85.03,86.93,84.57,1.0,88.66,85.03,1593065.0,0.0
2018-03-28,84.96,86.05,84.33,1.0,87.89,84.96,1685383.0,0.0
2018-03-29,83.33,85.06,83.31,1.0,85.68,83.33,1592479.0,0.0
2018-04-02,80.56,82.81,79.39,1.0,83.38,80.56,1736715.0,0.0
2018-04-03,81.89,81.0,79.27,1.0,82.46,81.89,1073263.0,0.0
2018-04-04,83.98,80.84,80.3142,1.0,84.4,83.98,1184198.0,0.0
2018-04-05,83.07,84.8,82.54,1.0,84.8,83.07,1216533.0,0.0
2018-04-06,64.02,65.99,63.43,1.0,69.49,64.02,26083758.0,0.0
2018-04-09,65.36,64.57,61.3,1.0,67.23,65.36,7900003.0,0.0
2018-04-10,68.12,66.21,65.4,1.0,68.66,68.12,2940803.0,0.0
2018-04-11,66.29,67.51,65.75,1.0,69.11,66.29,2204525.0,0.0
2018-04-12,69.83,67.41,67.05,1.0,70.58,69.83,4386117.0,0.0
2018-04-13,70.12,70.32,68.89,1.0,70.62,70.12,2260239.0,0.0
2018-04-16,70.37,70.49,68.76,1.0,71.245,70.37,2217033.0,0.0
2018-04-17,70.52,70.68,70.06,1.0,71.08,70.52,1718266.0,0.0
2018-04-18,70.07,70.47,69.93,1.0,71.18,70.07,1714256.0,0.0
2018-04-19,69.05,67.72,67.0101,1.0,70.38,69.05,3672468.0,0.0
2018-04-20,68.43,69.29,67.7501,1.0,69.41,68.43,3355104.0,0.0
2018-04-23,68.14,68.83,67.7,1.0,69.91,68.14,2620370.0,0.0
2018-04-24,62.35,65.66,62.07,1.0,66.255,62.35,7408487.0,0.0
2018-04-25,62.99,62.61,62.3501,1.0,63.9299,62.99,3689835.0,0.0
2018-04-26,62.61,63.47,61.61,1.0,63.47,62.61,3066245.0,0.0
2018-04-27,62.96,62.83,62.45,1.0,63.62,62.96,2889862.0,0.0
2018-04-30,61.94,62.99,61.5,1.0,63.14,61.94,2863900.0,0.0
2018-05-01,60.85,62.0,60.625,1.0,62.93,60.85,2842132.0,0.0
2018-05-02,61.05,60.94,60.9,1.0,62.21,61.05,3522949.0,0.0
