date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,160.5005,155.21,152.611,1.0,160.91,160.87,1921429.0,0.0
2018-02-07,160.9195,159.75,159.14,1.0,165.305,161.29,1472350.0,0.0
2018-02-08,152.3991,161.28,152.66,1.0,161.28,152.75,1386481.0,0.0
2018-02-09,156.6992,152.72,150.43,1.0,158.38,157.06,1964027.0,0.0
2018-02-12,159.0139,159.21,157.5,1.0,160.78,159.38,1347698.0,0.0
2018-02-13,158.9939,156.93,155.0212,1.0,160.2,159.36,1232053.0,0.0
2018-02-14,163.5235,158.85,158.1328,1.0,164.06,163.9,1191975.0,0.0
2018-02-15,168.9211,164.73,163.38,1.0,169.32,169.31,1136507.0,0.0
2018-02-16,171.2956,169.02,168.81,1.0,173.0,171.69,1653221.0,0.0
2018-02-20,173.1713,171.0,170.55,1.0,174.55,173.57,1791561.0,0.0
2018-02-21,172.9219,174.5,173.21,1.0,176.255,173.32,1447456.0,0.0
2018-02-22,171.7047,173.89,171.58,1.0,177.51,172.1,1979877.0,0.0
2018-02-23,171.3854,167.9,164.85,1.0,172.3,171.78,3174674.0,0.0
2018-02-26,172.2734,171.75,169.93,1.0,172.86,172.67,2238549.0,0.0
2018-02-27,169.9587,172.36,170.26,1.0,173.155,170.35,1665940.0,0.0
2018-02-28,166.4767,171.38,166.8,1.0,172.11,166.86,1625214.0,0.0
2018-03-01,163.9625,167.4,163.24,1.0,168.14,164.34,1794290.0,0.0
2018-03-02,168.4522,162.84,162.594,1.0,169.21,168.84,1896110.0,0.0
2018-03-05,169.7891,167.59,167.0,1.0,171.41,170.18,1301835.0,0.0
2018-03-06,169.0707,170.9,168.79,1.0,171.09,169.46,1262618.0,0.0
2018-03-07,170.268,168.58,168.26,1.0,171.16,170.66,1352306.0,0.0
2018-03-08,171.0761,171.04,169.82,1.0,171.62,171.47,790847.0,0.0
2018-03-09,176.763,172.38,172.02,1.0,177.26,177.17,1668884.0,0.0
2018-03-12,176.9227,177.43,176.54,1.0,178.61,177.33,1964898.0,0.0
2018-03-13,177.2719,177.67,176.57,1.0,179.17,177.68,1670541.0,0.0
2018-03-14,176.8827,178.8,176.26,1.0,178.9899,177.29,1017469.0,0.0
2018-03-15,177.5213,177.27,176.72,1.0,178.418,177.93,1222458.0,0.0
2018-03-16,178.1798,178.16,177.51,1.0,179.3,178.59,1449541.0,0.0
2018-03-19,175.3363,177.34,173.475,1.0,177.565,175.74,1261676.0,0.0
2018-03-20,177.7408,176.14,175.2372,1.0,178.99,178.15,1390744.0,0.0
2018-03-21,176.2542,177.6,175.81,1.0,178.88,176.66,1248960.0,0.0
2018-03-22,174.4284,174.78,174.0,1.0,177.09,174.83,1521962.0,0.0
2018-03-23,169.4798,174.8,169.84,1.0,176.67,169.87,1649296.0,0.0
2018-03-26,174.1291,173.01,171.64,1.0,174.66,174.53,2519093.0,0.0
2018-03-27,172.852,176.12,172.16,1.0,177.09,173.25,1661300.0,0.0
2018-03-28,170.5374,173.44,170.38,1.0,174.06,170.93,1592909.0,0.0
2018-03-29,172.9518,172.31,169.875,1.0,175.15,173.35,1243973.0,0.0
2018-04-02,169.4898,173.01,167.71,1.0,173.87,169.88,1797204.0,0.0
2018-04-03,170.0784,170.77,167.67,1.0,170.77,170.47,1400116.0,0.0
2018-04-04,172.6525,168.39,167.43,1.0,173.79,173.05,2023995.0,0.0
2018-04-05,171.4353,174.19,171.06,1.0,174.61,171.83,2026796.0,0.0
