date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,242.54,227.71,223.0,1.0,242.625,242.54,494212.0,0.0
2018-02-07,237.65,241.99,235.59,1.0,244.64,237.65,367857.0,0.0
2018-02-08,226.98,239.05,226.79,1.0,241.49,226.98,440225.0,0.0
2018-02-09,232.44,229.86,221.5,1.0,236.15,232.44,410358.0,0.0
2018-02-12,239.4,233.93,233.93,1.0,241.219,239.4,321386.0,0.0
2018-02-13,243.7,238.05,236.47,1.0,243.87,243.7,236195.0,0.0
2018-02-14,252.46,242.78,242.78,1.0,252.67,252.46,301272.0,0.0
2018-02-15,259.07,254.49,251.21,1.0,259.46,259.07,499843.0,0.0
2018-02-16,239.36,247.19,226.5301,1.0,250.665,239.36,1506373.0,0.0
2018-02-20,239.09,240.01,236.84,1.0,246.05,239.09,634481.0,0.0
2018-02-21,247.95,239.69,239.69,1.0,250.9,247.95,708494.0,0.0
2018-02-22,239.72,248.26,237.74,1.0,250.54,239.72,321570.0,0.0
2018-02-23,242.17,241.25,239.7,1.0,243.71,242.17,267149.0,0.0
2018-02-26,248.11,242.88,242.55,1.0,248.46,248.11,348035.0,0.0
2018-02-27,245.65,248.53,244.31,1.0,250.0,245.65,340085.0,0.0
2018-02-28,245.64,246.94,244.74,1.0,250.72,245.64,362351.0,0.0
2018-03-01,243.96,245.01,239.48,1.0,246.62,243.96,409217.0,0.0
2018-03-02,244.8,241.03,235.01,1.0,245.28,244.8,327976.0,0.0
2018-03-05,235.98,242.0,233.73,1.0,242.0,235.98,990244.0,0.0
2018-03-06,241.44,236.31,234.01,1.0,241.64,241.44,9167474.0,0.0
2018-03-07,242.76,240.18,237.8,1.0,244.11,242.76,813187.0,0.0
2018-03-08,243.8,245.53,241.48,1.0,245.53,243.8,405472.0,0.0
2018-03-09,249.28,244.83,243.97,1.0,253.55,249.28,599276.0,0.0
2018-03-12,254.72,250.17,249.65,1.0,255.32,254.72,547359.0,0.0
2018-03-13,255.55,255.74,252.36,1.0,260.615,255.55,671123.0,0.0
2018-03-14,253.28,256.01,251.92,1.0,257.37,253.28,597548.0,0.0
2018-03-15,249.19,253.25,249.0,1.0,256.68,249.19,516095.0,0.0
2018-03-16,246.9,250.62,243.83,1.0,252.105,246.9,846074.0,0.0
2018-03-19,247.42,245.09,241.72,1.0,248.47,247.42,555768.0,0.0
2018-03-20,252.63,248.56,247.5,1.0,252.64,252.63,438709.0,0.0
2018-03-21,251.08,252.15,250.91,1.0,255.84,251.08,248576.0,0.0
2018-03-22,239.73,247.3,239.645,1.0,248.91,239.73,371838.0,0.0
2018-03-23,231.41,240.03,231.29,1.0,242.5399,231.41,387275.0,0.0
2018-03-26,240.5,236.19,234.645,1.0,241.32,240.5,390911.0,0.0
2018-03-27,229.76,241.3,228.18,1.0,244.99,229.76,453003.0,0.0
2018-03-28,225.78,229.61,223.45,1.0,232.24,225.78,389317.0,0.0
2018-03-29,233.38,227.57,227.57,1.0,238.43,233.38,464241.0,0.0
2018-04-02,224.92,232.64,222.23,1.0,234.19,224.92,492894.0,0.0
2018-04-03,231.75,227.04,226.01,1.0,232.79,231.75,416489.0,0.0
2018-04-04,224.2,225.34,219.2875,1.0,226.59,224.2,783849.0,0.0
2018-04-05,228.99,226.57,226.4867,1.0,230.57,228.99,539823.0,0.0
2018-04-06,222.47,226.48,220.57,1.0,229.48,222.47,345139.0,0.0
2018-04-09,222.9,224.69,222.61,1.0,228.39,222.9,318533.0,0.0
2018-04-10,229.34,228.03,225.12,1.0,231.2599,229.34,234489.0,0.0
2018-04-11,229.77,227.27,227.25,1.0,231.975,229.77,278999.0,0.0
2018-04-12,227.58,231.09,227.13,1.0,233.8657,227.58,303973.0,0.0
2018-04-13,230.36,229.67,227.46,1.0,231.59,230.36,265660.0,0.0
2018-04-16,232.47,231.56,228.995,1.0,233.49,232.47,245475.0,0.0
2018-04-17,235.64,234.31,232.26,1.0,236.83,235.64,332699.0,0.0
2018-04-18,236.37,237.24,231.03,1.0,237.88,236.37,402352.0,0.0
2018-04-19,231.09,235.05,229.88,1.0,236.23,231.09,319837.0,0.0
2018-04-20,232.13,231.71,230.4,1.0,234.54,232.13,239181.0,0.0
2018-04-23,225.63,231.94,224.33,1.0,232.659,225.63,233188.0,0.0
2018-04-24,217.94,226.92,216.44,1.0,227.36,217.94,334454.0,0.0
2018-04-25,214.09,218.17,213.14,1.0,219.44,214.09,446516.0,0.0
2018-04-26,215.66,215.33,214.78,1.0,218.51,215.66,388129.0,0.0
2018-04-27,212.0,215.7,210.45,1.0,216.05,212.0,629682.0,0.0
2018-04-30,213.03,211.92,210.8001,1.0,215.52,213.03,721339.0,0.0
2018-05-01,233.29,213.01,213.01,1.0,233.85,233.29,1285069.0,0.0
2018-05-02,226.43,233.13,223.51,1.0,235.11,226.43,596825.0,0.0
2018-05-03,229.86,227.07,225.68,1.0,231.2,229.86,514070.0,0.0
2018-05-04,233.36,229.0,226.238,1.0,235.225,233.36,382782.0,0.0
2018-05-07,233.98,234.73,231.7609,1.0,235.555,233.98,379586.0,0.0
2018-05-08,233.97,232.82,231.31,1.0,234.79,233.97,227354.0,0.0
2018-05-09,244.5,235.31,234.755,1.0,244.58,244.5,429508.0,0.0
2018-05-10,251.1,245.54,244.22,1.0,251.23,251.1,486256.0,0.0
2018-05-11,251.47,251.58,248.3878,1.0,253.0,251.47,253270.0,0.0
2018-05-14,252.98,252.64,251.2603,1.0,256.7159,252.98,273146.0,0.0
2018-05-15,251.77,250.58,248.31,1.0,252.35,251.77,308630.0,0.0
2018-05-16,252.47,255.6517,249.9,1.0,255.6517,252.47,241070.0,0.0
2018-05-17,246.74,252.2,246.24,1.0,253.0,246.74,360044.0,0.0
2018-05-18,242.46,246.5,241.81,1.0,246.5,242.46,342919.0,0.0
2018-05-21,245.66,245.08,243.805,1.0,248.3,245.66,219169.0,0.0
2018-05-22,245.02,247.55,244.73,1.0,248.42,245.02,211119.0,0.0
2018-05-23,246.16,243.58,241.9423,1.0,246.32,246.16,286801.0,0.0
2018-05-24,248.17,245.25,243.45,1.0,248.86,248.17,267968.0,0.0
2018-05-25,249.94,247.54,247.265,1.0,251.8699,249.94,241419.0,0.0
2018-05-29,248.62,248.38,247.26,1.0,251.51,248.62,227492.0,0.0
2018-05-30,245.97,250.06,245.87,1.0,251.94,245.97,269446.0,0.0
2018-05-31,241.27,245.97,241.08,1.0,247.38,241.27,404755.0,0.0
2018-06-01,246.98,243.67,241.79,1.0,248.38,246.98,374147.0,0.0
2018-06-04,252.8,248.83,248.135,1.0,253.57,252.8,290985.0,0.0
2018-06-05,256.25,252.8,252.0,1.0,256.7,256.25,318148.0,0.0
2018-06-06,260.86,256.42,254.97,1.0,261.33,260.86,355514.0,0.0
2018-06-07,248.48,261.13,246.52,1.0,261.77,248.48,342632.0,0.0
2018-06-08,248.95,247.5,245.56,1.0,249.57,248.95,238009.0,0.0
2018-06-11,245.34,249.39,243.9,1.0,249.39,245.34,245985.0,0.0
2018-06-12,244.28,245.67,243.0,1.0,246.37,244.28,181928.0,0.0
2018-06-13,241.34,246.24,240.4501,1.0,246.24,241.34,240690.0,0.0
2018-06-14,241.16,243.33,239.6573,1.0,243.51,241.16,275711.0,0.0
2018-06-15,240.98,239.99,237.11,1.0,241.27,240.98,505929.0,0.0
2018-06-18,243.84,238.57,234.66,1.0,245.0,243.84,447803.0,0.0
2018-06-19,239.38,240.7,231.51,1.0,242.01,239.38,448463.0,0.0
2018-06-20,239.09,239.7,237.771,1.0,241.37,239.09,235909.0,0.0
2018-06-21,234.65,239.26,233.77,1.0,241.49,234.65,308456.0,0.0
2018-06-22,234.25,236.14,230.99,1.0,236.315,234.25,472134.0,0.0
2018-06-25,219.91,231.0,217.8519,1.0,231.24,219.91,581501.0,0.0
2018-06-26,222.33,220.45,217.01,1.0,225.31,222.33,296665.0,0.0
2018-06-27,215.19,223.53,213.39,1.0,224.29,215.19,390507.0,0.0
2018-06-28,214.0468,213.91,208.72,1.0,215.105,214.0468,494886.0,0.0
