date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,90.8293,88.71,87.83,1.0,92.29,91.75,3030386.0,0.0
2018-02-07,90.2749,91.73,91.15,1.0,93.61,91.19,2109823.0,0.0
2018-02-08,86.721,91.13,87.54,1.0,91.28,87.6,2084184.0,0.0
2018-02-09,88.2653,88.71,85.75,1.0,89.88,89.16,2348011.0,0.0
2018-02-12,89.9977,89.88,89.672,1.0,91.73,90.91,1483128.0,0.0
2018-02-13,89.3543,90.05,89.63,1.0,90.91,90.26,1171098.0,0.0
2018-02-14,89.483,89.69,89.33,1.0,90.73,90.39,1851223.0,0.0
2018-02-15,91.0867,91.26,89.871,1.0,92.36,92.01,1579947.0,0.0
2018-02-16,90.1165,91.73,90.79,1.0,93.24,91.03,1961238.0,0.0
2018-02-20,89.1365,90.49,89.7,1.0,91.2,90.04,1620386.0,0.0
2018-02-21,89.1068,90.2,89.3,1.0,91.25,90.01,2949511.0,0.0
2018-02-22,89.4038,90.59,90.1,1.0,91.6,90.31,1295138.0,0.0
2018-02-23,89.2454,90.98,89.57,1.0,91.14,90.15,1415677.0,0.0
2018-02-26,89.7403,90.29,89.21,1.0,90.98,90.65,2160706.0,0.0
2018-02-27,89.1761,90.73,90.08,1.0,91.77,90.08,1530635.0,0.0
2018-02-28,87.9089,90.54,88.79,1.0,91.39,88.8,1806152.0,0.0
2018-03-01,85.0083,88.98,85.81,1.0,89.05,85.87,2665542.0,0.0
2018-03-02,85.4241,85.1,84.05,1.0,86.57,86.29,2858215.0,0.0
2018-03-05,85.3548,85.82,85.04,1.0,86.63,86.22,3552229.0,0.0
2018-03-06,86.1171,86.77,85.95,1.0,87.9,86.99,1970710.0,0.0
2018-03-07,86.3547,85.78,85.77,1.0,87.5,87.23,1992312.0,0.0
2018-03-08,87.0476,87.2,86.58,1.0,87.65,87.48,1926393.0,0.45
2018-03-09,89.187,88.26,87.87,1.0,89.64,89.63,2017961.0,0.0
2018-03-12,87.6447,89.65,87.9,1.0,89.96,88.08,1375140.0,0.0
2018-03-13,87.8039,88.53,87.81,1.0,89.35,88.24,1404137.0,0.0
2018-03-14,87.8835,88.87,87.8,1.0,89.19,88.32,1399151.0,0.0
2018-03-15,89.7741,88.5,88.12,1.0,90.32,90.22,2319798.0,0.0
2018-03-16,89.0378,90.15,88.96,1.0,90.2,89.48,2250707.0,0.0
2018-03-19,88.0825,89.28,87.63,1.0,89.4,88.52,941833.0,0.0
2018-03-20,88.5203,88.79,88.64,1.0,90.0225,88.96,1119451.0,0.0
2018-03-21,88.5502,89.15,88.85,1.0,90.09,88.99,1353892.0,0.0
2018-03-22,85.6546,87.99,85.85,1.0,87.99,86.08,1263808.0,0.0
2018-03-23,83.4455,86.36,83.61,1.0,86.67,83.86,1554326.0,0.0
2018-03-26,85.7441,85.05,84.34,1.0,86.28,86.17,1519026.0,0.0
2018-03-27,84.5799,86.58,84.55,1.0,86.815,85.0,1284040.0,0.0
2018-03-28,83.5351,85.1,83.6,1.0,85.65,83.95,1406402.0,0.0
2018-03-29,85.0874,84.47,84.47,1.0,86.27,85.51,995485.0,0.0
2018-04-02,82.739,85.15,81.931,1.0,85.68,83.15,1516685.0,0.0
2018-04-03,84.0625,83.5,82.81,1.0,84.52,84.48,1138389.0,0.0
