date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,130.0334,130.01,128.0,1.0,132.99,131.83,19102631.0,0.0
2018-02-07,129.629,131.89,131.35,1.0,133.43,131.42,10436291.0,0.0
2018-02-08,124.6379,130.91,126.11,1.0,131.25,126.36,11617736.0,0.0
2018-02-09,127.7647,127.52,125.44,1.0,130.92,129.53,14917886.0,0.0
2018-02-12,128.4946,130.0,127.6755,1.0,131.32,130.27,9874716.0,0.0
2018-02-13,128.1889,129.21,128.7,1.0,130.6,129.96,6329022.0,0.0
2018-02-14,127.9028,129.44,128.39,1.0,130.015,129.67,6237364.0,0.0
2018-02-15,129.4416,130.1,129.4,1.0,131.28,131.23,5591782.0,0.0
2018-02-16,131.3354,130.96,130.84,1.0,134.45,133.15,7917284.0,0.0
2018-02-20,129.0865,132.87,130.66,1.0,133.45,130.87,6508157.0,0.0
2018-02-21,128.1395,130.8,129.86,1.0,132.4348,129.91,6254076.0,0.0
2018-02-22,128.1395,130.1,129.48,1.0,131.02,129.91,5719462.0,0.0
2018-02-23,130.2208,130.09,130.02,1.0,132.08,132.02,4995038.0,0.0
2018-02-26,131.0987,131.71,131.0,1.0,133.4055,132.07,6648513.0,0.84
2018-02-27,130.7016,132.21,131.6,1.0,133.09,131.67,7072577.0,0.0
2018-02-28,128.9248,131.95,129.87,1.0,132.33,129.88,7898371.0,0.0
2018-03-01,126.3439,129.11,126.52,1.0,130.12,127.28,9424007.0,0.0
2018-03-02,127.8726,126.91,126.91,1.0,129.11,128.82,6910426.0,0.0
2018-03-05,128.8354,128.63,128.18,1.0,130.3,129.79,5799799.0,0.0
2018-03-06,127.277,130.0,127.92,1.0,130.2,128.22,5546530.0,0.0
2018-03-07,128.0909,127.48,127.27,1.0,129.33,129.04,6391661.0,0.0
2018-03-08,131.0887,129.33,129.33,1.0,132.3,132.06,6293127.0,0.0
2018-03-09,132.8159,132.51,131.56,1.0,133.82,133.8,6899702.0,0.0
2018-03-12,131.6545,133.8,132.32,1.0,134.23,132.63,4885880.0,0.0
