date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,20.7819,20.13,19.9,1.0,21.085,21.01,18614346.0,0.0
2018-02-07,20.9006,20.92,20.85,1.0,21.45,21.13,12233729.0,0.0
2018-02-08,19.862,21.21,20.07,1.0,21.21,20.08,12782142.0,0.0
2018-02-09,20.1686,20.38,19.64,1.0,20.56,20.39,16387713.0,0.0
2018-02-12,20.3665,20.51,20.29,1.0,20.845,20.59,10320081.0,0.0
2018-02-13,20.3269,20.44,20.28,1.0,20.59,20.55,9695097.0,0.0
2018-02-14,20.9402,20.5,20.43,1.0,21.19,21.17,10224822.0,0.0
2018-02-15,20.7226,21.28,20.89,1.0,21.32,20.95,8406793.0,0.0
2018-02-16,20.7918,20.85,20.82,1.0,21.16,21.02,6801618.0,0.0
2018-02-20,20.7226,20.97,20.82,1.0,21.31,20.95,6565718.0,0.0
2018-02-21,20.8215,20.92,20.88,1.0,21.38,21.05,6875361.0,0.0
2018-02-22,20.3071,21.16,20.52,1.0,21.185,20.53,8058734.0,0.0
2018-02-23,20.7423,20.67,20.61,1.0,20.97,20.97,7222261.0,0.0
2018-02-26,21.0539,21.04,20.85,1.0,21.22,21.18,7657542.0,0.105
2018-02-27,21.034,21.24,21.16,1.0,21.73,21.16,13814734.0,0.0
2018-02-28,21.0042,21.24,21.1,1.0,21.61,21.13,15237738.0,0.0
2018-03-01,20.875,21.18,20.78,1.0,21.38,21.0,13067207.0,0.0
2018-03-02,21.213,20.88,20.56,1.0,21.42,21.34,13021001.0,0.0
2018-03-05,21.3223,21.04,20.895,1.0,21.575,21.45,9163670.0,0.0
2018-03-06,21.5708,21.56,21.18,1.0,21.73,21.7,8532127.0,0.0
2018-03-07,21.8392,21.51,21.47,1.0,22.06,21.97,9252943.0,0.0
2018-03-08,21.6802,22.02,21.46,1.0,22.105,21.81,9405549.0,0.0
2018-03-09,22.0182,22.03,21.84,1.0,22.15,22.15,7129933.0,0.0
2018-03-12,21.6702,22.14,21.775,1.0,22.4,21.8,9781249.0,0.0
2018-03-13,21.2329,21.88,21.28,1.0,21.92,21.36,13018174.0,0.0
2018-03-14,20.7955,21.46,20.87,1.0,21.51,20.92,12718432.0,0.0
2018-03-15,20.7855,21.03,20.82,1.0,21.09,20.91,6295508.0,0.0
2018-03-16,20.8352,20.98,20.8432,1.0,21.125,20.96,14661376.0,0.0
2018-03-19,20.7955,20.99,20.68,1.0,21.06,20.92,7861474.0,0.0
2018-03-20,20.8054,20.96,20.855,1.0,21.09,20.93,5438957.0,0.0
2018-03-21,20.8452,20.94,20.76,1.0,21.23,20.97,6678959.0,0.0
2018-03-22,19.9008,20.66,19.97,1.0,20.785,20.02,8531931.0,0.0
2018-03-23,18.9267,20.01,19.0,1.0,20.19,19.04,15043692.0,0.0
