date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,14.3822,14.57,14.33,1.0,14.79,14.67,7505979.0,0.0
2018-02-07,14.2351,14.67,14.51,1.0,14.9406,14.52,5329633.0,0.0
2018-02-08,13.7351,14.41,14.0,1.0,14.52,14.01,7050457.0,0.0
2018-02-09,13.9018,14.11,13.7,1.0,14.235,14.18,11241158.0,0.0
2018-02-12,14.039,14.22,13.9,1.0,14.4,14.32,7084106.0,0.0
2018-02-13,14.0586,14.32,14.09,1.0,14.48,14.34,4140356.0,0.0
2018-02-14,13.9802,14.2,13.99,1.0,14.395,14.26,5105431.0,0.0
2018-02-15,14.3822,14.65,14.47,1.0,14.99,14.67,9580781.0,0.0
2018-02-16,14.9018,14.62,14.62,1.0,15.23,15.2,7702852.0,0.0
2018-02-20,14.9508,15.23,15.21,1.0,15.585,15.25,7192850.0,0.0
2018-02-21,14.392,15.25,14.67,1.0,15.285,14.68,4513954.0,0.0
2018-02-22,14.6959,14.67,14.63,1.0,15.235,14.99,4541225.0,0.0
2018-02-23,14.9606,15.06,14.86,1.0,15.27,15.26,3610898.0,0.0
2018-02-26,15.1861,15.4,15.22,1.0,15.56,15.49,4747222.0,0.0
2018-02-27,14.5586,15.53,14.84,1.0,15.62,14.85,4814073.0,0.0
2018-02-28,14.6665,14.94,14.9,1.0,15.13,14.96,7688964.0,0.0
2018-03-01,14.8625,14.88,14.82,1.0,15.42,15.16,3904719.0,0.0
2018-03-02,14.99,15.19,14.97,1.0,15.315,15.29,3438194.0,0.0
2018-03-05,14.8429,15.04,15.0,1.0,15.37,15.14,6681382.0,0.0
2018-03-06,14.6665,15.14,14.92,1.0,15.2,14.96,6051322.0,0.0
2018-03-07,14.9116,14.95,14.92,1.0,15.24,15.21,4502234.0,0.0
2018-03-08,14.8429,15.16,15.07,1.0,15.26,15.14,3138387.0,0.0
2018-03-09,14.1959,15.1,14.3,1.0,15.12,14.48,7359021.0,0.0
2018-03-12,14.4018,14.43,14.41,1.0,14.735,14.69,6203538.0,0.0
2018-03-13,14.392,14.76,14.595,1.0,14.885,14.68,4592012.0,0.0
