date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,103.9638,99.12,98.73,1.0,105.3,105.23,2045653.0,0.0
2018-02-07,101.4247,104.37,102.07,1.0,105.43,102.66,1599780.0,0.0
2018-02-08,97.3543,103.01,97.58,1.0,103.837,98.54,2213459.0,0.0
2018-02-09,99.6859,99.71,96.12,1.0,101.8099,100.9,1567226.0,0.0
2018-02-12,102.6597,101.75,101.2,1.0,104.81,103.91,1682974.0,0.0
2018-02-13,102.956,103.31,102.755,1.0,104.62,104.21,1924134.0,0.0
2018-02-14,106.7597,103.09,102.89,1.0,108.43,107.47,2049460.0,0.59
2018-02-15,108.1505,108.75,103.71,1.0,109.29,108.87,2878498.0,0.0
2018-02-16,106.8094,108.54,107.45,1.0,110.77,107.52,1743695.0,0.0
2018-02-20,109.8194,107.28,107.0,1.0,112.0736,110.55,2009169.0,0.0
2018-02-21,108.9452,110.81,109.24,1.0,111.48,109.67,1557705.0,0.0
2018-02-22,108.1902,111.67,108.29,1.0,111.9,108.91,1498293.0,0.0
2018-02-23,109.7399,109.93,108.72,1.0,110.66,110.47,1254679.0,0.0
2018-02-26,113.9121,111.19,111.19,1.0,114.72,114.67,1120383.0,0.0
2018-02-27,112.7101,114.47,113.04,1.0,115.605,113.46,907501.0,0.0
2018-02-28,112.5611,114.19,112.98,1.0,115.0,113.31,1071358.0,0.0
2018-03-01,110.475,112.92,110.25,1.0,114.69,111.21,1193146.0,0.0
2018-03-02,112.2631,110.05,109.39,1.0,113.28,113.01,962660.0,0.0
2018-03-05,113.0777,112.61,111.79,1.0,115.13,113.83,878221.0,0.0
2018-03-06,115.3029,114.77,114.19,1.0,116.72,116.07,1038540.0,0.0
2018-03-07,116.6738,115.3,115.14,1.0,117.84,117.45,1298232.0,0.0
2018-03-08,116.2267,118.05,116.365,1.0,118.07,117.0,718655.0,0.0
2018-03-09,120.3493,117.67,117.01,1.0,121.34,121.15,1196402.0,0.0
2018-03-12,121.5811,122.0,121.02,1.0,123.11,122.39,1009125.0,0.0
2018-03-13,119.6837,123.41,120.05,1.0,123.96,120.48,1094739.0,0.0
2018-03-14,119.644,121.84,119.72,1.0,121.89,120.44,868849.0,0.0
2018-03-15,120.0116,120.56,119.84,1.0,122.46,120.81,946547.0,0.0
2018-03-16,119.8228,121.51,120.15,1.0,121.615,120.62,1574409.0,0.0
2018-03-19,115.2135,118.31,111.05,1.0,118.95,115.98,4071455.0,0.0
2018-03-20,116.4155,115.71,114.86,1.0,118.78,117.19,2796391.0,0.0
2018-03-21,117.2797,117.59,117.39,1.0,119.805,118.06,1433167.0,0.0
2018-03-22,112.1737,116.09,112.79,1.0,117.28,112.92,1586380.0,0.0
2018-03-23,107.465,113.43,108.16,1.0,113.85,108.18,2121497.0,0.0
2018-03-26,112.6108,110.69,110.2,1.0,113.49,113.36,2090950.0,0.0
2018-03-27,107.0975,114.14,107.0,1.0,114.36,107.81,1372606.0,0.0
2018-03-28,105.8657,107.63,105.05,1.0,108.82,106.57,1492970.0,0.0
2018-03-29,108.2895,107.49,106.1722,1.0,110.525,109.01,1122990.0,0.0
2018-04-02,104.6339,108.31,104.025,1.0,108.64,105.33,1394818.0,0.0
2018-04-03,106.8591,106.4,105.24,1.0,107.76,107.57,1281249.0,0.0
2018-04-04,108.528,104.92,103.63,1.0,109.67,109.25,1129086.0,0.0
2018-04-05,107.9915,110.79,108.24,1.0,111.6,108.71,1659938.0,0.0
2018-04-06,103.3822,106.72,103.5401,1.0,108.25,104.07,1664299.0,0.0
2018-04-09,103.104,105.14,103.62,1.0,107.88,103.79,1506241.0,0.0
2018-04-10,107.8525,106.04,105.691,1.0,109.47,108.57,1384386.0,0.0
2018-04-11,105.9352,107.22,106.4,1.0,108.84,106.64,1198577.0,0.0
2018-04-12,108.3988,107.58,107.055,1.0,109.4625,109.12,1176617.0,0.0
2018-04-13,106.8789,110.23,106.97,1.0,110.25,107.59,922756.0,0.0
2018-04-16,108.1306,108.66,107.2,1.0,109.58,108.85,1027944.0,0.0
2018-04-17,109.8889,110.15,109.165,1.0,111.03,110.62,1376641.0,0.0
2018-04-18,107.5246,108.57,106.59,1.0,109.15,108.24,1076258.0,0.0
2018-04-19,101.614,106.6,101.89,1.0,106.6,102.29,1915504.0,0.0
2018-04-20,100.8093,102.63,100.89,1.0,103.4,101.48,1558757.0,0.0
2018-04-23,100.3325,102.26,100.08,1.0,102.56,101.0,2002050.0,0.0
2018-04-24,98.902,102.43,98.0701,1.0,102.88,99.56,1815483.0,0.0
2018-04-25,97.998,99.75,97.94,1.0,100.49,98.65,1605456.0,0.0
2018-04-26,100.1636,99.47,99.23,1.0,101.25,100.83,1673964.0,0.0
2018-04-27,101.5047,101.57,99.055,1.0,103.65,102.18,2708656.0,0.0
2018-04-30,101.0676,102.51,100.89,1.0,103.24,101.74,1618081.0,0.0
2018-05-01,101.6537,101.65,100.39,1.0,102.62,102.33,1357252.0,0.0
2018-05-02,101.4947,102.6,101.87,1.0,103.83,102.17,1103154.0,0.0
2018-05-03,102.3093,101.45,100.445,1.0,103.35,102.99,1037985.0,0.0
2018-05-04,105.9551,102.47,101.675,1.0,106.71,106.66,1334776.0,0.0
2018-05-07,106.0047,107.0,106.12,1.0,107.25,106.71,1188371.0,0.0
2018-05-08,106.1935,105.66,105.52,1.0,107.21,106.9,1160281.0,0.0
2018-05-09,108.4485,107.5,106.9,1.0,109.22,109.17,1146422.0,0.0
