date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,17.1154,16.6,16.56,1.0,17.38,17.33,27036292.0,0.0
2018-02-07,17.0759,17.3,17.23,1.0,17.54,17.29,18442084.0,0.0
2018-02-08,16.592,17.33,16.8,1.0,17.56,16.8,15794744.0,0.0
2018-02-09,17.0265,16.96,16.62,1.0,17.39,17.24,30811968.0,0.0
2018-02-12,17.0858,17.35,17.05,1.0,17.44,17.3,16577420.0,0.0
2018-02-13,17.1746,17.2,17.135,1.0,17.45,17.39,9021238.0,0.0
2018-02-14,17.2339,17.21,17.145,1.0,17.58,17.45,10164327.0,0.0
2018-02-15,17.0956,17.58,17.15,1.0,17.65,17.31,14891656.0,0.0
2018-02-16,16.8487,17.26,16.96,1.0,17.34,17.06,15028757.0,0.0
2018-02-20,16.7895,17.05,16.9,1.0,17.19,17.0,13382727.0,0.0
2018-02-21,16.5426,16.97,16.75,1.0,17.06,16.75,13273651.0,0.0
2018-02-22,16.4537,16.84,16.605,1.0,17.04,16.66,10517928.0,0.0
2018-02-23,16.7993,16.7,16.64,1.0,17.03,17.01,9642301.0,0.0
2018-02-26,16.7105,17.06,16.76,1.0,17.06,16.92,12317410.0,0.0
2018-02-27,16.4339,16.93,16.64,1.0,16.955,16.64,11433543.0,0.0
2018-02-28,15.9994,16.75,16.19,1.0,16.76,16.2,16904335.0,0.0
2018-03-01,16.0093,16.18,15.96,1.0,16.29,16.21,15126382.0,0.0
2018-03-02,15.9006,16.12,15.86,1.0,16.18,16.1,13356358.0,0.0
2018-03-05,16.0093,16.03,15.95,1.0,16.28,16.21,13559696.0,0.0
2018-03-06,15.9105,16.28,16.0,1.0,16.29,16.11,13083157.0,0.0
2018-03-07,15.8512,16.02,15.9699,1.0,16.16,16.05,9583446.0,0.0
2018-03-08,15.8117,16.1,15.95,1.0,16.1,16.01,10660790.0,0.0
2018-03-09,16.1278,16.12,16.1,1.0,16.33,16.33,8477773.0,0.0
2018-03-12,16.345,16.31,16.21,1.0,16.61,16.55,11262453.0,0.0
2018-03-13,16.2957,16.61,16.4,1.0,16.61,16.5,9914843.0,0.0
2018-03-14,16.2167,16.59,16.35,1.0,16.6,16.42,9655189.0,0.0
2018-03-15,16.108,16.45,15.07,1.0,16.51,16.31,72166225.0,0.0
2018-03-16,16.2068,16.27,16.12,1.0,16.5,16.41,20317579.0,0.0
2018-03-19,15.8019,16.4,15.865,1.0,16.4,16.0,20332189.0,0.0
2018-03-20,15.4167,16.05,15.47,1.0,16.19,15.61,23019022.0,0.0
2018-03-21,15.713,15.91,15.69,1.0,16.0,15.91,20839367.0,0.0
2018-03-22,15.1698,15.74,15.36,1.0,15.79,15.36,18537457.0,0.0
2018-03-23,14.8241,15.4,14.99,1.0,15.485,15.01,20307283.0,0.0
2018-03-26,14.9426,15.1,14.82,1.0,15.18,15.13,18004111.0,0.0
2018-03-27,14.9031,15.19,14.92,1.0,15.41,15.09,17866129.0,0.0
2018-03-28,14.6266,15.09,14.76,1.0,15.19,14.81,23041596.0,0.0
2018-03-29,14.8735,14.84,14.79,1.0,15.12,15.06,16265758.0,0.0
2018-04-02,14.7155,15.02,14.765,1.0,15.16,14.9,13307773.0,0.0
2018-04-03,14.8241,14.96,14.69,1.0,15.02,15.01,17176353.0,0.0
2018-04-04,14.9723,14.89,14.73,1.0,15.21,15.16,13408492.0,0.0
2018-04-05,15.308,15.24,15.165,1.0,15.625,15.5,11549908.0,0.0
2018-04-06,14.9821,15.41,15.03,1.0,15.46,15.17,10589112.0,0.0
2018-04-09,14.913,15.27,14.98,1.0,15.405,15.1,15866202.0,0.0
2018-04-10,15.4167,15.15,15.08,1.0,15.675,15.61,23871175.0,0.0
2018-04-11,15.1599,15.49,15.29,1.0,15.655,15.35,15816010.0,0.0
2018-04-12,15.15,15.4,15.23,1.0,15.42,15.34,16922651.0,0.0
2018-04-13,15.1402,15.4,15.25,1.0,15.43,15.33,11745155.0,0.0
2018-04-16,15.4858,15.39,15.29,1.0,15.75,15.68,13595037.0,0.0
2018-04-17,15.8216,15.78,15.75,1.0,16.05,16.02,14451101.0,0.0
2018-04-18,15.9698,16.15,16.12,1.0,16.32,16.17,17786349.0,0.0
2018-04-19,16.3352,16.8,16.425,1.0,16.98,16.54,21268473.0,0.0
2018-04-20,16.266,16.58,16.37,1.0,16.62,16.47,14922493.0,0.0
2018-04-23,16.2364,16.4,16.26,1.0,16.48,16.44,10180555.0,0.0
2018-04-24,16.0685,16.5,16.18,1.0,16.51,16.27,11046285.0,0.0
2018-04-25,16.0586,16.2,15.97,1.0,16.29,16.26,11536797.0,0.0
2018-04-26,16.0191,16.3,16.06,1.0,16.33,16.22,11383701.0,0.0
2018-04-27,15.95,15.97,15.83,1.0,16.13,15.95,9826543.0,0.2
2018-04-30,15.82,15.94,15.82,1.0,16.02,15.82,14201647.0,0.0
2018-05-01,16.02,15.79,15.77,1.0,16.02,16.02,10253533.0,0.0
2018-05-02,16.16,15.96,15.9,1.0,16.21,16.16,14992936.0,0.0
2018-05-03,15.82,16.17,15.69,1.0,16.215,15.82,17124735.0,0.0
2018-05-04,16.11,15.75,15.74,1.0,16.18,16.11,14511756.0,0.0
2018-05-07,16.21,16.19,16.18,1.0,16.48,16.21,13680004.0,0.0
2018-05-08,16.07,16.3,16.04,1.0,16.3,16.07,17513405.0,0.0
2018-05-09,16.45,16.21,16.18,1.0,16.525,16.45,17015451.0,0.0
2018-05-10,16.5,16.55,16.4,1.0,16.67,16.5,14148938.0,0.0
2018-05-11,16.51,16.57,16.46,1.0,16.645,16.51,15939631.0,0.0
2018-05-14,16.64,16.55,16.52,1.0,16.7,16.64,9110691.0,0.0
2018-05-15,16.44,16.65,16.41,1.0,16.67,16.44,12467473.0,0.0
2018-05-16,16.4,16.44,16.3242,1.0,16.48,16.4,10032174.0,0.0
2018-05-17,16.3,16.45,16.24,1.0,16.51,16.3,14535997.0,0.0
2018-05-18,16.07,16.29,16.025,1.0,16.33,16.07,12329289.0,0.0
2018-05-21,15.98,16.11,15.95,1.0,16.16,15.98,13106194.0,0.0
2018-05-22,15.94,16.0,15.87,1.0,16.1351,15.94,13340438.0,0.0
2018-05-23,16.19,15.85,15.8,1.0,16.21,16.19,14377058.0,0.0
2018-05-24,15.88,16.14,15.85,1.0,16.14,15.88,13410844.0,0.0
2018-05-25,15.89,15.75,15.575,1.0,15.9,15.89,17521996.0,0.0
2018-05-29,16.04,16.35,15.985,1.0,16.46,16.04,26449721.0,0.0
2018-05-30,16.56,16.11,16.1,1.0,16.65,16.56,17940951.0,0.0
2018-05-31,16.68,16.52,16.45,1.0,16.74,16.68,24678241.0,0.0
2018-06-01,16.9,16.73,16.66,1.0,16.98,16.9,16805176.0,0.0
2018-06-04,16.94,16.94,16.8,1.0,17.07,16.94,18695750.0,0.0
2018-06-05,16.84,16.86,16.83,1.0,17.11,16.84,23440133.0,0.0
2018-06-06,16.72,16.89,16.67,1.0,16.96,16.72,17558093.0,0.0
2018-06-07,17.06,16.77,16.75,1.0,17.1,17.06,11120182.0,0.0
2018-06-08,16.85,17.07,16.75,1.0,17.1,16.85,10346235.0,0.0
2018-06-11,17.15,16.83,16.775,1.0,17.21,17.15,14213509.0,0.0
2018-06-12,16.93,17.14,16.91,1.0,17.2,16.93,12116991.0,0.0
2018-06-13,16.74,16.91,16.655,1.0,16.93,16.74,9435775.0,0.0
2018-06-14,16.95,16.79,16.755,1.0,16.97,16.95,12080017.0,0.0
2018-06-15,16.77,16.88,16.71,1.0,16.96,16.77,15486278.0,0.0
2018-06-18,17.16,16.8,16.77,1.0,17.19,17.16,12865144.0,0.0
2018-06-19,17.35,17.02,17.0,1.0,17.43,17.35,15071619.0,0.0
2018-06-20,17.49,17.47,17.4,1.0,17.66,17.49,13132392.0,0.0
2018-06-21,17.16,17.41,17.105,1.0,17.45,17.16,10463306.0,0.0
2018-06-22,17.39,17.44,17.37,1.0,17.66,17.39,16318039.0,0.0
2018-06-25,17.17,17.4,17.1,1.0,17.435,17.17,12750525.0,0.0
2018-06-26,17.55,17.42,17.27,1.0,17.62,17.55,12650978.0,0.0
2018-06-27,17.64,17.6,17.6,1.0,17.86,17.64,13172213.0,0.0
2018-06-28,17.525,17.65,17.41,1.0,17.77,17.525,5856757.0,0.0
